study,day,treatment,rep,ID,File R1,File R2
15 HIL CS,0.0,C,1.0,146.0,LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R1_001,LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R2_001
15 HIL CS,0.0,C,2.0,147.0,LALL-PD-KC2015-147-Control-0d-CS-16S_S2_L001_R1_001,LALL-PD-KC2015-147-Control-0d-CS-16S_S2_L001_R2_001
15 HIL CS,0.0,C,3.0,148.0,LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R1_001,LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R2_001
15 HIL CS,30.0,C,1.0,171.0,LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R1_001,LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R2_001
15 HIL CS,30.0,C,2.0,172.0,LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R1_001,LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R2_001
15 HIL CS,30.0,C,3.0,173.0,LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R1_001,LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R2_001
15 HIL CS,30.0,LH,1.0,176.0,LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R1_001,LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R2_001
15 HIL CS,30.0,LH,2.0,177.0,LALL-PD-KC2015-177-LH-30d-CS-16S_S8_L001_R1_001,LALL-PD-KC2015-177-LH-30d-CS-16S_S8_L001_R2_001
15 HIL CS,30.0,LH,3.0,178.0,LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R1_001,LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R2_001
15 HIL CS,30.0,LH + LB,1.0,181.0,LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R1_001,LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R2_001
15 HIL CS,30.0,LH + LB,2.0,182.0,LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R1_001,LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R2_001
15 HIL CS,30.0,LH + LB,3.0,183.0,LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R1_001,LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R2_001
15 HIL CS,30.0,LB,1.0,186.0,LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R1_001,LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R2_001
15 HIL CS,30.0,LB,2.0,187.0,LALL-PD-KC2015-187-LB-30d-CS-16S_S14_L001_R1_001,LALL-PD-KC2015-187-LB-30d-CS-16S_S14_L001_R2_001
15 HIL CS,30.0,LB,3.0,188.0,LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R1_001,LALL-PD-KC2015-188-LB-30d-CS-16S_S15_L001_R2_001
15 HIL CS,112.0,C,1.0,191.0,LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R1_001,LALL-PD-KC2015-191-Control-112d-CS-16S_S16_L001_R2_001
15 HIL CS,112.0,C,2.0,192.0,LALL-PD-KC2015-192-Control-112d-CS-16S_S17_L001_R1_001,LALL-PD-KC2015-192-Control-112d-CS-16S_S17_L001_R2_001
15 HIL CS,112.0,C,3.0,193.0,LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R1_001,LALL-PD-KC2015-193-Control-112d-CS-16S_S18_L001_R2_001
15 HIL CS,112.0,LH,1.0,196.0,LALL-PD-KC2015-196-LH-112d-CS-16S_S19_L001_R1_001,LALL-PD-KC2015-196-LH-112d-CS-16S_S19_L001_R2_001
15 HIL CS,112.0,LH,2.0,197.0,LALL-PD-KC2015-197-LH-112d-CS-16S_S20_L001_R1_001,LALL-PD-KC2015-197-LH-112d-CS-16S_S20_L001_R2_001
15 HIL CS,112.0,LH,3.0,198.0,LALL-PD-KC2015-198-LH-112d-CS-16S_S21_L001_R1_001,LALL-PD-KC2015-198-LH-112d-CS-16S_S21_L001_R2_001
15 HIL CS,112.0,LH + LB,1.0,201.0,LALL-PD-KC2015-201-LH-LB-112d-CS-16S_S22_L001_R1_001,LALL-PD-KC2015-201-LH-LB-112d-CS-16S_S22_L001_R2_001
15 HIL CS,112.0,LH + LB,2.0,202.0,LALL-PD-KC2015-202-LH-LB-112d-CS-16S_S23_L001_R1_001,LALL-PD-KC2015-202-LH-LB-112d-CS-16S_S23_L001_R2_001
15 HIL CS,112.0,LH + LB,3.0,203.0,LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R1_001,LALL-PD-KC2015-203-LH-LB-112d-CS-16S_S24_L001_R2_001
15 HIL CS,112.0,LB,1.0,206.0,LALL-PD-KC2015-206-LB-112d-CS-16S_S25_L001_R1_001,LALL-PD-KC2015-206-LB-112d-CS-16S_S25_L001_R2_001
15 HIL CS,112.0,LB,2.0,207.0,LALL-PD-KC2015-207-LB-112d-CS-16S_S26_L001_R1_001,LALL-PD-KC2015-207-LB-112d-CS-16S_S26_L001_R2_001
15 HIL CS,112.0,LB,3.0,208.0,LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R1_001,LALL-PD-KC2015-208-LB-112d-CS-16S_S27_L001_R2_001
