Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
LALL-PD-KC2015-557-LH-LB-30d-HMC-16S_S51_L001_R1_001	97.6271338926	54.0	250.992330357	44461.0	41.6666666667
LALL-PD-KC2015-557-LH-LB-30d-HMC-16S_S51_L001_R2_001	93.5628978206	51.0	250.991970491	44461.0	41.6666666667
LALL-PD-KC2015-560-LB-30d-HMC-16S_S52_L001_R1_001	97.1518873685	53.0	249.995833782	27843.0	41.6666666667
LALL-PD-KC2015-560-LB-30d-HMC-16S_S52_L001_R2_001	93.1616564307	51.0	249.994971806	27843.0	33.3333333333
LALL-PD-KC2015-561-LB-30d-HMC-16S_S53_L001_R1_001	97.2109956912	53.0	249.99625906	29939.0	33.3333333333
LALL-PD-KC2015-561-LB-30d-HMC-16S_S53_L001_R2_001	92.4980794282	51.0	249.994989813	29939.0	33.3333333333
LALL-PD-KC2015-562-LB-30d-HMC-16S_S54_L001_R1_001	96.984152652	53.0	249.994825356	24736.0	33.3333333333
LALL-PD-KC2015-562-LB-30d-HMC-16S_S54_L001_R2_001	92.3391009056	50.0	249.994825356	24736.0	25.0
LALL-PD-KC2015-565-Control-92d-HMC-16S_S55_L001_R1_001	97.3626287242	54.0	249.99559783	76326.0	41.6666666667
LALL-PD-KC2015-565-Control-92d-HMC-16S_S55_L001_R2_001	91.6201556481	51.0	249.991379084	76326.0	33.3333333333
LALL-PD-KC2015-566-Control-92d-HMC-16S_S56_L001_R1_001	96.079974248	53.0	250.996924067	27959.0	41.6666666667
LALL-PD-KC2015-566-Control-92d-HMC-16S_S56_L001_R2_001	91.1942487213	51.0	250.039414857	27959.0	41.6666666667
LALL-PD-KC2015-567-Control-92d-HMC-16S_S57_L001_R1_001	94.9716362835	53.0	250.99542876	18157.0	41.6666666667
LALL-PD-KC2015-567-Control-92d-HMC-16S_S57_L001_R2_001	89.9157349782	50.0	250.035853941	18157.0	33.3333333333
LALL-PD-KC2015-570-LH-92d-HMC-16S_S58_L001_R1_001	97.1216271049	53.0	250.995130858	39432.0	33.3333333333
LALL-PD-KC2015-570-LH-92d-HMC-16S_S58_L001_R2_001	92.5542706431	51.0	250.034261513	39432.0	41.6666666667
LALL-PD-KC2015-571-LH-92d-HMC-16S_S59_L001_R1_001	97.4029645785	54.0	250.995799507	49518.0	33.3333333333
LALL-PD-KC2015-571-LH-92d-HMC-16S_S59_L001_R2_001	93.2065107638	51.0	250.031059413	49518.0	41.6666666667
LALL-PD-KC2015-574-LH-92d-HMC-16S_S60_L001_R1_001	97.1264241169	53.0	250.995813041	45379.0	41.6666666667
LALL-PD-KC2015-574-LH-92d-HMC-16S_S60_L001_R2_001	91.991890522	51.0	250.036977457	45379.0	33.3333333333
LALL-PD-KC2015-575-LH-LB-92d-HMC-16S_S61_L001_R1_001	96.6240655896	53.0	249.996503497	33176.0	33.3333333333
LALL-PD-KC2015-575-LH-LB-92d-HMC-16S_S61_L001_R2_001	92.4795032554	50.0	250.035899445	33176.0	33.3333333333
LALL-PD-KC2015-576-LH-LB-92d-HMC-16S_S62_L001_R1_001	97.2915038517	53.0	249.995802166	44785.0	41.6666666667
LALL-PD-KC2015-576-LH-LB-92d-HMC-16S_S62_L001_R2_001	92.7364072792	50.0	249.995668192	44785.0	41.6666666667
LALL-PD-KC2015-577-LH-LB-92d-HMC-16S_S63_L001_R1_001	97.4474626664	53.0	250.995253058	59196.0	41.6666666667
LALL-PD-KC2015-577-LH-LB-92d-HMC-16S_S63_L001_R2_001	93.2106899115	51.0	250.03436043	59196.0	41.6666666667
LALL-PD-KC2015-580-LB-92d-HMC-16S_S64_L001_R1_001	97.1685852209	53.0	250.996101003	43088.0	33.3333333333
LALL-PD-KC2015-580-LB-92d-HMC-16S_S64_L001_R2_001	93.1140920906	50.0	250.034441144	43088.0	33.3333333333
LALL-PD-KC2015-581-LB-92d-HMC-16S_S65_L001_R1_001	96.5577479309	53.0	250.994845213	34919.0	33.3333333333
LALL-PD-KC2015-581-LB-92d-HMC-16S_S65_L001_R2_001	92.4024170223	50.0	250.036971276	34919.0	25.0
LALL-PD-KC2015-582-LB-92d-HMC-16S_S66_L001_R1_001	97.0522261244	52.0	250.995740342	44135.0	33.3333333333
LALL-PD-KC2015-582-LB-92d-HMC-16S_S66_L001_R2_001	92.4436388354	50.0	250.037249349	44135.0	25.0
