Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
LALL-PD-KC2015-532-LH-10d-HMC-16S_S36_L001_R2_001	pass	0.0	fail	250.063323226	Sanger / Illumina 1.9	warn	pass	warn	217-251	Conventional base calls	pass	fail	62331.0	pass	fail	fail	51.0	7.03502270138	LALL-PD-KC2015-532-LH-10d-HMC-16S_S36_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-535-LH-LB-10d-HMC-16S_S37_L001_R1_001	pass	0.0	fail	250.994201051	Sanger / Illumina 1.9	fail	pass	warn	227-251	Conventional base calls	pass	fail	64322.0	pass	fail	fail	54.0	2.19986940705	LALL-PD-KC2015-535-LH-LB-10d-HMC-16S_S37_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-535-LH-LB-10d-HMC-16S_S37_L001_R2_001	pass	0.0	fail	250.051273281	Sanger / Illumina 1.9	warn	pass	warn	227-251	Conventional base calls	pass	fail	64322.0	pass	fail	fail	51.0	5.79428500358	LALL-PD-KC2015-535-LH-LB-10d-HMC-16S_S37_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-536-LH-LB-10d-HMC-16S_S38_L001_R1_001	pass	0.0	fail	250.994375171	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	40179.0	pass	fail	fail	54.0	2.47890689166	LALL-PD-KC2015-536-LH-LB-10d-HMC-16S_S38_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-536-LH-LB-10d-HMC-16S_S38_L001_R2_001	pass	0.0	fail	250.061250902	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	40179.0	pass	fail	fail	51.0	6.81201622738	LALL-PD-KC2015-536-LH-LB-10d-HMC-16S_S38_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-537-LH-LB-10d-HMC-16S_S39_L001_R1_001	pass	0.0	fail	250.993977997	Sanger / Illumina 1.9	warn	pass	warn	136-251	Conventional base calls	pass	fail	60445.0	pass	fail	fail	54.0	2.32773595831	LALL-PD-KC2015-537-LH-LB-10d-HMC-16S_S39_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-537-LH-LB-10d-HMC-16S_S39_L001_R2_001	pass	0.0	fail	250.993216974	Sanger / Illumina 1.9	warn	pass	warn	136-251	Conventional base calls	pass	fail	60445.0	pass	fail	fail	51.0	6.16428157829	LALL-PD-KC2015-537-LH-LB-10d-HMC-16S_S39_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-540-LB-10d-HMC-16S_S40_L001_R1_001	pass	0.0	fail	250.992825367	Sanger / Illumina 1.9	fail	pass	warn	220-251	Conventional base calls	pass	fail	52825.0	pass	fail	fail	54.0	2.19592995741	LALL-PD-KC2015-540-LB-10d-HMC-16S_S40_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-540-LB-10d-HMC-16S_S40_L001_R2_001	pass	0.0	fail	250.04836725	Sanger / Illumina 1.9	warn	pass	warn	220-251	Conventional base calls	pass	fail	52825.0	pass	fail	fail	51.0	6.0085186938	LALL-PD-KC2015-540-LB-10d-HMC-16S_S40_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-541-LB-10d-HMC-16S_S41_L001_R1_001	pass	0.0	fail	250.995648941	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	36313.0	pass	fail	fail	53.0	2.73455787184	LALL-PD-KC2015-541-LB-10d-HMC-16S_S41_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-541-LB-10d-HMC-16S_S41_L001_R2_001	pass	0.0	fail	250.059124831	Sanger / Illumina 1.9	warn	pass	warn	248-251	Conventional base calls	pass	fail	36313.0	pass	fail	fail	51.0	8.14859692121	LALL-PD-KC2015-541-LB-10d-HMC-16S_S41_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-542-LB-10d-HMC-16S_S42_L001_R1_001	pass	0.0	fail	249.993807143	Sanger / Illumina 1.9	fail	pass	warn	179-251	Conventional base calls	pass	fail	47797.0	pass	fail	fail	53.0	2.62568780467	LALL-PD-KC2015-542-LB-10d-HMC-16S_S42_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-542-LB-10d-HMC-16S_S42_L001_R2_001	pass	0.0	fail	249.993305019	Sanger / Illumina 1.9	warn	pass	warn	179-251	Conventional base calls	pass	warn	47797.0	pass	fail	fail	51.0	7.09458752641	LALL-PD-KC2015-542-LB-10d-HMC-16S_S42_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-545-Control-30d-HMC-16S_S43_L001_R1_001	pass	0.0	fail	250.993108983	Sanger / Illumina 1.9	fail	pass	warn	136-251	Conventional base calls	pass	fail	57321.0	pass	fail	fail	53.0	2.63777673104	LALL-PD-KC2015-545-Control-30d-HMC-16S_S43_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-545-Control-30d-HMC-16S_S43_L001_R2_001	pass	0.0	fail	250.99045725	Sanger / Illumina 1.9	warn	pass	warn	136-251	Conventional base calls	pass	fail	57321.0	pass	fail	fail	50.0	6.91020742834	LALL-PD-KC2015-545-Control-30d-HMC-16S_S43_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-546-Control-30d-HMC-16S_S44_L001_R1_001	pass	0.0	fail	250.992947135	Sanger / Illumina 1.9	warn	pass	warn	69-251	Conventional base calls	pass	fail	47782.0	pass	fail	fail	53.0	2.6913900632	LALL-PD-KC2015-546-Control-30d-HMC-16S_S44_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-546-Control-30d-HMC-16S_S44_L001_R2_001	pass	0.0	fail	250.990519442	Sanger / Illumina 1.9	warn	pass	warn	69-251	Conventional base calls	pass	fail	47782.0	pass	fail	fail	50.0	7.47352559541	LALL-PD-KC2015-546-Control-30d-HMC-16S_S44_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-547-Control-30d-HMC-16S_S45_L001_R1_001	pass	0.0	fail	250.996046709	Sanger / Illumina 1.9	fail	pass	warn	221-251	Conventional base calls	pass	fail	60203.0	pass	fail	fail	53.0	2.4583492517	LALL-PD-KC2015-547-Control-30d-HMC-16S_S45_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-547-Control-30d-HMC-16S_S45_L001_R2_001	pass	0.0	fail	250.038901716	Sanger / Illumina 1.9	warn	pass	warn	246-251	Conventional base calls	pass	fail	60203.0	pass	fail	fail	50.0	6.91992093417	LALL-PD-KC2015-547-Control-30d-HMC-16S_S45_L001_R2_001.fastq.gz	warn	pass
LALL-PD-KC2015-550-LH-30d-HMC-16S_S46_L001_R1_001	pass	0.0	fail	249.994313068	Sanger / Illumina 1.9	warn	pass	warn	182-251	Conventional base calls	pass	fail	48884.0	pass	fail	fail	54.0	1.86973242779	LALL-PD-KC2015-550-LH-30d-HMC-16S_S46_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-550-LH-30d-HMC-16S_S46_L001_R2_001	pass	0.0	fail	250.031257671	Sanger / Illumina 1.9	fail	pass	warn	220-251	Conventional base calls	pass	fail	48884.0	pass	fail	fail	51.0	6.32313231323	LALL-PD-KC2015-550-LH-30d-HMC-16S_S46_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-551-LH-30d-HMC-16S_S47_L001_R1_001	pass	0.0	fail	250.994881737	Sanger / Illumina 1.9	fail	pass	warn	248-251	Conventional base calls	pass	fail	51580.0	pass	fail	fail	54.0	2.41760372237	LALL-PD-KC2015-551-LH-30d-HMC-16S_S47_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-551-LH-30d-HMC-16S_S47_L001_R2_001	pass	0.0	fail	250.029546336	Sanger / Illumina 1.9	warn	pass	warn	246-251	Conventional base calls	pass	fail	51580.0	pass	fail	fail	51.0	6.05273361768	LALL-PD-KC2015-551-LH-30d-HMC-16S_S47_L001_R2_001.fastq.gz	pass	pass
LALL-PD-KC2015-552-LH-30d-HMC-16S_S48_L001_R1_001	pass	0.0	fail	250.994711342	Sanger / Illumina 1.9	warn	pass	warn	136-251	Conventional base calls	pass	fail	56347.0	pass	fail	fail	54.0	1.80311285428	LALL-PD-KC2015-552-LH-30d-HMC-16S_S48_L001_R1_001.fastq.gz	pass	pass
LALL-PD-KC2015-552-LH-30d-HMC-16S_S48_L001_R2_001	pass	0.0	fail	250.9937175	Sanger / Illumina 1.9	fail	pass	warn	136-251	Conventional base calls	pass	fail	56347.0	pass	fail	fail	51.0	5.62762880011	LALL-PD-KC2015-552-LH-30d-HMC-16S_S48_L001_R2_001.fastq.gz	pass	pass
