OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-LATE_mean	C-NO_mean	LB500-EARLY_mean	C-EARLY_mean	LB500-NO_mean	taxonomy
HQ631046	13.7867095391	0.0170225632639	0.128005435699	1.0	47.5	1.75	91.5	0.0	0.0	160.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Bullera; s__Bullera_sp_TMS_2011
EU288196	13.7412841736	0.0173390791853	0.128005435699	1.0	1353.5	117.5	4197.0	1022.0	1464.5	4407.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_tropicalis
AJ557830	13.610960961	0.0182789477823	0.128005435699	1.0	2515.25	3.75	181.75	0.0	0.0	47.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
FJ210471	13.5332882477	0.0188622522524	0.128005435699	1.0	118.25	0.25	10.5	0.0	0.0	3.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
GU733329	13.5	0.0191176893412	0.128005435699	1.0	0.0	4.0	0.0	0.0	2.0	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Incertae_sedis; f__Monascaceae; g__Monascus; s__Monascus_purpureus
FJ466715	13.4233766234	0.0197183733633	0.128005435699	1.0	67.0	0.0	29.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Gibberella; s__Gibberella_sp_UFMGCB_536
GQ514861	13.4233766234	0.0197183733633	0.128005435699	1.0	8.25	6.25	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU465	13.4117647059	0.0198109743228	0.128005435699	1.0	0.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
New.CleanUp.ReferenceOTU805	13.4117647059	0.0198109743228	0.128005435699	1.0	0.0	0.75	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
New.CleanUp.ReferenceOTU1579	13.4117647059	0.0198109743228	0.128005435699	1.0	0.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
GQ526462	13.3333333333	0.0204474819458	0.128005435699	1.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU547	13.3333333333	0.0204474819458	0.128005435699	1.0	3.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedDikarya
FN562027	13.3073929961	0.0206622947388	0.128005435699	1.0	2.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
GQ510076	13.3073929961	0.0206622947388	0.128005435699	1.0	1.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FN397265	13.3073929961	0.0206622947388	0.128005435699	1.0	22.25	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ525422	13.3073929961	0.0206622947388	0.128005435699	1.0	21.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__ascomycete_sp_5/97_81
GU078631	13.3073929961	0.0206622947388	0.128005435699	1.0	23.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ516044	13.3073929961	0.0206622947388	0.128005435699	1.0	10.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JN906165	13.3073929961	0.0206622947388	0.128005435699	1.0	7.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ759854	13.3073929961	0.0206622947388	0.128005435699	1.0	1.5	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ762813	13.3073929961	0.0206622947388	0.128005435699	1.0	9.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma; s__Lophiostoma_sp_CBS_123543
FN397284	13.3073929961	0.0206622947388	0.128005435699	1.0	3.75	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU174335	13.3073929961	0.0206622947388	0.128005435699	1.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Aureobasidium; s__Aureobasidium_leucospermi
