"sample.id.string" "Chao1" "InvSimpson" "Observed" "se.chao1" "Simpson"
145 330.322580645161 13.5358606896485 310 8.96778675460066 0.926122171103257
146 292.136363636364 5.29654278097375 243 19.0742197970338 0.811197597876071
147 304.689655172414 8.63532977606488 269 13.8318523280344 0.884196663482179
148 284.04 12.5680547644884 237 17.7875691385216 0.920433192030198
150 100 7.44308457270842 60 28.6375045467769 0.865647099635721
151 110.5 4.17377879467289 76 19.2735984115483 0.760408960514072
152 133.25 8.60455950012171 86 24.9370404671955 0.883782545755439
153 135.8 3.17379514518182 98 19.4408850717022 0.684919802868149
155 20.5 1.05714810993534 17 3.65380226650404 0.0540587543015497
156 90.125 4.06382477747878 71 12.046837307075 0.753926398219265
157 79.3333333333333 4.22682124881182 66 8.84746286262259 0.763415592679462
158 36.8571428571429 1.04193057043247 29 6.32990552413035 0.0402431521085561
160 113.25 3.27531913506031 66 24.9354827255225 0.694686240099292
161 97.2727272727273 1.94116053008681 70 14.5817740635446 0.484844254506207
162 80.5 2.6088518314944 52 17.9289199276548 0.616689614976262
163 55.1428571428571 3.3177141901343 44 8.22711394791723 0.698587659246343
165 86.6666666666667 4.84734799639596 61 14.6999661550418 0.793701628035886
166 108 3.18840350328024 91 10.6546464336659 0.686363410725401
167 123.833333333333 6.65685798925994 111 7.2696558838632 0.849778979570635
168 132 5.5133792379615 93 20.5681250813065 0.81862303374405
170 122.083333333333 4.5722260213161 101 11.6549435405087 0.781288152567717
171 64.25 3.76664101510291 38 18.7470145969602 0.734511466319633
172 58 3.11363508732521 30 21.4556479181172 0.678831985138291
173 15.5 1.25913809845752 13 3.14629838832669 0.205805938820348
175 90 1.56477775746068 76 8.08636178473238 0.360931611385634
176 35 2.60467313855828 29 5.38284311493471 0.616074667797468
177 144.076923076923 7.92757609372402 115 14.6400055955194 0.873858038298533
178 54.3333333333333 8.59445313588905 47 5.67423268166767 0.88364588366604
