"OTU" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "Rank6" "Rank7" "Rank5" "Rank4" "Rank1" "Rank2" "Rank3"
"New.CleanUp.ReferenceOTU11159" 4.76184623258683 4.56017464440066 1.45118561239982 3.14237862161514 0.00167581178600155 0.0265579737390245 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "yabuuchiae" NA NA NA NA NA NA NA
"616310" 1442.5280918427 7.6659532240487 1.14303443210757 6.70666867831261 1.99117655013735e-11 3.62891926262532e-09 "Bacteria" "Cyanobacteria" "Chloroplast" "Streptophyta" NA NA NA NA NA NA NA NA NA NA
"153978" 33.1747391620222 5.14492363935888 1.45260225855283 3.54186674918472 0.000397306121996934 0.011388119285943 "Bacteria" "Cyanobacteria" "Chloroplast" "Streptophyta" NA NA NA NA NA NA NA NA NA NA
"868791" 47.396782972434 3.95958818516396 1.22118314233454 3.24241962396763 0.00118519373868536 0.0216001558875406 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" NA NA NA NA NA NA NA NA
"316924" 18.0718942795887 5.04210892154663 1.45150673136556 3.47370688167809 0.000513321467749154 0.0129038396547977 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Methylobacteriaceae" NA NA NA NA NA NA NA NA NA
"1134031" 1177.23240555523 -7.73177243924382 1.05222316652892 -7.34803479450986 2.01142146457817e-13 4.88775415892496e-11 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"716286" 16584.1949344759 -8.94998035646517 0.977658076500526 -9.15450971212874 5.46051994767606e-20 1.99035952092793e-17 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU7453" 168.156693631525 -6.55026158025943 1.1559061682138 -5.66677621452736 1.45509182837746e-08 1.51537420412453e-06 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU6218" 26.3769332003868 -4.33832451027781 1.22222418966322 -3.54953252191256 0.000385915793394642 0.011388119285943 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"1991307" 36.766512743438 -5.98680827204355 1.23484025720249 -4.84824513707266 1.24558423641905e-06 0.000113503863543686 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"604966" 16772.6257720875 -9.17826918841694 0.955628120875319 -9.60443606453313 7.65759584963766e-22 5.58238737438586e-19 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"3851582" 21.4170084307372 -5.43706165749872 1.26138857316542 -4.31037808108135 1.6297566286675e-05 0.000913917370998931 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"4358821" 26.7194209251008 -5.8016896872217 1.247576088389 -4.65036941731821 3.31340985542443e-06 0.000241547578460441 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU11351" 222.796411035572 -7.03249478805244 1.14143147123247 -6.16111870514577 7.22328172535898e-10 1.05315447555734e-07 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU6823" 19.0469348907387 -5.00181689191453 1.24478794235992 -4.0182080189754 5.86424167342995e-05 0.00267189511245652 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"1110317" 549.595609835757 -6.16574290427003 1.04337458967878 -5.90942406041174 3.43305893711277e-09 4.17116660859202e-07 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "brevis" NA NA NA NA NA NA NA
"24271" 213.329883453045 -5.42225532653375 1.22732976541522 -4.41792864422167 9.96513061738066e-06 0.000660416383642773 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU3709" 7.02927472176187 -3.90442779506498 1.3015984857886 -2.99971753017168 0.00270230085128772 0.039399546411775 "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Bacillaceae" NA NA NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU3315" 7.87720505487669 -4.15361865476557 1.32729960867596 -3.12937533290542 0.00175178389267842 0.0266059186246177 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" NA NA NA NA NA NA NA NA
"4344018" 6.30147576004787 4.16457316591581 1.4397666719236 2.89253338553234 0.00382148565604346 0.0497475543438514 "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "[Weeksellaceae]" "Chryseobacterium" NA NA NA NA NA NA NA NA
"891031" 172.430009714907 5.23333483567287 1.27051746699907 4.11905776315997 3.80424783134826e-05 0.00198092619218063 "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Sphingobacterium" "multivorum" NA NA NA NA NA NA NA
"New.CleanUp.ReferenceOTU1229" 6.71428571428571 4.30094092157633 1.39341283640049 3.08662358291937 0.00202443774868612 0.030118675893718 "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Sphingobacterium" "multivorum" NA NA NA NA NA NA NA
