Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
4924-657-MSITS2a_R1	97.4428075219	42.0	247.102287699	33396.0	41.6666666667
4924-657-MSITS2a_R2	94.5292849443	43.0	247.265780333	33396.0	50.0
4924-658-MSITS2a_R1	96.7133136475	43.0	247.753840887	23367.0	41.6666666667
4924-658-MSITS2a_R2	94.0985149998	44.0	247.854495656	23367.0	41.6666666667
4924-659-MSITS2a_R1	97.1612229582	43.0	245.057395504	30647.0	41.6666666667
4924-659-MSITS2a_R2	94.1364570757	44.0	245.595392697	30647.0	41.6666666667
4924-660-MSITS2a_R1	97.1138608854	44.0	248.404868674	29659.0	33.3333333333
4924-660-MSITS2a_R2	94.07262551	45.0	248.800532722	29659.0	41.6666666667
4924-662-MSITS2a_R1	97.815521158	39.0	235.89772307	37858.0	41.6666666667
4924-662-MSITS2a_R2	95.3114269111	40.0	237.779861588	37858.0	41.6666666667
4924-663-MSITS2a_R1	97.6131953428	39.0	235.698253558	30920.0	41.6666666667
4924-663-MSITS2a_R2	95.2069857697	39.0	237.466267788	30920.0	41.6666666667
4924-664-MSITS2a_R1	97.5898225911	38.0	233.295681558	20123.0	50.0
4924-664-MSITS2a_R2	95.3237588829	39.0	235.345972271	20123.0	41.6666666667
4924-665-MSITS2a_R1	97.5696409482	39.0	230.502735333	31806.0	41.6666666667
4924-665-MSITS2a_R2	95.0166635226	39.0	232.909262403	31806.0	41.6666666667
4924-667-MSITS2a_R1	97.6076023229	41.0	234.615632554	35989.0	50.0
4924-667-MSITS2a_R2	95.1874183778	41.0	237.55230765	35989.0	41.6666666667
4924-668-MSITS2a_R1	97.6539145571	39.0	233.30192606	26427.0	41.6666666667
4924-668-MSITS2a_R2	95.2056608771	39.0	234.973701139	26427.0	41.6666666667
4924-669-MSITS2a_R1	97.7995817919	39.0	232.847032331	31085.0	41.6666666667
4924-669-MSITS2a_R2	95.4543992279	39.0	236.012353225	31085.0	50.0
4924-670-MSITS2a_R1	97.7022801532	39.0	235.458560236	28463.0	50.0
4924-670-MSITS2a_R2	95.3026736465	39.0	237.364789376	28463.0	41.6666666667
4924-672-MSITS2a_R1	97.6959196302	38.0	237.088814472	27473.0	41.6666666667
4924-672-MSITS2a_R2	95.3590798238	39.0	238.448294689	27473.0	41.6666666667
4924-673-MSITS2a_R1	97.0622253065	39.0	233.180372427	17292.0	50.0
4924-673-MSITS2a_R2	94.8415452232	39.0	234.833795975	17292.0	41.6666666667
4924-674-MSITS2a_R1	97.2944353259	38.0	233.276433526	18887.0	41.6666666667
4924-674-MSITS2a_R2	94.9383173611	39.0	234.960978451	18887.0	41.6666666667
4924-675-MSITS2a_R1	97.5915458344	39.0	231.560907676	24414.0	41.6666666667
4924-675-MSITS2a_R2	95.0602113541	39.0	234.126320963	24414.0	41.6666666667
4924-677-MSITS2a_R1	97.7160810852	40.0	234.004410743	33101.0	41.6666666667
4924-677-MSITS2a_R2	95.1512038911	40.0	236.313102323	33101.0	41.6666666667
4924-678-MSITS2a_R1	97.4575620247	39.0	235.590329518	26038.0	41.6666666667
4924-678-MSITS2a_R2	95.3375835318	39.0	236.770182042	26038.0	41.6666666667
4924-679-MSITS2a_R1	97.6233029191	39.0	233.215658608	31893.0	41.6666666667
4924-679-MSITS2a_R2	95.8109930079	39.0	235.280563133	31893.0	41.6666666667
4924-680-MSITS2a_R1	98.0545040209	39.0	233.799856866	53097.0	41.6666666667
4924-680-MSITS2a_R2	95.9828238884	39.0	235.54046368	53097.0	41.6666666667
4924-692-MSITS2a_R1	98.2755130956	51.0	249.37720115	49406.0	33.3333333333
4924-692-MSITS2a_R2	96.4882807756	54.0	247.955956766	49406.0	41.6666666667
4924-693-MSITS2a_R1	98.1915529206	51.0	249.023024955	43518.0	41.6666666667
4924-693-MSITS2a_R2	96.4635323314	54.0	247.649662209	43518.0	41.6666666667
4924-694-MSITS2a_R1	97.4948423224	45.0	243.381041851	27144.0	33.3333333333
4924-694-MSITS2a_R2	94.9123194813	47.0	242.439581491	27144.0	41.6666666667
4924-695-MSITS2a_R1	98.1943231441	51.0	248.951004367	45800.0	41.6666666667
4924-695-MSITS2a_R2	96.2227074236	54.0	247.66768559	45800.0	41.6666666667
4924-697-MSITS2a_R1	98.195467355	51.0	249.783219267	42227.0	33.3333333333
4924-697-MSITS2a_R2	96.2227958415	54.0	248.320790016	42227.0	41.6666666667
4924-698-MSITS2a_R1	97.8088014364	50.0	249.285552013	27291.0	33.3333333333
4924-698-MSITS2a_R2	95.7018797406	53.0	246.786486387	27291.0	41.6666666667
4924-699-MSITS2a_R1	97.5771817519	48.0	249.12081679	24682.0	41.6666666667
4924-699-MSITS2a_R2	95.5230532372	49.0	249.200469978	24682.0	50.0
4924-700-MSITS2a_R1	97.452310301	47.0	249.822806274	23590.0	33.3333333333
4924-700-MSITS2a_R2	95.7948283171	49.0	249.832047478	23590.0	50.0
