study	day	treatment	rep	ID	File R1	File R2
V-HMC	30+5d	LB	3	838	4924-838-MS515F-926R_R1	4924-838-MS515F-926R_R2
V-HMC	30+5d	LB	4	839	4924-839-MS515F-926R_R1	4924-839-MS515F-926R_R2
V-HMC	30+5d	LB+LP	1	841	4924-841-MS515F-926R_R1	4924-841-MS515F-926R_R2
V-HMC	30+5d	LB+LP	2	842	4924-842-MS515F-926R_R1	4924-842-MS515F-926R_R2
V-HMC	30+5d	LB+LP	3	843	4924-843-MS515F-926R_R1	4924-843-MS515F-926R_R2
V-HMC	30+5d	LB+LP	4	844	4924-844-MS515F-926R_R1	4924-844-MS515F-926R_R2
V-HMC	90	C	1	447	5101-447-MS515F-926R_R1	5101-447-MS515F-926R_R2
V-HMC	90	C	2	448	5101-448-MS515F-926R_R1	5101-448-MS515F-926R_R2
V-HMC	90	C	3	449	5101-449-MS515F-926R_R1	5101-449-MS515F-926R_R2
V-HMC	90	C	4	450	5101-450-MS515F-926R_R1	5101-450-MS515F-926R_R2
V-HMC	90	C	5	451	5101-451-MS515F-926R_R1	5101-451-MS515F-926R_R2
V-HMC	90	LB	1	452	5101-452-MS515F-926R_R1	5101-452-MS515F-926R_R2
V-HMC	90	LB	2	453	5101-453-MS515F-926R_R1	5101-453-MS515F-926R_R2
V-HMC	90	LB	3	454	5101-454-MS515F-926R_R1	5101-454-MS515F-926R_R2
V-HMC	90	LB	4	455	5101-455-MS515F-926R_R1	5101-455-MS515F-926R_R2
V-HMC	90	LB	5	456	5101-456-MS515F-926R_R1	5101-456-MS515F-926R_R2
V-HMC	90	LB+LP	1	457	5101-457-MS515F-926R_R1	5101-457-MS515F-926R_R2
V-HMC	90	LB+LP	2	458	5101-458-MS515F-926R_R1	5101-458-MS515F-926R_R2
V-HMC	90	LB+LP	3	459	5101-459-MS515F-926R_R1	5101-459-MS515F-926R_R2
V-HMC	90	LB+LP	4	460	5101-460-MS515F-926R_R1	5101-460-MS515F-926R_R2
V-HMC	90	LB+LP	5	461	5101-461-MS515F-926R_R1	5101-461-MS515F-926R_R2
V-HMC	90	C-AS	1	757	5101-757-MS515F-926R_R1	5101-757-MS515F-926R_R2
V-HMC	90	C-AS	2	758	5101-758-MS515F-926R_R1	5101-758-MS515F-926R_R2
V-HMC	90	C-AS	3	759	5101-759-MS515F-926R_R1	5101-759-MS515F-926R_R2
V-HMC	90	C-AS	4	760	5101-760-MS515F-926R_R1	5101-760-MS515F-926R_R2
V-HMC	90	C-AS	5	761	5101-761-MS515F-926R_R1	5101-761-MS515F-926R_R2
V-HMC	90	LB-AS	1	762	5101-762-MS515F-926R_R1	5101-762-MS515F-926R_R2
V-HMC	90	LB-AS	2	763	5101-763-MS515F-926R_R1	5101-763-MS515F-926R_R2
V-HMC	90	LB-AS	3	764	5101-764-MS515F-926R_R1	5101-764-MS515F-926R_R2
V-HMC	90	LB-AS	4	765	5101-765-MS515F-926R_R1	5101-765-MS515F-926R_R2
V-HMC	90	LB-AS	5	766	5101-766-MS515F-926R_R1	5101-766-MS515F-926R_R2
V-HMC	90+50h	C	1	1016	5101-1016-MS515F-926R_R1	5101-1016-MS515F-926R_R2
V-HMC	90+50h	C	2	1017	5101-1017-MS515F-926R_R1	5101-1017-MS515F-926R_R2
V-HMC	90+50h	C	3	1018	5101-1018-MS515F-926R_R1	5101-1018-MS515F-926R_R2
V-HMC	90+50h	C	4	1019	5101-1019-MS515F-926R_R1	5101-1019-MS515F-926R_R2
V-HMC	90+50h	C	5	1020	5101-1020-MS515F-926R_R1	5101-1020-MS515F-926R_R2
