# Constructed from biom file
#OTU ID	C-3H-LATE/56	C-3H/56	C-NS/56	C/0	S2-3H-LATE/56	S2-3H/56	S2-NS/56
No blast hit;Other;Other	2.92718624222e-05	0.000541791853421	0.000125946346856	0.000116310626914	3.00360432519e-05	0.000122376552653	0.000106819673132
k__Fungi;p__Ascomycota;c__Dothideomycetes	0.00733991950238	0.0154656947249	0.0617976741908	0.325708525569	0.00408490188226	0.0489383834057	0.118463017503
k__Fungi;p__Ascomycota;c__Eurotiomycetes	0.897855836078	0.0	0.000573755580123	0.000840021194381	0.871085302363	0.00123600318179	0.000152599533045
k__Fungi;p__Ascomycota;c__Incertae_sedis	0.0	0.0	0.0	0.0	0.00074088906688	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes	2.92718624222e-05	0.0	0.000517779425965	0.00025846805981	0.0	7.34259315915e-05	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes	0.018960848884	0.362951287987	0.21608194909	0.115457682317	0.00470564677613	0.109612678211	0.139842212083
k__Fungi;p__Ascomycota;c__Sordariomycetes	6.58616904501e-05	0.00137910653598	0.00531773464504	0.056927590173	0.00183219863837	0.000305941381631	0.00506630449711
k__Fungi;p__Ascomycota;c__unidentified	0.000307354555434	0.00206865980397	0.0150575854686	0.0477390506468	0.0222867440929	0.0069387505354	0.00766049655888
k__Fungi;p__Basidiomycota;c__Agaricomycetes	0.0	0.000394030438851	0.0	0.00082709779139	0.0	0.000342654347427	0.0
k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes	0.00147822905232	0.00413731960794	0.00281280174646	0.00595768877861	0.0	0.00104020069755	0.00320459019395
k__Fungi;p__Basidiomycota;c__Microbotryomycetes	0.0	0.0	0.0	0.000723710567467	0.00491589907889	0.000318179036897	0.0
k__Fungi;p__Basidiomycota;c__Pucciniomycetes	0.000870837907062	0.00694478648476	0.00216907597364	0.00214528489642	1.00120144173e-05	0.00186012360032	0.00454746608475
k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.00924259055982	0.0622568093385	0.0578513553226	0.0124452370798	0.00240288346015	0.0691305145934	0.0632219865407
k__Fungi;p__Basidiomycota;c__Ustilaginomycetes	0.0	0.0	9.79582697771e-05	0.00133111050802	0.0	1.22376552653e-05	6.10398132182e-05
k__Fungi;p__Basidiomycota;c__unidentified	0.000717160629345	0.0126089740432	0.0126366168012	0.0437974127347	0.000981177412895	0.00724469191703	0.00799621553158
k__Fungi;p__Glomeromycota;c__Glomeromycetes	0.0	0.0	0.0	0.0	0.0	1.22376552653e-05	0.000534098365659
k__Fungi;p__Zygomycota;c__Incertae_sedis	0.0	0.0	5.59761541583e-05	9.04638209333e-05	0.0	0.0	0.0
k__Fungi;p__unidentified;c__unidentified	0.0631028174168	0.531251539181	0.624903790985	0.385634345236	0.086924309171	0.752811601297	0.649143153622
