# Constructed from biom file
#OTU ID	C/0	C/30	C/112	LB/30	LB/112	LH + LB/30	LH + LB/112	LH/30	LH/112
Unassigned;Other;Other;Other	0.000604500401263	0.000477809326618	0.000231765056451	0.000290849429488	0.000239730953376	0.00020195764275	0.000368393299576	0.000222522722993	0.000227818001894
k__Bacteria;Other;Other;Other	0.0	0.0	0.0	5.22037437542e-05	0.0	1.79517904667e-05	0.0	1.7117132538e-05	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0.0	0.0	1.32437175115e-05	0.0	0.0	0.0	7.2233980309e-06	0.0	0.0
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	0.0	0.0	3.97311525345e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	2.60560517786e-05	0.0	3.31092937788e-05	2.23730330375e-05	2.05483674322e-05	0.0	1.44467960618e-05	5.70571084599e-06	7.11931255918e-06
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	9.90129967586e-05	0.0	0.0	0.0	5.47956464859e-05	0.0	1.44467960618e-05	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	0.0120326847114	0.000461333142942	0.00387378737212	0.000999328809009	0.00228086878498	0.000610360875868	0.00182029630379	0.000496396843601	0.00238496970733
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0	0.0	2.6487435023e-05	0.0	2.73978232429e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales	0.0	1.64761836765e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13579376775e-05
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.00014591388996	0.0	6.62185875575e-06	2.23730330375e-05	0.000136989116215	8.97589523335e-06	2.88935921236e-05	1.7117132538e-05	9.96703758285e-05
k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__Armatimonadales	5.21121035572e-05	0.0	3.97311525345e-05	7.45767767917e-06	0.0	0.0	5.05637862163e-05	0.0	3.55965627959e-05
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	6.25345242686e-05	2.1968244902e-05	2.6487435023e-05	1.49153553583e-05	2.73978232429e-05	0.0	2.88935921236e-05	0.0	4.27158753551e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.00010943541747	2.74603061275e-05	0.000370824090322	2.23730330375e-05	0.000349322246348	1.346384285e-05	0.000108350970464	2.28228433839e-05	0.000313249752604
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.00513825341074	0.000197714204118	0.000357580372811	0.000365426206279	0.000321924423105	0.00017502995705	0.000346723105483	0.000182582747072	0.00043427806611
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.0180255766204	0.00464628379677	0.00738337251266	0.00319188604669	0.0113769461016	0.00312361154121	0.00826356734735	0.00313814096529	0.0091554359511
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0.040053362794	0.00291628451074	0.00862166009999	0.0020061152957	0.0104728179346	0.0015079503992	0.0125037019915	0.00187717886833	0.00829399913144
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13579376775e-05
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.113547062441	0.000269111000049	0.000178790186405	0.000216272652696	0.000294526599862	0.0001615661142	0.000195031746834	0.00019969987961	0.000469874628906
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13579376775e-05
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1	0.0	0.0	0.0	0.0	0.0	0.0	2.16701940927e-05	0.0	0.0
