OTU	Test-Statistic	P	FDR_P	Bonferroni_P	0_mean	168_mean	140_mean	84_mean	112_mean	taxonomy
517548	10.686949035	0.0303169636099	0.681787841876	1.0	0.142857142857	13.5714285714	10.5	2.125	4.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__
889025	10.62890625	0.0310669112755	0.681787841876	1.0	0.0	0.0	0.125	0.0	0.75	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
352164	10.62890625	0.0310669112755	0.681787841876	1.0	0.0	0.0	0.125	0.0	0.75	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii
554346	10.5944700461	0.0315202724216	0.681787841876	1.0	0.0	0.142857142857	0.0	0.0	0.5	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Photobacterium; s__
961783	10.5034722222	0.0327491946462	0.681787841876	1.0	0.0	0.0	1.75	0.5	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
301578	10.4958333333	0.0328544331514	0.681787841876	1.0	0.857142857143	0.0	0.125	0.125	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1108638	10.4672793182	0.0332507059023	0.681787841876	1.0	0.0	1.57142857143	0.0	0.5	0.75	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
241449	10.3790322581	0.0345047178446	0.681787841876	1.0	0.0	0.0	0.0	0.375	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
570988	10.3790322581	0.0345047178446	0.681787841876	1.0	0.0	0.0	0.375	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
287032	10.3790322581	0.0345047178446	0.681787841876	1.0	0.0	0.0	0.375	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
661259	10.3790322581	0.0345047178446	0.681787841876	1.0	0.0	0.0	0.375	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
New.CleanUp.ReferenceOTU1332	10.3790322581	0.0345047178446	0.681787841876	1.0	0.0	0.0	0.375	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria
1059729	10.3761099801	0.0345470135567	0.681787841876	1.0	0.0	1.85714285714	2.375	0.25	0.5	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Granulicatella; s__
812851	10.359375	0.0347901911252	0.681787841876	1.0	0.0	0.0	0.625	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
1084952	10.359375	0.0347901911252	0.681787841876	1.0	0.0	0.0	0.0	0.625	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__; s__
279910	10.359375	0.0347901911252	0.681787841876	1.0	0.0	0.0	0.5	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
134265	10.359375	0.0347901911252	0.681787841876	1.0	0.0	0.0	0.625	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
575688	10.3528391167	0.0348856114459	0.681787841876	1.0	0.0	0.0	1.875	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
525942	10.1969345238	0.0372378414733	0.681787841876	1.0	0.0	0.714285714286	0.25	0.125	2.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica
246785	9.70741815476	0.0456553909083	0.681787841876	1.0	0.142857142857	3.42857142857	0.0	0.125	1.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__intermedia
530206	9.54751886822	0.0487799448206	0.681787841876	1.0	0.0	2.57142857143	0.375	0.25	2.5	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica
542096	9.42131421534	0.0513894176265	0.681787841876	1.0	1.14285714286	0.0	0.125	0.25	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
851704	9.24313115444	0.0553014926117	0.681787841876	1.0	0.0	2.71428571429	0.125	0.0	0.5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__
941024	9.1465400364	0.0575392439992	0.681787841876	1.0	0.0	0.142857142857	1.25	0.875	0.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
3221156	9.13075816929	0.0579129659332	0.681787841876	1.0	0.0	1.71428571429	0.375	0.0	0.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
4307464	9.09709821429	0.058717783889	0.681787841876	1.0	0.0	1.0	0.125	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
349257	9.09265843966	0.058824731267	0.681787841876	1.0	4.85714285714	0.0	0.0	0.25	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
197069	9.08986175115	0.0588921943466	0.681787841876	1.0	0.714285714286	0.142857142857	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
1022944	9.07726648352	0.0591969369761	0.681787841876	1.0	0.0	1.0	0.5	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
535375	8.96511147812	0.0619774685124	0.681787841876	1.0	119.142857143	6.14285714286	21.625	28.375	27.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1069816	8.95938581315	0.0621226982141	0.681787841876	1.0	0.0	0.0	0.75	35.5	0.25	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
72964	8.93303571429	0.0627952382388	0.681787841876	1.0	0.0	1.28571428571	0.125	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
851961	8.76364777243	0.0672864394166	0.681787841876	1.0	0.285714285714	1.42857142857	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
515747	8.61391476881	0.0715085174886	0.681787841876	1.0	0.0	4.71428571429	0.25	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
759751	8.60008640553	0.0719108421496	0.681787841876	1.0	0.714285714286	0.0	0.0	0.25	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
609964	8.56808199122	0.0728502109597	0.681787841876	1.0	0.0	0.0	0.0	0.875	0.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__
318190	8.28441820276	0.0816979533696	0.681787841876	1.0	0.428571428571	0.0	0.0	0.25	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
1139769	8.27330185806	0.0820645101263	0.681787841876	1.0	0.428571428571	3.28571428571	0.5	0.25	1.5	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
New.CleanUp.ReferenceOTU89	8.21118585939	0.0841414188525	0.681787841876	1.0	1.0	0.142857142857	0.125	0.125	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
New.CleanUp.ReferenceOTU2155	8.17427260132	0.0853989698199	0.681787841876	1.0	0.0	0.0	0.125	1.125	1.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
4335578	8.1612010501	0.0858485092093	0.681787841876	1.0	0.285714285714	1.85714285714	0.0	0.125	1.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
846710	8.07566073588	0.0888456343105	0.681787841876	1.0	0.0	1.71428571429	0.0	0.75	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
876714	8.02417937756	0.0906964777125	0.681787841876	1.0	0.0	1.42857142857	10.875	0.375	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
358461	7.96370293807	0.0929168876891	0.681787841876	1.0	0.0	0.285714285714	0.125	0.75	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__
4386761	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
82194	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
187404	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
584730	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__
3256931	7.95535714286	0.0932272759789	0.681787841876	1.0	0.285714285714	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1109964	7.95535714286	0.0932272759789	0.681787841876	1.0	0.0	0.285714285714	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__
