OTU	Test-Statistic	P	FDR_P	Bonferroni_P	right palm_mean	left palm_mean	tongue_mean	gut_mean	taxonomy
360329	21.12117737	9.93485927535e-05	0.00789797666377	0.222640196361	0.0	0.125	0.111111111111	2.875	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
947112	21.0798453172	0.000101332094964	0.00789797666377	0.227085224814	11.0	9.0	0.111111111111	0.125	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
1017181	21.0619112319	0.00010220496352	0.00789797666377	0.229041323249	2.0	4.0	21.2222222222	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa
197072	20.9786908189	0.00010635438265	0.00794467238397	0.238340171519	2.11111111111	0.375	0.111111111111	12.875	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1073276	20.8517705119	0.000113007935539	0.00816938011427	0.253250783542	0.777777777778	1.75	14.7777777778	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
518743	20.7288355167	0.000119847377973	0.0083930616887	0.268577974038	2.77777777778	9.25	29.3333333333	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__parvula
999477	20.5768475602	0.000128875464749	0.00847384071327	0.288809916503	0.222222222222	0.875	5.22222222222	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nanceiensis
851865	20.5438583654	0.000130922746325	0.00847384071327	0.293397874515	15.6666666667	2.125	0.111111111111	34.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
898309	20.4673749048	0.00013579466192	0.00847384071327	0.304315837363	0.888888888889	1.5	10.3333333333	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nanceiensis
New.CleanUp.ReferenceOTU667	20.4622736312	0.000136125955233	0.00847384071327	0.305058265678	0.666666666667	0.0	0.0	3.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
589071	20.1843680443	0.000155444114623	0.00918497147724	0.34835026087	13.6666666667	0.25	0.222222222222	91.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uniformis
1078587	20.1609399062	0.00015719233202	0.00918497147724	0.352268016056	1.33333333333	0.25	0.0	5.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
New.CleanUp.ReferenceOTU2606	20.1258746152	0.00015984555449	0.00918497147724	0.358213887612	0.111111111111	0.75	3.55555555556	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
370098	19.915621175	0.000176715848489	0.00956174670324	0.396020216464	0.0	0.125	0.0	10.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
843553	19.8545681656	0.000181938639568	0.00956174670324	0.407724491272	0.111111111111	0.0	0.0	9.875	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
New.CleanUp.ReferenceOTU2800	19.7163660994	0.000194335611133	0.00956174670324	0.435506104549	0.333333333333	0.125	0.0	2.125	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1105343	19.6522352431	0.000200370401471	0.00956174670324	0.449030069697	0.111111111111	0.0	0.0	2.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
12574	19.6425544582	0.000201297436012	0.00956174670324	0.451107554104	0.111111111111	0.625	3.33333333333	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
787709	19.6161899046	0.000203843811809	0.00956174670324	0.456813982263	0.444444444444	0.75	6.66666666667	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
324532	19.6133713439	0.000204117927395	0.00956174670324	0.457428275293	0.333333333333	0.75	2.55555555556	0.0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__
556835	19.489058753	0.000216579769075	0.00956174670324	0.485355262496	11.4444444444	0.625	0.0	25.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Phascolarctobacterium; s__
861807	19.4885166667	0.000216635736388	0.00956174670324	0.485480685244	9.33333333333	10.75	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
1040713	19.4884353741	0.000216644130616	0.00956174670324	0.48549949671	7.22222222222	5.375	0.111111111111	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
960871	19.4867230073	0.000216821024078	0.00956174670324	0.485895914959	0.0	0.375	2.88888888889	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__
516198	19.4791666667	0.000217603338628	0.00956174670324	0.487649081865	0.0	0.0	1.11111111111	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__subflava
198530	19.2292497954	0.000245122360919	0.0105638309773	0.54931921082	0.111111111111	0.0	0.0	1.25	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1084865	19.0854512708	0.000262498365714	0.0110644403776	0.588258837566	8.77777777778	3.625	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__
1088305	18.9953091613	0.000274010142412	0.0110644403776	0.614056729145	4.66666666667	5.75	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
1047041	18.9777231796	0.000276313869199	0.0110644403776	0.619219380875	33.2222222222	33.625	0.111111111111	0.125	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__
988314	18.9764030612	0.000276487577487	0.0110644403776	0.619608661147	13.0	12.75	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
2222	18.9183651805	0.00028423286678	0.0111748395518	0.636965854455	0.0	0.25	3.22222222222	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__pallens
355750	18.7076058519	0.000314218749439	0.0116045669927	0.704164217494	5.77777777778	14.25	122.555555556	0.125	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__
1082539	18.6969295837	0.00031581879113	0.0116045669927	0.707749910923	22.8888888889	41.625	25.8888888889	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
583117	18.6881500743	0.000317140638566	0.0116045669927	0.710712171027	8.88888888889	0.375	0.222222222222	35.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
1078207	18.6723657158	0.000319530996724	0.0116045669927	0.716068963658	45.4444444444	63.5	53.6666666667	0.125	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
935742	18.5856269113	0.000332990014239	0.0116045669927	0.746230621909	0.0	0.25	4.77777777778	0.0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__melaninogenica
4453773	18.4913793103	0.000348254023876	0.0116045669927	0.780437267507	2.66666666667	0.0	0.0	4.875	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__
358944	18.4166666667	0.000360847103903	0.0116045669927	0.808658359846	0.0	0.0	0.0	0.75	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
585227	18.3721281741	0.000368568639628	0.0116045669927	0.825962321407	0.0	0.0	0.0	2.125	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
514996	18.3573298429	0.00037117039054	0.0116045669927	0.831792845201	0.0	0.0	0.0	2.25	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
355424	18.3573298429	0.00037117039054	0.0116045669927	0.831792845201	0.0	0.0	0.0	2.5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
338992	18.3499396135	0.000372476525653	0.0116045669927	0.834719893987	0.0	0.0	0.0	1.5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
215097	18.3499396135	0.000372476525653	0.0116045669927	0.834719893987	0.0	0.0	0.0	6.625	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
368698	18.342555332	0.000373786175312	0.0116045669927	0.837654818874	0.0	0.0	0.0	2.375	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
369486	18.342555332	0.000373786175312	0.0116045669927	0.837654818874	0.0	0.0	0.0	15.375	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
