Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
4924-424-MS515F-926R.extendedFrags	95.8970554668	54.0	415.000285323	17524.0	41.6666666667
4924-425-MS515F-926R.extendedFrags	93.2078716087	54.0	412.820787161	10468.0	50.0
4924-426-MS515F-926R.extendedFrags	95.8896459287	54.0	414.919021557	17906.0	50.0
4924-427-MS515F-926R.extendedFrags	95.8883004333	54.0	412.831872894	20770.0	50.0
4924-429-MS515F-926R.extendedFrags	94.1823270692	53.0	411.905737705	20008.0	50.0
4924-430-MS515F-926R.extendedFrags	94.2706991602	53.0	413.968777371	19409.0	50.0
4924-431-MS515F-926R.extendedFrags	94.8332832682	53.0	412.021327726	23303.0	50.0
4924-432-MS515F-926R.extendedFrags	94.6691622474	52.0	412.01847423	28851.0	50.0
4924-434-MS515F-926R.extendedFrags	97.5336802338	53.0	411.986991232	28058.0	50.0
4924-435-MS515F-926R.extendedFrags	97.2671187478	53.0	411.999082241	19613.0	33.3333333333
4924-436-MS515F-926R.extendedFrags	97.5597454997	53.0	411.998215394	25776.0	50.0
4924-437-MS515F-926R.extendedFrags	97.3948594428	53.0	411.994073464	31553.0	50.0
4924-439-MS515F-926R.extendedFrags	96.9204655674	53.0	413.788676043	24744.0	50.0
4924-440-MS515F-926R.extendedFrags	97.3086373086	53.0	413.979361179	26455.0	41.6666666667
4924-441-MS515F-926R.extendedFrags	97.5813339545	53.0	411.989828403	25758.0	41.6666666667
4924-442-MS515F-926R.extendedFrags	97.9644596155	53.0	411.994101702	39842.0	41.6666666667
4924-831-MS515F-926R.extendedFrags	94.7888040712	51.0	411.9843257	9825.0	50.0
4924-832-MS515F-926R.extendedFrags	94.531053558	52.0	412.017601207	7954.0	41.6666666667
4924-833-MS515F-926R.extendedFrags	96.0204388338	52.0	412.007153592	16635.0	50.0
4924-834-MS515F-926R.extendedFrags	92.4785367675	51.0	411.643896976	5358.0	41.6666666667
4924-836-MS515F-926R.extendedFrags	97.6896133639	53.0	411.999056985	29692.0	41.6666666667
4924-837-MS515F-926R.extendedFrags	97.8790085156	53.0	411.991136155	31589.0	50.0
4924-838-MS515F-926R.extendedFrags	97.8067819107	53.0	411.989634358	31643.0	33.3333333333
4924-839-MS515F-926R.extendedFrags	97.8480055454	53.0	411.992942214	31738.0	50.0
4924-841-MS515F-926R.extendedFrags	96.5562479501	53.0	411.992948508	12196.0	41.6666666667
4924-842-MS515F-926R.extendedFrags	97.8025427719	53.0	412.004206561	31855.0	50.0
4924-843-MS515F-926R.extendedFrags	97.7567627007	53.0	411.999874328	31829.0	41.6666666667
4924-844-MS515F-926R.extendedFrags	97.9470018992	53.0	411.996442676	33171.0	50.0
5101-1016-MS515F-926R.extendedFrags	96.2584826068	54.0	411.94430519	32714.0	50.0
5101-1017-MS515F-926R.extendedFrags	96.5824538962	54.0	413.985715809	46905.0	50.0
5101-1018-MS515F-926R.extendedFrags	96.5663994711	54.0	413.979133956	48404.0	50.0
5101-1019-MS515F-926R.extendedFrags	96.5042417151	53.0	412.00637302	47858.0	50.0
5101-1020-MS515F-926R.extendedFrags	95.8873128641	53.0	413.978268886	40679.0	50.0
5101-1021-MS515F-926R.extendedFrags	97.6042394397	53.0	411.988344949	58687.0	50.0
5101-1022-MS515F-926R.extendedFrags	97.3557987947	53.0	413.967074863	56917.0	41.6666666667
5101-1023-MS515F-926R.extendedFrags	97.1421142721	53.0	413.976967911	46153.0	41.6666666667
5101-1024-MS515F-926R.extendedFrags	97.537592088	53.0	413.938762741	49545.0	33.3333333333
5101-1025-MS515F-926R.extendedFrags	97.3698150579	53.0	411.988714618	43419.0	41.6666666667
5101-1026-MS515F-926R.extendedFrags	97.3864117611	53.0	413.841410047	49587.0	50.0
5101-1027-MS515F-926R.extendedFrags	97.6797876024	53.0	411.980310351	60641.0	50.0
5101-1028-MS515F-926R.extendedFrags	97.315933176	53.0	413.924799852	43218.0	41.6666666667
5101-1029-MS515F-926R.extendedFrags	97.3885518333	53.0	411.980216302	53074.0	41.6666666667
