Length	Count
195.0	135
205.0	0
215.0	435
225.0	2146
235.0	516
245.0	1184
255.0	14102
265.0	10096
275.0	7197
285.0	939
295.0	467
305.0	1041
315.0	437
325.0	24
335.0	1
345.0	2
355.0	6
365.0	70
375.0	26
385.0	0
395.0	0
405.0	1
415.0	0
425.0	0
435.0	0
445.0	0
455.0	0
465.0	0
475.0	0
485.0	7
495.0	0
--

