	146	151	153	145	155	157	150	158	156	148	147	152	168	162	165	166	160	161	171	163
146	0.0	0.8273	0.7525	0.363	0.9934	0.8507	0.7714	0.9894	0.8302	0.4261	0.353	0.7831	0.7811	0.9703	0.7631	0.7742	0.9714	0.9656	0.8375	0.9611
151	0.8273	0.0	0.3696	0.789	0.9757	0.5645	0.3177	0.965	0.5288	0.7732	0.6742	0.5284	0.4001	0.922	0.5201	0.3883	0.9294	0.921	0.7348	0.9338
153	0.7525	0.3696	0.0	0.7287	0.9944	0.6177	0.4476	0.974	0.5322	0.6931	0.6165	0.5098	0.3951	0.9327	0.4522	0.2886	0.9336	0.9312	0.7344	0.9389
145	0.363	0.789	0.7287	0.0	0.9752	0.8087	0.7372	0.9888	0.8123	0.3852	0.3039	0.7497	0.745	0.9739	0.7498	0.7462	0.9609	0.9622	0.8069	0.9529
155	0.9934	0.9757	0.9944	0.9752	0.0	0.9753	0.9753	1.0	0.9998	0.9808	0.9853	0.9751	1.0	0.9992	0.9999	0.9999	0.9943	1.0	1.0	0.9967
157	0.8507	0.5645	0.6177	0.8087	0.9753	0.0	0.587	0.5819	0.5617	0.7794	0.6835	0.5766	0.6158	0.8432	0.6535	0.6431	0.8871	0.8774	0.7766	0.5059
150	0.7714	0.3177	0.4476	0.7372	0.9753	0.587	0.0	0.9793	0.546	0.7146	0.62	0.4809	0.414	0.9314	0.4783	0.4478	0.9255	0.9197	0.7728	0.9506
158	0.9894	0.965	0.974	0.9888	1.0	0.5819	0.9793	0.0	0.984	0.9902	0.9877	0.968	0.99	0.9429	0.9919	0.9887	0.9952	0.9945	0.992	0.6224
156	0.8302	0.5288	0.5322	0.8123	0.9998	0.5617	0.546	0.984	0.0	0.793	0.6984	0.6098	0.5186	0.6273	0.5654	0.5494	0.7212	0.6883	0.8017	0.6178
148	0.4261	0.7732	0.6931	0.3852	0.9808	0.7794	0.7146	0.9902	0.793	0.0	0.3524	0.6904	0.7451	0.971	0.6453	0.7292	0.965	0.9614	0.7747	0.9607
147	0.353	0.6742	0.6165	0.3039	0.9853	0.6835	0.62	0.9877	0.6984	0.3524	0.0	0.6422	0.6261	0.9695	0.6155	0.6242	0.9708	0.9591	0.8373	0.9637
152	0.7831	0.5284	0.5098	0.7497	0.9751	0.5766	0.4809	0.968	0.6098	0.6904	0.6422	0.0	0.5732	0.8941	0.5673	0.6048	0.9096	0.8962	0.7045	0.9485
168	0.7811	0.4001	0.3951	0.745	1.0	0.6158	0.414	0.99	0.5186	0.7451	0.6261	0.5732	0.0	0.961	0.4569	0.4434	0.9503	0.9418	0.671	0.9559
162	0.9703	0.922	0.9327	0.9739	0.9992	0.8432	0.9314	0.9429	0.6273	0.971	0.9695	0.8941	0.961	0.0	0.9644	0.9705	0.3381	0.1984	0.9651	0.5843
165	0.7631	0.5201	0.4522	0.7498	0.9999	0.6535	0.4783	0.9919	0.5654	0.6453	0.6155	0.5673	0.4569	0.9644	0.0	0.4623	0.9594	0.9547	0.6974	0.9597
166	0.7742	0.3883	0.2886	0.7462	0.9999	0.6431	0.4478	0.9887	0.5494	0.7292	0.6242	0.6048	0.4434	0.9705	0.4623	0.0	0.9604	0.9567	0.7866	0.9535
160	0.9714	0.9294	0.9336	0.9609	0.9943	0.8871	0.9255	0.9952	0.7212	0.965	0.9708	0.9096	0.9503	0.3381	0.9594	0.9604	0.0	0.3378	0.9611	0.724
161	0.9656	0.921	0.9312	0.9622	1.0	0.8774	0.9197	0.9945	0.6883	0.9614	0.9591	0.8962	0.9418	0.1984	0.9547	0.9567	0.3378	0.0	0.9495	0.7099
171	0.8375	0.7348	0.7344	0.8069	1.0	0.7766	0.7728	0.992	0.8017	0.7747	0.8373	0.7045	0.671	0.9651	0.6974	0.7866	0.9611	0.9495	0.0	0.9608
163	0.9611	0.9338	0.9389	0.9529	0.9967	0.5059	0.9506	0.6224	0.6178	0.9607	0.9637	0.9485	0.9559	0.5843	0.9597	0.9535	0.724	0.7099	0.9608	0.0
