Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R1_001	96.7351840474	51.0	250.996006256	71612.0	41.6666666667
LALL-PD-KC2015-146-Control-0d-CS-16S_S1_L001_R2_001	91.7513824499	49.0	250.026755292	71612.0	33.3333333333
LALL-PD-KC2015-147-Control-0d-CS-16S_S2_L001_R1_001	95.2748978951	55.0	250.99604147	47745.0	41.6666666667
LALL-PD-KC2015-147-Control-0d-CS-16S_S2_L001_R2_001	89.7580898523	53.0	250.033280972	47745.0	33.3333333333
LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R1_001	96.0602095589	54.0	250.99562131	97061.0	33.3333333333
LALL-PD-KC2015-148-Control-0d-CS-16S_S3_L001_R2_001	91.4579491248	52.0	250.989563264	97061.0	33.3333333333
LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R1_001	97.7468953282	54.0	250.995647546	84550.0	33.3333333333
LALL-PD-KC2015-171-Control-30d-CS-16S_S4_L001_R2_001	92.8054405677	52.0	250.065274985	84550.0	41.6666666667
LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R1_001	96.8514583736	53.0	250.984160711	46593.0	41.6666666667
LALL-PD-KC2015-172-Control-30d-CS-16S_S5_L001_R2_001	91.4107269332	50.0	250.990298972	46593.0	41.6666666667
LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R1_001	97.2129639405	52.0	250.992987166	66307.0	41.6666666667
LALL-PD-KC2015-173-Control-30d-CS-16S_S6_L001_R2_001	91.854555326	50.0	250.035757914	66307.0	33.3333333333
LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R1_001	97.7630060583	52.0	249.997355515	83192.0	41.6666666667
LALL-PD-KC2015-176-LH-30d-CS-16S_S7_L001_R2_001	93.0774593711	50.0	250.035087508	83192.0	41.6666666667
LALL-PD-KC2015-177-LH-30d-CS-16S_S8_L001_R1_001	97.0334200889	52.0	250.994748601	43417.0	33.3333333333
LALL-PD-KC2015-177-LH-30d-CS-16S_S8_L001_R2_001	91.3720432089	50.0	250.032429693	43417.0	33.3333333333
LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R1_001	97.2130028108	53.0	250.992298042	62971.0	41.6666666667
LALL-PD-KC2015-178-LH-30d-CS-16S_S9_L001_R2_001	91.5866033571	50.0	250.037572851	62971.0	33.3333333333
LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R1_001	97.9959210661	52.0	249.99582794	107381.0	41.6666666667
LALL-PD-KC2015-181-LH-LB-30d-CS-16S_S10_L001_R2_001	93.2492712864	49.0	249.996051443	107381.0	33.3333333333
LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R1_001	97.5572384124	52.0	249.996051507	67874.0	41.6666666667
LALL-PD-KC2015-182-LH-LB-30d-CS-16S_S11_L001_R2_001	92.628989009	49.0	250.030924949	67874.0	33.3333333333
LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R1_001	97.5904541955	52.0	250.993810624	64950.0	41.6666666667
LALL-PD-KC2015-183-LH-LB-30d-CS-16S_S12_L001_R2_001	92.869899923	50.0	250.031639723	64950.0	33.3333333333
LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R1_001	97.0153070544	52.0	249.996639024	54746.0	41.6666666667
LALL-PD-KC2015-186-LB-30d-CS-16S_S13_L001_R2_001	91.9153910788	49.0	250.034650933	54746.0	41.6666666667
