	sequences per sample	iteration	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
alpha_rarefaction_10_0.txt	10	0	3.28553	1.45906	1.72466	2.48581	1.79291	2.16578	2.53817	1.94402	2.4621	3.58406	3.10308	1.9165	4.17481	4.16253	1.15642	2.11656	2.59484	2.62422	2.68398	3.04533	1.46727	2.46971	2.42802	2.20245	2.73109	3.9369	1.35439	2.37815	2.69781	2.13827	1.81008	3.56925	3.10764	2.81639
alpha_rarefaction_10_1.txt	10	1	1.97191	2.20545	2.21224	1.48778	1.38211	2.98395	3.37402	2.23649	2.77064	3.34641	3.79639	3.74214	4.50394	4.05993	1.96732	4.809	3.65711	3.03932	2.34834	3.44898	1.30694	2.06125	2.60167	1.82035	2.53196	3.73462	2.74722	3.28273	2.45338	2.46318	1.64906	3.29146	2.42656	3.54498
alpha_rarefaction_10_2.txt	10	2	1.59633	1.42762	1.77453	1.89545	1.19883	2.87709	3.89265	2.23727	3.0904	3.69289	3.10561	3.65714	3.38855	3.33042	2.74009	3.424	2.67268	4.32412	3.19039	4.51393	1.38632	1.45569	2.9742	2.05167	2.23946	3.27649	3.54569	4.06963	2.28087	1.35537	1.87252	2.77094	2.16511	3.63448
alpha_rarefaction_10_3.txt	10	3	1.79703	1.51145	1.48718	2.58682	2.08701	2.56125	2.79141	2.92079	2.58622	4.7222	2.70834	3.12651	3.51033	4.08784	3.63944	1.85923	2.7609	3.06983	2.01986	3.33358	3.32752	2.2989	2.40545	2.13874	2.12843	1.95887	2.36214	3.50707	2.44043	1.98802	1.59899	3.12768	2.04758	2.03229
alpha_rarefaction_10_4.txt	10	4	1.56714	2.46912	1.62447	1.98696	1.34825	2.64788	3.29787	3.64239	2.18119	4.77944	4.91089	3.15421	2.76369	4.44564	4.13996	2.60207	2.43314	2.01406	3.63003	2.86075	2.13944	2.83078	1.48679	2.11169	2.12044	3.05912	2.74703	3.0241	2.95853	2.31181	1.963	2.53775	2.32878	2.76827
alpha_rarefaction_10_5.txt	10	5	1.7923	2.2785	2.09268	1.90921	2.212	1.82119	2.81321	2.73394	2.47319	3.05227	2.93155	3.58505	3.74951	4.03878	3.55149	4.68784	3.0662	2.50859	2.81981	2.55853	2.84611	2.65364	2.07124	2.35337	1.9364	2.51738	2.08329	3.61735	2.54283	1.76793	2.05894	3.59737	2.37256	3.0888
alpha_rarefaction_10_6.txt	10	6	1.38013	1.39955	1.51139	1.59509	1.57994	2.72837	2.4776	2.49315	3.72087	3.78705	3.91965	2.08144	3.71066	3.5074	3.8667	4.80044	1.89498	2.70487	2.64079	3.23326	1.53688	3.18552	2.63121	2.23181	2.46353	3.44923	3.40513	2.62745	4.28624	1.92739	1.90279	2.73862	2.5044	2.36357
alpha_rarefaction_10_7.txt	10	7	1.44455	1.76646	2.38286	1.81367	2.53503	3.30571	2.61019	2.52691	3.73419	4.97416	4.85246	3.96307	2.24655	3.53849	2.47463	3.08769	1.79977	1.85031	2.46062	3.23571	3.58896	3.97074	2.27342	2.1422	1.29068	2.82357	1.56687	3.02529	2.91236	1.35703	1.99343	2.15506	2.85418	3.03427
alpha_rarefaction_10_8.txt	10	8	1.58706	1.77032	2.27386	3.02881	1.43903	3.41171	3.39859	2.38313	4.04713	3.75198	4.52414	3.41049	2.29391	2.24077	2.61109	3.56302	2.57925	2.99681	3.34884	3.26738	2.30635	1.54534	1.22035	2.34117	1.69448	2.94764	1.37048	2.98698	3.31711	2.23412	1.8077	3.43709	3.34005	2.75636
alpha_rarefaction_10_9.txt	10	9	1.96391	2.50965	1.96654	2.44717	2.39809	2.92166	2.16057	2.72221	4.53826	3.78121	3.99389	4.62891	2.23477	2.75184	3.80361	2.16308	3.04629	2.17145	2.66528	4.41695	2.64025	2.00599	1.9658	1.73995	2.24638	2.88894	1.34257	2.63331	2.50713	2.51041	2.52832	1.71845	2.42419	3.66733
