candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10001 1146_35642	412		834065	94.90	412
10002 1143_5496	412		834065	95.60	412
1004022 1147_6821	413		2818167	93.50	413
10085 764_35560	412		834065	95.40	412
1008941 833_1196	413		518033	95.60	413
1009894 764_53369	412		126133	99.50	412
1010721 448_51874	409		993578	89.00	409
1017364 1141_4751	413		4308184	93.70	413
1022184 1023_30904	412		834065	95.90	412
102222 1143_56225	413		518033	95.20	413
1023428 1145_31992	413		773586	94.40	413
102348 1023_2577	412		215053	91.30	412
103166 1031_5185	409		268585	94.90	409
1033018 427_2299	411		157064	92.90	411
103314 833_15905	413		773586	94.90	413
1034564 448_51202	409		993578	89.20	409
1039477 1152_8521	413		928249	94.40	413
104044 764_47702	412		289174	94.40	412
1040713 1022_46048	415		269248	95.20	415
1051517 1157_4174	414		4406763	96.40	414
1059729 833_15244	413		773586	95.40	413
1060029 1020_15364	414		4363681	98.10	414
1062748 449_6961	414		4323733	98.60	414
1065974 431_1826	413		518033	93.90	413
1067651 1157_159	412		202319	92.50	412
1067865 425_9144	411		749805	92.50	411
1076316 430_9843	412		928249	95.60	412
1078248 1157_504	413		4406763	97.30	413
1078373 1152_3480	412		834065	94.90	412
1080980 431_19033	409		922912	91.00	409
1081222 1157_3469	412		202319	92.50	412
1082539 1036_25845	412		316765	94.20	412
1082846 1157_4354	414		264412	94.40	414
1083508 425_1696	413		93199	93.20	413
1084045 833_7071	413		1140492	97.10	413
1084865 1152_25765	413		928249	95.40	413
1084906 1152_19546	413		928249	95.20	413
1085646 1157_4649	413		518033	95.60	413
1085832 1032_17073	412		316765	94.90	412
1086621 425_2948	411		749805	93.70	411
1088265 834_5171	414		108724	89.60	414
1090059 833_11679	410		773586	95.60	410
1096010 1023_16752	414		936750	94.70	414
1097359 1017_8646	412		126133	95.40	412
1098184 834_1332	414		108724	91.10	414
1098655 1141_4960	411		4406763	95.40	411
1105459 431_1787	412		268585	94.20	412
1105814 834_3331	411		573135	97.80	411
1105876 432_396	412		235800	93.40	412
1105919 758_41712	411		749805	94.40	411
1107027 1035_1302	413		518033	93.70	413
1108007 448_48859	411		4482886	95.90	411
1108289 1023_34406	410		140910	96.10	410
1108350 431_17193	413		368639	95.20	413
1108417 1019_46523	411		37026	92.00	411
1108638 1016_2180	416		4403574	93.30	416
1108706 457_38377	411		834065	95.10	411
1108960 1016_5930	412		926588	92.70	412
1109334 1146_28501	412		202319	94.90	412
1109429 1143_40023	412		834065	95.60	412
1110317 1033_38	413		518033	96.90	413
1110763 1033_599	412		834065	96.40	412
1110787 833_14151	412		1143228	91.30	412
1111294 1143_4720	412		834065	95.60	412
1111582 1146_14076	413		773586	94.40	413
1111874 1023_38233	412		268585	94.90	412
1116674 1017_26080	412		268585	94.90	412
1117908 1032_20966	412		834065	96.10	412
1119540 759_455	412		289174	94.70	412
1121530 1035_15910	413		518033	93.20	413
1122622 1022_9758	412		592303	94.70	412
1123021 1141_9273	413		4406763	96.90	413
1123414 759_44895	412		834065	95.90	412
1126111 1146_16980	412		834065	95.40	412
1126506 1143_1843	412		289174	95.90	412
1127349 1138_1406	412		4406763	95.40	412
1128398 1017_10875	412		834065	93.40	412
1129841 758_35288	410		686593	95.40	410
113180 429_9884	412		354006	91.70	412
1132297 451_36184	414		518033	98.60	414
1134031 1023_38612	413		1668820	96.90	413
1135616 1032_1464	413		518033	94.20	413
1136676 842_2166	412		140806	92.00	412
1136710 437_29745	413		518033	96.10	413
1138534 1032_19401	413		1668820	97.10	413
1139769 457_46827	408		4455886	94.90	408
1141188 448_38201	411		268585	95.40	411
114166 759_17048	413		773586	94.20	413
1141758 431_18125	413		3359884	98.30	413
1142199 1023_3961	411		95370	86.60	411
114233 1138_9637	413		4406763	96.10	413
114462 427_1246	412		1047956	93.90	412
122049 1147_24341	411		289174	94.40	411
123510 1033_14298	412		268585	95.10	412
124309 1146_24798	412		834065	95.10	412
131383 1157_1548	412		202319	92.00	412
134671 431_13941	412		212126	93.90	412
136946 1023_3511	412		268585	94.90	412
137043 442_15931	413		518033	96.40	413
137866 451_35363	412		520017	95.40	412
138130 1157_4851	412		2435847	93.20	412
144814 1025_35265	413		289174	93.00	413
14592 1157_2395	413		4406763	93.90	413
148003 1146_30950	412		834065	95.90	412
148827 831_1157	413		773586	95.20	413
149034 1035_9905	412		834065	95.60	412
1513771 1033_623	413		518033	95.90	413
152125 1022_476	411		749805	94.40	411
1523543 457_32725	411		697063	98.30	411
152485 448_29894	413		773586	93.70	413
152859 431_8895	411		268585	94.90	411
15286 833_15202	413		773586	94.90	413
153978 1143_47533	413		3359884	95.40	413
156232 760_18391	411		516285	92.90	411
157489 839_19229	413		518033	96.60	413
157866 1157_1481	412		4406763	97.10	412
159299 1141_9011	410		4406763	92.70	410
159446 1143_52849	412		518033	96.10	412
160548 1033_1906	413		518033	94.70	413
16144 1032_12389	413		4430839	96.60	413
164430 764_39106	412		834065	95.90	412
164789 430_8943	412		834065	94.90	412
1649772 1152_49	412		834065	96.10	412
166235 1152_9950	412		268585	93.20	412
1663575 430_17538	412		289174	94.90	412
169538 844_27386	412		834065	95.40	412
171518 844_4167	412		268585	93.90	412
172586 759_52123	410		268585	94.60	410
1730876 458_35668	410		102710	91.50	410
175060 455_51318	315		875406	83.80	315
1759078 764_27520	413		773586	93.90	413
175931 458_37366	411		760005	92.50	411
1787644 763_35958	413		3359884	97.60	413
1793401 1150_8109	413		3359884	96.10	413
18499 459_9005	412		354006	93.00	412
189438 447_15416	412		4319691	94.70	412
189482 1031_11934	413		1668820	94.40	413
1901956 1023_7654	412		215053	92.00	412
1918929 1143_1022	421		3792581	92.20	421
192776 1033_21085	412		518033	96.10	412
197286 448_41222	412		268585	93.70	412
1991307 1143_43241	413		518033	95.90	413
210269 764_4124	410		268585	93.70	410
211593 758_9750	412		212126	94.20	412
213522 431_3599	412		289174	94.90	412
219439 1148_11571	413		93199	92.70	413
222397 1141_9927	413		4406763	96.90	413
223368 1146_23125	412		834065	95.40	412
224670 1035_10192	412		834065	94.90	412
225582 1155_1386	410		686593	97.80	410
225919 833_9382	413		773586	94.20	413
226338 431_9238	413		4406763	94.20	413
228494 1143_25656	412		289174	95.60	412
228556 431_14356	412		268585	93.00	412
2304693 764_44358	412		834065	95.40	412
232696 1022_5268	412		268585	94.70	412
236142 1026_22664	412		834065	95.90	412
236811 448_49389	412		834065	95.40	412
236821 431_21244	412		268585	93.70	412
23694 764_36382	412		268585	95.40	412
237081 431_19698	413		4482886	95.90	413
239619 1146_8507	412		1047956	95.40	412
240268 1031_14476	409		4388133	94.60	409
240810 1018_2864	412		834065	95.40	412
241789 1019_24488	412		834065	94.20	412
24271 1143_24041	413		518033	94.70	413
243185 1152_23465	411		268585	95.40	411
2445338 759_7910	412		289174	95.90	412
245980 425_3553	413		3359884	96.90	413
250206 451_37737	411		686593	97.30	411
251243 431_819	413		4482886	94.40	413
252679 456_26589	413		4482886	95.90	413
2529278 1023_23288	411		268585	93.40	411
2529285 431_22499	412		834065	94.40	412
253061 448_18217	409		268585	94.40	409
254021 1143_46871	413		4482886	94.40	413
254031 1019_26741	411		749805	94.90	411
254053 454_25255	413		518033	96.90	413
254888 1022_45268	411		1146188	93.90	411
254938 1151_30990	411		4456735	93.20	411
257492 448_28461	412		773586	94.20	412
2582263 1035_9368	412		834065	96.10	412
259544 459_40298	409		308972	88.80	409
261110 1146_19156	411		834065	96.10	411
261241 833_15897	413		773586	94.20	413
266330 1150_15668	413		518033	99.00	413
266445 762_49239	413		1668820	96.90	413
2665096 765_14027	409		4388133	95.60	409
267416 1032_12959	412		834065	94.90	412
268061 758_26953	409		144239	92.20	409
268101 448_41480	412		1047956	94.20	412
268592 1033_20888	413		518033	98.80	413
270355 431_11423	412		834065	94.70	412
273018 764_53889	409		327512	91.00	409
273647 1032_2008	412		516285	93.00	412
274365 1152_22261	412		834065	96.10	412
