	sequences per sample	iteration	155	168	176	172	166	177	145	148	147	146	178	156	157	161	170	173	175	171	153	165	160	167	151	150	163	158	162	152
alpha_rarefaction_1009_9.txt	1009	9	52.0	144.333333333	67.0	172.0	139.055555556	144.0	1145.44	837.193548387	735.933333333	805.0	50.0	492.136363636	100.25	42.6666666667	105.142857143	64.0	79.2	72.0	79.5	152.166666667	98.0	136.0	93.0	53.3333333333	63.0	73.2	61.6666666667	32.0
alpha_rarefaction_2008_0.txt	2008	0	165.5	156.6	109.142857143	209.6	318.588235294	116.9375	970.545454545	986.220588235	752.227272727	998.797468354	133.5	561.0	128.0	223.5	160.5	70.25	104.0	128.647058824	183.1	405.3	105.615384615	233.461538462	126.111111111	148.625	74.5	136.375	174.0	89.1666666667
alpha_rarefaction_2008_1.txt	2008	1	231.0	145.090909091	113.5	116.090909091	341.681818182	144.909090909	1093.67857143	1001.98507463	861.58490566	1075.87301587	112.2	559.583333333	147.5	215.5	138.75	83.0	133.0	260.0	183.909090909	329.071428571	124.583333333	169.4	210.0	102.8	112.428571429	153.0	99.0	100.0
alpha_rarefaction_2008_2.txt	2008	2	110.0	267.5	168.166666667	158.111111111	338.454545455	295.5	1112.66666667	996.372881356	1045.39583333	934.054054054	57.75	464.520833333	169.2	155.142857143	154.111111111	92.4285714286	227.75	124.0	113.866666667	312.272727273	145.5	146.066666667	137.111111111	184.2	88.875	120.090909091	205.5	44.0
alpha_rarefaction_2008_3.txt	2008	3	115.0	281.5	139.0	185.25	387.2	152.333333333	907.313432836	871.942857143	753.166666667	935.833333333	105.0	486.428571429	131.3	105.5	151.1	90.2	204.428571429	139.461538462	137.875	268.285714286	95.0	172.0	174.0	199.75	152.6	219.5	109.0	173.333333333
alpha_rarefaction_2008_4.txt	2008	4	87.0	174.5	238.25	174.272727273	367.55	219.8	1016.609375	1095.55555556	825.267857143	1215.35849057	88.4285714286	518.736842105	109.666666667	110.8	169.111111111	85.0	102.0	136.909090909	155.153846154	211.769230769	103.153846154	277.666666667	157.666666667	185.2	87.5454545455	155.875	180.2	55.4285714286
alpha_rarefaction_2008_5.txt	2008	5	145.2	105.0	129.0	135.0	388.476190476	128.583333333	1079.765625	918.638888889	819.35	1208.84615385	100.0	561.27027027	133.2	94.6	131.125	319.0	136.0	121.0	129.5	300.882352941	171.25	147.066666667	175.0	102.8	85.0	188.5	107.666666667	72.0
alpha_rarefaction_2008_6.txt	2008	6	163.25	242.6	208.0	244.0	248.24137931	148.25	1077.25	1018.75	730.0	952.642857143	44.0	492.0	130.375	150.875	274.166666667	185.333333333	85.2	228.0	191.6	279.5	136.571428571	105.0	156.5	101.5	103.0	411.0	199.5	102.0
alpha_rarefaction_2008_7.txt	2008	7	117.0	156.5	118.111111111	253.75	321.285714286	219.0	1212.92857143	993.333333333	962.6	1025.66176471	113.666666667	518.454545455	136.0	163.0	145.833333333	186.333333333	84.625	187.25	155.615384615	212.214285714	96.7692307692	186.071428571	146.666666667	93.3333333333	66.1111111111	240.75	125.375	80.5
alpha_rarefaction_2008_8.txt	2008	8	83.5	163.0	99.0	143.0	415.1875	144.461538462	1236.11864407	996.85	821.107142857	995.545454545	94.1666666667	672.785714286	143.0	189.2	281.2	89.2	287.6	216.0	237.0	247.571428571	161.666666667	144.894736842	108.666666667	210.333333333	131.142857143	219.5	104.111111111	123.0
alpha_rarefaction_2008_9.txt	2008	9	94.6	229.142857143	384.0	194.076923077	289.291666667	136.6	1034.0	967.114754098	873.02	1016.2173913	82.2	476.294117647	231.0	88.1666666667	84.0	48.1111111111	172.0	179.142857143	156.1	217.066666667	88.5	217.1	301.2	152.75	88.875	104.75	166.166666667	49.1
alpha_rarefaction_3007_0.txt	3007	0	204.75	203.625	193.0	283.0	367.5	182.0	1320.0125	1187.63218391	1152.34246575	1210.90526316	116.428571429	498.153846154	104.272727273	131.75	217.0	113.0	143.333333333	196.3125	180.476190476	258.0	200.75	222.04	272.857142857	320.0	101.090909091	198.666666667	107.375	116.857142857
alpha_rarefaction_3007_1.txt	3007	1	222.0	195.055555556	167.0	374.0	315.5	210.2	1186.41860465	1339.08955224	1071.57142857	1151.28037383	158.0	580.4	235.142857143	262.0	214.6	72.1428571429	221.333333333	258.1	249.6	370.333333333	142.0	233.25	246.25	132.375	124.909090909	159.272727273	89.25	100.5
alpha_rarefaction_3007_2.txt	3007	2	220.5	298.111111111	142.272727273	278.0	411.391304348	228.615384615	1170.45454545	1144.47368421	973.458333333	1337.3253012	137.0	601.5	230.5	105.714285714	162.6875	133.25	214.666666667	171.5	355.5	492.090909091	150.111111111	247.315789474	335.857142857	241.0	107.571428571	230.1	151.666666667	91.2
alpha_rarefaction_3007_3.txt	3007	3	314.0	233.5	161.875	281.8125	388.0	146.0	1363.43037975	1174.81333333	1132.15384615	1119.30693069	142.5	633.769230769	164.666666667	122.882352941	251.214285714	111.5	223.428571429	177.230769231	248.375	390.117647059	135.0	206.5	143.461538462	227.111111111	130.0	140.363636364	135.333333333	88.75
alpha_rarefaction_3007_4.txt	3007	4	241.5	192.3125	171.0	192.0	328.090909091	253.4	1144.50526316	1089.86904762	1178.26470588	1450.375	172.0	661.022727273	212.428571429	124.5	264.545454545	279.0	196.333333333	289.3	237.0625	273.272727273	161.5	286.769230769	251.0	194.375	203.428571429	145.230769231	130.0	288.0
alpha_rarefaction_3007_5.txt	3007	5	96.5	151.2	190.2	299.0	411.111111111	308.111111111	1222.07142857	1218.25301205	1231.2	1309.10869565	132.142857143	547.4	220.5	235.111111111	200.230769231	139.142857143	114.0	166.0	235.583333333	336.8	147.333333333	187.285714286	158.4	131.909090909	82.3636363636	238.111111111	142.928571429	97.6
alpha_rarefaction_3007_6.txt	3007	6	141.0	185.055555556	232.375	250.545454545	417.391304348	149.0	1135.0	1262.72368421	1084.2173913	1503.5	154.428571429	666.942307692	153.0	192.25	183.0	122.428571429	172.111111111	210.769230769	200.888888889	312.142857143	121.090909091	197.375	138.333333333	394.2	150.666666667	187.875	128.363636364	119.5
