Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
146.extendedFrags	96.8302079202	51.0	291.997478896	70604.0	41.6666666667
147.extendedFrags	95.3335454449	54.0	291.990327712	47145.0	41.6666666667
148.extendedFrags	96.1182183698	54.0	291.99065323	95755.0	50.0
171.extendedFrags	97.7668029201	53.0	291.998177961	83423.0	41.6666666667
172.extendedFrags	96.8847894187	52.0	291.990971981	45968.0	33.3333333333
173.extendedFrags	97.2830742871	52.0	291.996573247	65368.0	41.6666666667
176.extendedFrags	97.777021111	51.0	291.998273178	82232.0	41.6666666667
177.extendedFrags	97.0516142587	51.0	292.004248664	42837.0	41.6666666667
178.extendedFrags	97.2704394399	52.0	291.997176873	61988.0	33.3333333333
181.extendedFrags	98.0042839484	51.0	291.997310737	105977.0	41.6666666667
182.extendedFrags	97.5843031931	51.0	291.996045956	67020.0	41.6666666667
183.extendedFrags	97.6170822496	51.0	292.958758391	64207.0	41.6666666667
186.extendedFrags	97.1140131518	51.0	292.952097805	53985.0	41.6666666667
187.extendedFrags	96.6906342183	51.0	292.958148968	32544.0	41.6666666667
188.extendedFrags	97.3284792205	51.0	291.992894704	56859.0	41.6666666667
191.extendedFrags	95.7647220599	52.0	292.960603665	29089.0	33.3333333333
192.extendedFrags	96.5309717956	53.0	292.000592463	64139.0	50.0
193.extendedFrags	96.9491724209	52.0	292.001524681	68211.0	33.3333333333
196.extendedFrags	96.4099766946	53.0	292.000264458	60501.0	50.0
197.extendedFrags	96.1873432101	52.0	292.959909121	42254.0	41.6666666667
198.extendedFrags	96.2183104523	52.0	292.957024341	47492.0	33.3333333333
201.extendedFrags	96.4947103075	52.0	292.008832695	50381.0	41.6666666667
202.extendedFrags	96.3054062278	52.0	292.956663962	39436.0	41.6666666667
203.extendedFrags	96.4948277336	53.0	291.993930068	58485.0	50.0
206.extendedFrags	96.1661219731	53.0	291.985073486	52323.0	41.6666666667
207.extendedFrags	96.0034335631	53.0	291.982377742	39609.0	41.6666666667
208.extendedFrags	96.958736948	52.0	291.996839225	63592.0	41.6666666667
