Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
5101-145-MSITS2a.extendedFrags	98.5071547795	46.0	265.980439227	53321.0	50.0
5101-146-MSITS2a.extendedFrags	98.4270242393	48.0	270.144189445	46536.0	41.6666666667
5101-147-MSITS2a.extendedFrags	98.3814014695	45.0	264.615549951	45595.0	41.6666666667
5101-148-MSITS2a.extendedFrags	98.2004027427	46.0	264.150620683	39231.0	50.0
5101-150-MSITS2a.extendedFrags	98.13006094	39.0	243.614909425	23958.0	50.0
5101-151-MSITS2a.extendedFrags	98.1611532064	40.0	256.544677509	21644.0	50.0
5101-152-MSITS2a.extendedFrags	98.4758013828	40.0	259.295725959	44548.0	41.6666666667
5101-153-MSITS2a.extendedFrags	98.5218508997	40.0	254.524718212	40456.0	50.0
5101-155-MSITS2a.extendedFrags	98.5815262969	49.0	272.442266683	41735.0	41.6666666667
5101-156-MSITS2a.extendedFrags	98.5467544182	43.0	259.696455417	29933.0	41.6666666667
5101-157-MSITS2a.extendedFrags	98.651390676	42.0	271.175492428	40412.0	41.6666666667
5101-158-MSITS2a.extendedFrags	98.4809558764	45.0	296.622481853	49044.0	50.0
5101-160-MSITS2a.extendedFrags	99.4241901712	44.0	231.351767459	129904.0	50.0
5101-161-MSITS2a.extendedFrags	99.2251861925	43.0	250.939137585	63241.0	41.6666666667
5101-162-MSITS2a.extendedFrags	99.1887806265	45.0	244.592788829	66813.0	41.6666666667
5101-163-MSITS2a.extendedFrags	99.0576173374	47.0	256.998864229	65154.0	50.0
5101-165-MSITS2a.extendedFrags	98.6392774587	41.0	257.001310678	41963.0	41.6666666667
5101-166-MSITS2a.extendedFrags	98.8779451084	39.0	249.469206335	43759.0	41.6666666667
5101-167-MSITS2a.extendedFrags	98.9659807672	40.0	254.6332104	87039.0	41.6666666667
5101-168-MSITS2a.extendedFrags	98.5272354036	39.0	254.423378049	41894.0	50.0
5101-170-MSITS2a.extendedFrags	98.7868100396	41.0	263.149958234	75421.0	50.0
5101-171-MSITS2a.extendedFrags	97.4766151838	40.0	272.686860996	18388.0	41.6666666667
5101-172-MSITS2a.extendedFrags	92.243767313	39.0	258.522160665	722.0	33.3333333333
5101-173-MSITS2a.extendedFrags	98.7520602778	38.0	263.155510842	46717.0	41.6666666667
5101-175-MSITS2a.extendedFrags	99.0756714548	40.0	229.001361977	55067.0	41.6666666667
5101-176-MSITS2a.extendedFrags	97.8083868993	40.0	259.212488522	16335.0	50.0
5101-177-MSITS2a.extendedFrags	98.3872953342	43.0	260.234371538	40615.0	41.6666666667
5101-178-MSITS2a.extendedFrags	96.739015352	45.0	263.29835892	18890.0	50.0
