study	day	treatment	rep	ID	File R1	File R2
15 HIL HMC	0	C	1	520	LALL-PD-KC2015-520-Control-0d-HMC-16S_S28_L001_R1_001.fastq	LALL-PD-KC2015-520-Control-0d-HMC-16S_S28_L001_R2_001.fastq
15 HIL HMC	0	C	2	521	LALL-PD-KC2015-521-Control-0d-HMC-16S_S29_L001_R1_001.fastq	LALL-PD-KC2015-521-Control-0d-HMC-16S_S29_L001_R2_001.fastq
15 HIL HMC	0	C	3	522	LALL-PD-KC2015-522-Control-0d-HMC-16S_S30_L001_R1_001.fastq	LALL-PD-KC2015-522-Control-0d-HMC-16S_S30_L001_R2_001.fastq
15 HIL HMC	10	C	1	525	LALL-PD-KC2015-525-Control-10d-HMC-16S_S31_L001_R1_001.fastq	LALL-PD-KC2015-525-Control-10d-HMC-16S_S31_L001_R2_001.fastq
15 HIL HMC	10	C	2	526	LALL-PD-KC2015-526-Control-10d-HMC-16S_S32_L001_R1_001.fastq	LALL-PD-KC2015-526-Control-10d-HMC-16S_S32_L001_R2_001.fastq
15 HIL HMC	10	C	3	527	LALL-PD-KC2015-527-Control-10d-HMC-16S_S33_L001_R1_001.fastq	LALL-PD-KC2015-527-Control-10d-HMC-16S_S33_L001_R2_001.fastq
15 HIL HMC	10	LH	1	530	LALL-PD-KC2015-530-LH-10d-HMC-16S_S34_L001_R1_001.fastq	LALL-PD-KC2015-530-LH-10d-HMC-16S_S34_L001_R2_001.fastq
15 HIL HMC	10	LH	2	531	LALL-PD-KC2015-531-LH-10d-HMC-16S_S35_L001_R1_001.fastq	LALL-PD-KC2015-531-LH-10d-HMC-16S_S35_L001_R2_001.fastq
15 HIL HMC	10	LH	3	532	LALL-PD-KC2015-532-LH-10d-HMC-16S_S36_L001_R1_001.fastq	LALL-PD-KC2015-532-LH-10d-HMC-16S_S36_L001_R2_001.fastq
15 HIL HMC	10	LH + LB	1	535	LALL-PD-KC2015-535-LH-LB-10d-HMC-16S_S37_L001_R1_001.fastq	LALL-PD-KC2015-535-LH-LB-10d-HMC-16S_S37_L001_R2_001.fastq
15 HIL HMC	10	LH + LB	2	536	LALL-PD-KC2015-536-LH-LB-10d-HMC-16S_S38_L001_R1_001.fastq	LALL-PD-KC2015-536-LH-LB-10d-HMC-16S_S38_L001_R2_001.fastq
15 HIL HMC	10	LH + LB	3	537	LALL-PD-KC2015-537-LH-LB-10d-HMC-16S_S39_L001_R1_001.fastq	LALL-PD-KC2015-537-LH-LB-10d-HMC-16S_S39_L001_R2_001.fastq
15 HIL HMC	10	LB	1	540	LALL-PD-KC2015-540-LB-10d-HMC-16S_S40_L001_R1_001.fastq	LALL-PD-KC2015-540-LB-10d-HMC-16S_S40_L001_R2_001.fastq
15 HIL HMC	10	LB	2	541	LALL-PD-KC2015-541-LB-10d-HMC-16S_S41_L001_R1_001.fastq	LALL-PD-KC2015-541-LB-10d-HMC-16S_S41_L001_R2_001.fastq
15 HIL HMC	10	LB	3	542	LALL-PD-KC2015-542-LB-10d-HMC-16S_S42_L001_R1_001.fastq	LALL-PD-KC2015-542-LB-10d-HMC-16S_S42_L001_R2_001.fastq
15 HIL HMC	30	C	1	545	LALL-PD-KC2015-545-Control-30d-HMC-16S_S43_L001_R1_001.fastq	LALL-PD-KC2015-545-Control-30d-HMC-16S_S43_L001_R2_001.fastq
15 HIL HMC	30	C	2	546	LALL-PD-KC2015-546-Control-30d-HMC-16S_S44_L001_R1_001.fastq	LALL-PD-KC2015-546-Control-30d-HMC-16S_S44_L001_R2_001.fastq
15 HIL HMC	30	C	3	547	LALL-PD-KC2015-547-Control-30d-HMC-16S_S45_L001_R1_001.fastq	LALL-PD-KC2015-547-Control-30d-HMC-16S_S45_L001_R2_001.fastq
15 HIL HMC	30	LH	1	550	LALL-PD-KC2015-550-LH-30d-HMC-16S_S46_L001_R1_001.fastq	LALL-PD-KC2015-550-LH-30d-HMC-16S_S46_L001_R2_001.fastq
15 HIL HMC	30	LH	2	551	LALL-PD-KC2015-551-LH-30d-HMC-16S_S47_L001_R1_001.fastq	LALL-PD-KC2015-551-LH-30d-HMC-16S_S47_L001_R2_001.fastq
15 HIL HMC	30	LH	3	552	LALL-PD-KC2015-552-LH-30d-HMC-16S_S48_L001_R1_001.fastq	LALL-PD-KC2015-552-LH-30d-HMC-16S_S48_L001_R2_001.fastq
15 HIL HMC	30	LH + LB	1	555	LALL-PD-KC2015-555-LH-LB-30d-HMC-16S_S49_L001_R1_001.fastq	LALL-PD-KC2015-555-LH-LB-30d-HMC-16S_S49_L001_R2_001.fastq
15 HIL HMC	30	LH + LB	2	556	LALL-PD-KC2015-556-LH-LB-30d-HMC-16S_S50_L001_R1_001.fastq	LALL-PD-KC2015-556-LH-LB-30d-HMC-16S_S50_L001_R2_001.fastq
15 HIL HMC	30	LH + LB	3	557	LALL-PD-KC2015-557-LH-LB-30d-HMC-16S_S51_L001_R1_001.fastq	LALL-PD-KC2015-557-LH-LB-30d-HMC-16S_S51_L001_R2_001.fastq
15 HIL HMC	30	LB	1	560	LALL-PD-KC2015-560-LB-30d-HMC-16S_S52_L001_R1_001.fastq	LALL-PD-KC2015-560-LB-30d-HMC-16S_S52_L001_R2_001.fastq
15 HIL HMC	30	LB	2	561	LALL-PD-KC2015-561-LB-30d-HMC-16S_S53_L001_R1_001.fastq	LALL-PD-KC2015-561-LB-30d-HMC-16S_S53_L001_R2_001.fastq
15 HIL HMC	30	LB	3	562	LALL-PD-KC2015-562-LB-30d-HMC-16S_S54_L001_R1_001.fastq	LALL-PD-KC2015-562-LB-30d-HMC-16S_S54_L001_R2_001.fastq
15 HIL HMC	92	C	1	565	LALL-PD-KC2015-565-Control-92d-HMC-16S_S55_L001_R1_001.fastq	LALL-PD-KC2015-565-Control-92d-HMC-16S_S55_L001_R2_001.fastq
15 HIL HMC	92	C	2	566	LALL-PD-KC2015-566-Control-92d-HMC-16S_S56_L001_R1_001.fastq	LALL-PD-KC2015-566-Control-92d-HMC-16S_S56_L001_R2_001.fastq
15 HIL HMC	92	C	3	567	LALL-PD-KC2015-567-Control-92d-HMC-16S_S57_L001_R1_001.fastq	LALL-PD-KC2015-567-Control-92d-HMC-16S_S57_L001_R2_001.fastq
15 HIL HMC	92	LH	1	570	LALL-PD-KC2015-570-LH-92d-HMC-16S_S58_L001_R1_001.fastq	LALL-PD-KC2015-570-LH-92d-HMC-16S_S58_L001_R2_001.fastq
15 HIL HMC	92	LH	2	571	LALL-PD-KC2015-571-LH-92d-HMC-16S_S59_L001_R1_001.fastq	LALL-PD-KC2015-571-LH-92d-HMC-16S_S59_L001_R2_001.fastq
15 HIL HMC	92	LH	3	572	LALL-PD-KC2015-574-LH-92d-HMC-16S_S60_L001_R1_001.fastq	LALL-PD-KC2015-574-LH-92d-HMC-16S_S60_L001_R2_001.fastq
15 HIL HMC	92	LH + LB	1	575	LALL-PD-KC2015-575-LH-LB-92d-HMC-16S_S61_L001_R1_001.fastq	LALL-PD-KC2015-575-LH-LB-92d-HMC-16S_S61_L001_R2_001.fastq
15 HIL HMC	92	LH + LB	2	576	LALL-PD-KC2015-576-LH-LB-92d-HMC-16S_S62_L001_R1_001.fastq	LALL-PD-KC2015-576-LH-LB-92d-HMC-16S_S62_L001_R2_001.fastq
15 HIL HMC	92	LH + LB	3	577	LALL-PD-KC2015-577-LH-LB-92d-HMC-16S_S63_L001_R1_001.fastq	LALL-PD-KC2015-577-LH-LB-92d-HMC-16S_S63_L001_R2_001.fastq
15 HIL HMC	92	LB	1	580	LALL-PD-KC2015-580-LB-92d-HMC-16S_S64_L001_R1_001.fastq	LALL-PD-KC2015-580-LB-92d-HMC-16S_S64_L001_R2_001.fastq
15 HIL HMC	92	LB	2	581	LALL-PD-KC2015-581-LB-92d-HMC-16S_S65_L001_R1_001.fastq	LALL-PD-KC2015-581-LB-92d-HMC-16S_S65_L001_R2_001.fastq
15 HIL HMC	92	LB	3	582	LALL-PD-KC2015-582-LB-92d-HMC-16S_S66_L001_R1_001.fastq	LALL-PD-KC2015-582-LB-92d-HMC-16S_S66_L001_R2_001.fastq
