OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-NS_mean	S2-NS_mean	S2-3H_mean	C-3H-LATE_mean	C-3H_mean	S2-3H-LATE_mean	taxonomy
JN906613	16.7742966752	0.0101495291025	0.0883252791865	1.0	2.5	13.25	12.75	14.5	2.0	1.5	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721776	16.7588209983	0.0102117027222	0.0883252791865	1.0	45.25	0.0	1.25	2.0	0.0	0.25	3.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JF300397	16.7304626446	0.0103265873676	0.0883252791865	1.0	583.25	29.5	20.75	15.25	0.0	0.0	242.0	k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedAscomycota
New.CleanUp.ReferenceOTU746	16.5266335227	0.0111897935323	0.0922703332836	1.0	13.0	0.0	2.5	6.25	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_5_TMS_2011
EU480006	16.4757124352	0.0114160648596	0.0922703332836	1.0	4.0	0.75	0.5	0.0	0.25	0.0	0.0	k__Fungi; p__Basidiomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedBasidiomycota
New.ReferenceOTU5	16.4502919708	0.0115306656607	0.0922703332836	1.0	0.5	19.0	15.5	41.25	5.5	10.5	0.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FJ762984	16.3529776675	0.011979705054	0.0922703332836	1.0	15.25	58.0	83.5	114.25	16.5	82.0	4.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU300	16.3251533742	0.012111160167	0.0922703332836	1.0	0.25	1.5	2.25	1.5	0.0	0.25	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ515349	16.3138424821	0.0121649941891	0.0922703332836	1.0	291.25	0.0	3.5	3.0	0.0	6.25	7.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HM037642	16.0510033445	0.0134828145482	0.100372063859	1.0	143.75	7.0	9.25	43.25	0.5	0.0	2.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
New.CleanUp.ReferenceOTU438	15.7889908257	0.0149324836161	0.107929645174	1.0	0.0	1.5	1.25	1.5	0.0	2.5	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AJ557830	15.7714030916	0.0150349754472	0.107929645174	1.0	554.5	18.0	4.25	9.75	0.25	4.25	0.75	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
HM487012	15.6821917808	0.0155653329354	0.1085984481	1.0	305.75	430.75	877.25	477.0	98.0	233.0	13.25	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
New.CleanUp.ReferenceOTU144	15.6651884701	0.0156684328104	0.1085984481	1.0	2.5	0.25	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
GQ458030	15.405	0.0173301292093	0.116111865702	1.0	5.75	0.0	0.0	0.0	0.0	0.25	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU254	15.405	0.0173301292093	0.116111865702	1.0	1.0	0.0	0.25	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU573	15.0994475138	0.0194971804768	0.128489615601	1.0	0.0	0.0	2.75	0.0	0.0	1.75	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Metschnikowiaceae; g__Clavispora; s__Clavispora_lusitaniae
EU288196	15.0073891626	0.0201993217945	0.12906441097	1.0	1427.5	1425.0	1252.25	1108.75	267.0	1948.5	41.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_tropicalis
New.CleanUp.ReferenceOTU866	15.0038860104	0.020226512167	0.12906441097	1.0	12.5	0.25	1.0	0.75	2.25	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedDikarya
New.CleanUp.ReferenceOTU678	14.8783044667	0.0212246460416	0.133317307949	1.0	0.25	2.25	2.0	2.5	0.25	2.5	0.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Bullera; s__Bullera_sp_TMS_2011
GQ516443	14.8301245753	0.0216199204926	0.133710892892	1.0	172.25	18.75	9.5	22.75	3.0	20.75	1.5	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
DQ279837	14.5381532067	0.0241696072639	0.147214880608	1.0	686.75	9.5	9.75	20.25	0.5	14.0	1.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
FM177662	14.492371706	0.0245944960309	0.147566976185	1.0	11.75	39.75	7.0	2.75	4.75	24.5	0.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedcompost_fungus
JN395219	14.4321519345	0.0251642131448	0.148764907121	1.0	2.0	5.5	10.75	5.5	1.5	2.75	0.25	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Cercospora; s__Cercospora_sp_CPC_15875
