Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB+LP/90+140h	LB-AS/90+140h	83.08	10.3590347041	90.95	12.4357347994	-0.913272877385	1.0
LB/90+140h	C/30	80.86	8.10718200116	176.625	13.8035095175	-11.4361829009	1.0
C-AS/90+140h	C/90+140h	78.48	22.7908227144	100.06	20.7340878748	-1.40079378358	1.0
LB-AS/90+140	LB/30+120h	73.3	0.0	37.9	2.1	13.0574867101	1.0
LB+LP/90	LB+LP/30+120h	75.52	4.86555238385	39.925	1.60058583025	12.3789869524	1.0
C/30	LB+LP/30	176.625	13.8035095175	41.3	4.05647630339	16.2915353032	1.0
LB+LP/30	LB+LP/90+50h	41.3	4.05647630339	65.84	8.7860343728	-4.55352843865	1.0
C/30+120h	C-AS/90+50h	101.9	13.6486263045	77.16	16.6272787912	2.11548783324	1.0
LB-AS/90+140	LB-AS/90	73.3	0.0	67.36	10.490872223	0.462305667975	1.0
LB+LP/30	LB/90	41.3	4.05647630339	66.12	5.114841151	-6.98106785606	1.0
LB+LP/30+120h	C/90+50h	39.925	1.60058583025	137.06	9.34443149689	-18.123527413	1.0
LB+LP/90+140h	LB-AS/90	83.08	10.3590347041	67.36	10.490872223	2.13247885062	1.0
LB+LP/90+50h	C/90+50h	65.84	8.7860343728	137.06	9.34443149689	-11.1053466113	1.0
LB+LP/30	LB+LP/30+120h	41.3	4.05647630339	39.925	1.60058583025	0.546127127555	1.0
C/90	LB/30	147.62	12.0370095954	42.125	4.85096639856	14.5427074798	1.0
LB+LP/90+50h	LB+LP/30+120h	65.84	8.7860343728	39.925	1.60058583025	5.13482980626	1.0
LB-AS/90+50h	C-AS/90+140h	66.66	11.8376686894	78.48	22.7908227144	-0.920498216548	1.0
C/90	LB-AS/90	147.62	12.0370095954	67.36	10.490872223	10.0531774026	0.924
C-AS/90+50h	C-AS/90+140h	77.16	16.6272787912	78.48	22.7908227144	-0.0935789027331	1.0
LB-AS/90+50h	LB/30+120h	66.66	11.8376686894	37.9	2.1	4.23234566326	1.0
C-AS/90+50h	C/90+50h	77.16	16.6272787912	137.06	9.34443149689	-6.28108316226	1.0
LB-AS/90+140	C/90+50h	73.3	0.0	137.06	9.34443149689	-5.57121340312	1.0
LB/90+50h	LB-AS/90+140h	68.22	5.55027927225	90.95	12.4357347994	-3.22522329478	1.0
LB+LP/30+120h	LB-AS/90	39.925	1.60058583025	67.36	10.490872223	-4.57029903325	1.0
C-AS/90+140h	C/90+50h	78.48	22.7908227144	137.06	9.34443149689	-4.75639648392	0.924
LB+LP/90	LB+LP/30	75.52	4.86555238385	41.3	4.05647630339	9.94470952307	1.0
LB+LP/90	LB-AS/90+140h	75.52	4.86555238385	90.95	12.4357347994	-2.24175073254	1.0
LB-AS/90+140h	LB+LP/30+120h	90.95	12.4357347994	39.925	1.60058583025	7.04862523174	1.0
C/90	C/90+50h	147.62	12.0370095954	137.06	9.34443149689	1.38597477116	1.0
LB+LP/90+140h	LB+LP/90	83.08	10.3590347041	75.52	4.86555238385	1.32112524976	1.0
