	sequences per sample	iteration	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
alpha_rarefaction_120_7.txt	120	7	109.0	138.0	78.5	156.5	59.6	147.571428571	105.0	150.625	174.1	154.666666667	163.0	317.083333333	279.5	343.272727273	167.875	110.571428571	154.428571429	144.1	45.1428571429	50.7142857143	56.2	58.5	75.0	270.5	170.0	54.6666666667	183.0	49.5	47.1666666667	109.142857143	142.5	69.0	319.0	205.0
alpha_rarefaction_120_8.txt	120	8	211.5	179.333333333	67.25	136.25	146.5	117.0	172.1	163.272727273	202.428571429	203.333333333	288.111111111	153.0	264.857142857	217.153846154	451.0	149.0	132.111111111	257.0	61.375	51.0	116.5	67.2	169.0	96.0	61.75	58.375	59.3333333333	66.6666666667	44.1428571429	105.0	111.2	43.0	149.111111111	83.5
alpha_rarefaction_120_9.txt	120	9	83.875	79.1	102.0	75.5454545455	52.125	171.909090909	98.3333333333	287.0	173.1	259.625	811.5	328.5	288.6	171.4	195.125	144.0	150.142857143	119.909090909	130.75	58.2727272727	68.0	60.2	142.0	142.2	125.2	56.8571428571	83.5	53.0	65.6	89.0	172.0	85.6	169.875	112.0
alpha_rarefaction_230_0.txt	230	0	227.0	212.111111111	95.25	222.0	77.5	273.647058824	260.0	338.0	214.1875	257.157894737	370.3125	486.166666667	240.05	322.272727273	640.0	276.272727273	205.066666667	261.0	98.0	85.6666666667	75.25	165.2	224.666666667	170.166666667	202.75	124.857142857	100.0	103.166666667	58.1428571429	208.5	92.0	85.1666666667	283.833333333	93.8
alpha_rarefaction_230_1.txt	230	1	166.625	176.083333333	543.0	163.25	103.375	278.4375	160.789473684	225.2	172.176470588	232.538461538	417.4	431.545454545	273.647058824	440.714285714	325.083333333	186.052631579	207.666666667	192.666666667	88.4285714286	115.111111111	111.0	78.0	191.111111111	117.5	352.5	61.125	73.6666666667	111.0	62.4285714286	120.333333333	169.0	175.0	198.0	73.0
alpha_rarefaction_230_2.txt	230	2	112.1	227.111111111	65.1428571429	233.272727273	89.0	342.5	226.1	177.555555556	294.6	310.153846154	415.909090909	417.5	312.176470588	337.115384615	357.75	263.571428571	211.0	292.0	92.625	98.0	126.5	140.0	192.909090909	141.0	126.111111111	79.0	77.0	115.428571429	76.6666666667	215.0	122.333333333	64.1111111111	264.333333333	179.0
alpha_rarefaction_230_3.txt	230	3	195.666666667	210.428571429	139.0	173.272727273	114.0	411.3	246.6	342.5	430.111111111	247.142857143	448.625	375.103448276	313.0	415.555555556	290.928571429	199.916666667	196.0	261.0	98.6	91.4285714286	129.2	102.166666667	160.3	116.545454545	141.0	139.0	85.0	141.5	348.0	176.4	155.625	116.666666667	335.25	99.25
alpha_rarefaction_230_4.txt	230	4	158.5	196.375	81.3636363636	217.8	94.0	314.4	180.428571429	234.583333333	329.083333333	296.235294118	377.052631579	542.0	312.4	247.161290323	212.214285714	216.588235294	196.230769231	168.136363636	83.625	139.375	71.3	108.0	243.5	166.625	172.428571429	81.3333333333	63.8571428571	76.25	76.6666666667	193.0	127.6	84.1666666667	255.714285714	131.428571429
alpha_rarefaction_230_5.txt	230	5	113.272727273	197.5	112.0	189.25	153.6	308.769230769	230.0	347.545454545	251.214285714	299.0	263.588235294	347.25	234.1875	349.142857143	344.545454545	211.1875	172.4	271.5	116.0	118.125	127.2	168.25	231.375	91.75	580.5	97.1111111111	63.375	119.2	102.75	122.076923077	119.428571429	60.6666666667	248.214285714	135.666666667
alpha_rarefaction_230_6.txt	230	6	121.111111111	227.125	139.0	174.111111111	161.0	281.315789474	256.875	181.882352941	191.75	206.916666667	385.153846154	344.0	289.235294118	350.416666667	489.8	225.352941176	191.363636364	376.0	71.375	142.0	107.0	70.6666666667	143.769230769	178.0	96.75	69.1	71.0	98.5	83.75	158.25	177.166666667	109.5	234.461538462	117.272727273
