Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
4924-424-MS515F-926R.extendedFrags	pass	0.0	fail	415.000285323	Sanger / Illumina 1.9	fail	pass	warn	36-492	Conventional base calls	pass	fail	17524.0	pass	fail	fail	54.0	4.10294453321	4924-424-MS515F-926R.extendedFrags.fastq	warn	pass
4924-425-MS515F-926R.extendedFrags	pass	0.0	fail	412.820787161	Sanger / Illumina 1.9	fail	pass	warn	406-491	Conventional base calls	pass	fail	10468.0	pass	fail	fail	54.0	6.79212839129	4924-425-MS515F-926R.extendedFrags.fastq	fail	pass
4924-426-MS515F-926R.extendedFrags	pass	0.0	fail	414.919021557	Sanger / Illumina 1.9	fail	pass	warn	57-492	Conventional base calls	pass	fail	17906.0	pass	fail	fail	54.0	4.11035407126	4924-426-MS515F-926R.extendedFrags.fastq	fail	pass
4924-427-MS515F-926R.extendedFrags	pass	0.0	fail	412.831872894	Sanger / Illumina 1.9	fail	pass	warn	404-491	Conventional base calls	pass	fail	20770.0	pass	fail	fail	54.0	4.11169956668	4924-427-MS515F-926R.extendedFrags.fastq	fail	pass
4924-429-MS515F-926R.extendedFrags	pass	0.0	fail	411.905737705	Sanger / Illumina 1.9	fail	pass	warn	402-490	Conventional base calls	pass	fail	20008.0	pass	fail	fail	53.0	5.81767293083	4924-429-MS515F-926R.extendedFrags.fastq	fail	pass
4924-430-MS515F-926R.extendedFrags	pass	0.0	fail	413.968777371	Sanger / Illumina 1.9	fail	pass	warn	86-491	Conventional base calls	pass	fail	19409.0	pass	fail	fail	53.0	5.72930083982	4924-430-MS515F-926R.extendedFrags.fastq	fail	pass
4924-431-MS515F-926R.extendedFrags	pass	0.0	fail	412.021327726	Sanger / Illumina 1.9	fail	pass	warn	258-491	Conventional base calls	pass	fail	23303.0	pass	fail	fail	53.0	5.16671673175	4924-431-MS515F-926R.extendedFrags.fastq	fail	pass
4924-432-MS515F-926R.extendedFrags	pass	0.0	fail	412.01847423	Sanger / Illumina 1.9	fail	pass	warn	251-490	Conventional base calls	pass	fail	28851.0	pass	fail	fail	52.0	5.33083775259	4924-432-MS515F-926R.extendedFrags.fastq	fail	pass
4924-434-MS515F-926R.extendedFrags	pass	0.0	fail	411.986991232	Sanger / Illumina 1.9	fail	pass	warn	260-488	Conventional base calls	pass	fail	28058.0	pass	fail	fail	53.0	2.4663197662	4924-434-MS515F-926R.extendedFrags.fastq	fail	pass
4924-435-MS515F-926R.extendedFrags	pass	0.0	fail	411.999082241	Sanger / Illumina 1.9	fail	pass	warn	404-489	Conventional base calls	pass	fail	19613.0	pass	fail	fail	53.0	2.73288125223	4924-435-MS515F-926R.extendedFrags.fastq	warn	pass
4924-436-MS515F-926R.extendedFrags	pass	0.0	fail	411.998215394	Sanger / Illumina 1.9	fail	pass	warn	403-490	Conventional base calls	pass	fail	25776.0	pass	fail	fail	53.0	2.44025450031	4924-436-MS515F-926R.extendedFrags.fastq	fail	pass
4924-437-MS515F-926R.extendedFrags	pass	0.0	fail	411.994073464	Sanger / Illumina 1.9	warn	pass	warn	260-491	Conventional base calls	pass	fail	31553.0	pass	fail	fail	53.0	2.60514055716	4924-437-MS515F-926R.extendedFrags.fastq	fail	pass
4924-439-MS515F-926R.extendedFrags	pass	0.0	fail	413.788676043	Sanger / Illumina 1.9	fail	pass	warn	35-491	Conventional base calls	pass	fail	24744.0	pass	fail	fail	53.0	3.07953443259	4924-439-MS515F-926R.extendedFrags.fastq	fail	pass
4924-440-MS515F-926R.extendedFrags	pass	0.0	fail	413.979361179	Sanger / Illumina 1.9	warn	pass	warn	220-491	Conventional base calls	pass	fail	26455.0	pass	fail	fail	53.0	2.69136269136	4924-440-MS515F-926R.extendedFrags.fastq	warn	pass
4924-441-MS515F-926R.extendedFrags	pass	0.0	fail	411.989828403	Sanger / Illumina 1.9	warn	pass	warn	403-490	Conventional base calls	pass	fail	25758.0	pass	fail	fail	53.0	2.4186660455	4924-441-MS515F-926R.extendedFrags.fastq	fail	pass
4924-442-MS515F-926R.extendedFrags	pass	0.0	fail	411.994101702	Sanger / Illumina 1.9	fail	pass	warn	262-423	Conventional base calls	pass	fail	39842.0	pass	fail	fail	53.0	2.03554038452	4924-442-MS515F-926R.extendedFrags.fastq	fail	pass
4924-831-MS515F-926R.extendedFrags	pass	0.0	fail	411.9843257	Sanger / Illumina 1.9	fail	pass	warn	407-492	Conventional base calls	pass	fail	9825.0	pass	fail	fail	51.0	5.21119592875	4924-831-MS515F-926R.extendedFrags.fastq	warn	pass
4924-832-MS515F-926R.extendedFrags	pass	0.0	fail	412.017601207	Sanger / Illumina 1.9	fail	pass	warn	279-489	Conventional base calls	pass	fail	7954.0	pass	fail	fail	52.0	5.46894644204	4924-832-MS515F-926R.extendedFrags.fastq	warn	pass
4924-833-MS515F-926R.extendedFrags	pass	0.0	fail	412.007153592	Sanger / Illumina 1.9	fail	pass	warn	342-491	Conventional base calls	pass	fail	16635.0	pass	fail	fail	52.0	3.97956116622	4924-833-MS515F-926R.extendedFrags.fastq	fail	pass
4924-834-MS515F-926R.extendedFrags	pass	0.0	fail	411.643896976	Sanger / Illumina 1.9	fail	pass	warn	35-490	Conventional base calls	pass	fail	5358.0	pass	fail	fail	51.0	7.52146323255	4924-834-MS515F-926R.extendedFrags.fastq	fail	pass
4924-836-MS515F-926R.extendedFrags	pass	0.0	fail	411.999056985	Sanger / Illumina 1.9	fail	pass	warn	405-490	Conventional base calls	pass	fail	29692.0	pass	fail	fail	53.0	2.31038663613	4924-836-MS515F-926R.extendedFrags.fastq	warn	pass
4924-837-MS515F-926R.extendedFrags	pass	0.0	fail	411.991136155	Sanger / Illumina 1.9	fail	pass	warn	260-489	Conventional base calls	pass	fail	31589.0	pass	fail	fail	53.0	2.12099148438	4924-837-MS515F-926R.extendedFrags.fastq	fail	pass
4924-838-MS515F-926R.extendedFrags	pass	0.0	fail	411.989634358	Sanger / Illumina 1.9	fail	pass	warn	402-489	Conventional base calls	pass	fail	31643.0	pass	fail	fail	53.0	2.19321808931	4924-838-MS515F-926R.extendedFrags.fastq	fail	pass
4924-839-MS515F-926R.extendedFrags	pass	0.0	fail	411.992942214	Sanger / Illumina 1.9	fail	pass	warn	403-490	Conventional base calls	pass	fail	31738.0	pass	fail	fail	53.0	2.1519944546	4924-839-MS515F-926R.extendedFrags.fastq	warn	pass
4924-841-MS515F-926R.extendedFrags	pass	0.0	fail	411.992948508	Sanger / Illumina 1.9	fail	pass	warn	405-488	Conventional base calls	pass	fail	12196.0	pass	fail	fail	53.0	3.44375204985	4924-841-MS515F-926R.extendedFrags.fastq	warn	pass
4924-842-MS515F-926R.extendedFrags	pass	0.0	fail	412.004206561	Sanger / Illumina 1.9	fail	pass	warn	401-492	Conventional base calls	pass	fail	31855.0	pass	fail	fail	53.0	2.19745722806	4924-842-MS515F-926R.extendedFrags.fastq	warn	pass
4924-843-MS515F-926R.extendedFrags	pass	0.0	fail	411.999874328	Sanger / Illumina 1.9	fail	pass	warn	403-490	Conventional base calls	pass	fail	31829.0	pass	fail	fail	53.0	2.24323729932	4924-843-MS515F-926R.extendedFrags.fastq	warn	pass
4924-844-MS515F-926R.extendedFrags	pass	0.0	fail	411.996442676	Sanger / Illumina 1.9	fail	pass	warn	402-490	Conventional base calls	pass	fail	33171.0	pass	fail	fail	53.0	2.05299810075	4924-844-MS515F-926R.extendedFrags.fastq	fail	pass
5101-1016-MS515F-926R.extendedFrags	pass	0.0	fail	411.94430519	Sanger / Illumina 1.9	fail	pass	warn	404-490	Conventional base calls	pass	fail	32714.0	pass	fail	fail	54.0	3.74151739317	5101-1016-MS515F-926R.extendedFrags.fastq	fail	pass
