Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
5101-1149-MS515F-926R.extendedFrags	96.7488375526	53.0	411.972839324	27098.0	50.0
5101-1150-MS515F-926R.extendedFrags	96.8368684662	53.0	412.898080608	29749.0	41.6666666667
5101-1151-MS515F-926R.extendedFrags	97.0084398763	53.0	412.789420907	35901.0	41.6666666667
5101-1152-MS515F-926R.extendedFrags	96.9548849353	53.0	412.70256239	32938.0	33.3333333333
5101-1153-MS515F-926R.extendedFrags	96.4662120273	52.0	412.928316801	12904.0	33.3333333333
5101-1154-MS515F-926R.extendedFrags	96.674272281	52.0	412.942612183	14463.0	25.0
5101-1155-MS515F-926R.extendedFrags	94.5773195876	52.0	411.955257732	4850.0	41.6666666667
5101-1156-MS515F-926R.extendedFrags	95.8595307468	52.0	411.978837602	13042.0	33.3333333333
5101-1157-MS515F-926R.extendedFrags	93.0078125	52.0	412.918554687	5120.0	41.6666666667
5101-1158-MS515F-926R.extendedFrags	97.0722916482	53.0	412.847085586	33849.0	41.6666666667
5101-1159-MS515F-926R.extendedFrags	97.2884563396	53.0	411.980508245	36990.0	33.3333333333
5101-1160-MS515F-926R.extendedFrags	96.959379581	53.0	412.736392869	42294.0	41.6666666667
5101-1161-MS515F-926R.extendedFrags	96.7946802152	53.0	411.984857541	40152.0	33.3333333333
5101-1162-MS515F-926R.extendedFrags	96.9512348632	53.0	412.702273357	39721.0	41.6666666667
5101-447-MS515F-926R.extendedFrags	96.3977703942	53.0	413.963069884	55077.0	41.6666666667
5101-448-MS515F-926R.extendedFrags	96.6831829611	53.0	411.932517379	54088.0	41.6666666667
5101-449-MS515F-926R.extendedFrags	96.5149534238	53.0	413.968295473	48952.0	33.3333333333
5101-450-MS515F-926R.extendedFrags	96.1984010442	53.0	412.513064354	42903.0	41.6666666667
5101-451-MS515F-926R.extendedFrags	96.5531629265	53.0	411.988425884	55123.0	41.6666666667
5101-452-MS515F-926R.extendedFrags	97.6489651617	53.0	411.986226707	67885.0	41.6666666667
5101-453-MS515F-926R.extendedFrags	97.6745007328	53.0	412.874649056	56633.0	41.6666666667
5101-454-MS515F-926R.extendedFrags	97.4667994688	53.0	411.984528552	60240.0	41.6666666667
5101-455-MS515F-926R.extendedFrags	97.7762889229	53.0	411.979788795	62688.0	41.6666666667
5101-456-MS515F-926R.extendedFrags	97.7656306768	53.0	411.993708095	60554.0	41.6666666667
5101-457-MS515F-926R.extendedFrags	97.4793998393	53.0	411.981464527	53519.0	41.6666666667
5101-458-MS515F-926R.extendedFrags	97.5744768388	53.0	411.971237821	53473.0	41.6666666667
5101-459-MS515F-926R.extendedFrags	97.7035566644	53.0	412.893281856	54911.0	41.6666666667
5101-460-MS515F-926R.extendedFrags	97.653577883	53.0	411.986796708	66953.0	41.6666666667
5101-461-MS515F-926R.extendedFrags	97.6794177387	53.0	411.969735951	59080.0	41.6666666667
5101-757-MS515F-926R.extendedFrags	96.5509974712	53.0	412.730419359	56944.0	25.0
5101-758-MS515F-926R.extendedFrags	96.7452498241	53.0	411.987137384	51156.0	50.0
5101-759-MS515F-926R.extendedFrags	96.4343485294	52.0	413.971979197	57493.0	25.0
5101-760-MS515F-926R.extendedFrags	96.4649216869	53.0	411.972840895	56887.0	41.6666666667
5101-761-MS515F-926R.extendedFrags	96.4768970554	53.0	412.445433228	52028.0	33.3333333333
5101-762-MS515F-926R.extendedFrags	97.7635590802	53.0	412.874945553	66579.0	41.6666666667
5101-763-MS515F-926R.extendedFrags	97.9435126607	53.0	412.92069389	64333.0	33.3333333333
5101-764-MS515F-926R.extendedFrags	97.3796725034	53.0	412.793230081	56367.0	41.6666666667
5101-765-MS515F-926R.extendedFrags	97.2841175193	53.0	412.817106438	41423.0	41.6666666667
5101-766-MS515F-926R.extendedFrags	97.2012917115	53.0	411.976528657	38089.0	33.3333333333
