Sample	Top over-represented sequence	Sum of remaining over-represented sequences
4924-424-MS515F-926R.extendedFrags	44.0429746114	46.8939439409
4924-425-MS515F-926R.extendedFrags	39.590443686	49.3073679984
4924-426-MS515F-926R.extendedFrags	45.1911256805	45.2964935901
4924-427-MS515F-926R.extendedFrags	44.3427704752	45.5257836198
4924-429-MS515F-926R.extendedFrags	21.3670936749	67.0686549239
4924-430-MS515F-926R.extendedFrags	27.5119987614	61.2633534603
4924-431-MS515F-926R.extendedFrags	16.9381527485	71.9130098423
4924-432-MS515F-926R.extendedFrags	12.9122977571	75.1232553295
4924-434-MS515F-926R.extendedFrags	49.6471091466	42.1437228203
4924-435-MS515F-926R.extendedFrags	48.2712901581	43.799082101
4924-436-MS515F-926R.extendedFrags	49.1831270131	42.6054561683
4924-437-MS515F-926R.extendedFrags	49.7875982754	41.4215064672
4924-439-MS515F-926R.extendedFrags	48.3857917307	42.0422364269
4924-440-MS515F-926R.extendedFrags	49.4196816756	41.5938905901
4924-441-MS515F-926R.extendedFrags	49.5282469423	42.5354300136
4924-442-MS515F-926R.extendedFrags	49.1602018528	42.9113002435
4924-831-MS515F-926R.extendedFrags	34.9730115083	55.9832976882
4924-832-MS515F-926R.extendedFrags	37.2482376636	53.864551863
4924-833-MS515F-926R.extendedFrags	45.4868001684	45.1921342233
4924-834-MS515F-926R.extendedFrags	36.4542207182	53.7131039669
4924-836-MS515F-926R.extendedFrags	49.4879396308	42.3696267349
4924-837-MS515F-926R.extendedFrags	49.5662085998	42.4703945285
4924-838-MS515F-926R.extendedFrags	49.7550336631	42.1468533679
4924-839-MS515F-926R.extendedFrags	52.4532820723	39.5046166451
4924-841-MS515F-926R.extendedFrags	53.0135301353	38.9667896679
4924-842-MS515F-926R.extendedFrags	53.2847632207	38.8079387012
4924-843-MS515F-926R.extendedFrags	51.7464709026	40.5005187537
4924-844-MS515F-926R.extendedFrags	52.5780967314	39.2986370763
5101-1016-MS515F-926R.extendedFrags	36.9401615272	53.1877141459
5101-1017-MS515F-926R.extendedFrags	37.3388817755	52.441314554
5101-1018-MS515F-926R.extendedFrags	33.7130688279	55.5027187959
5101-1019-MS515F-926R.extendedFrags	29.733405876	59.5630702268
5101-1020-MS515F-926R.extendedFrags	21.4660072341	68.2463522059
5101-1021-MS515F-926R.extendedFrags	49.2685671418	41.9371888427
5101-1022-MS515F-926R.extendedFrags	50.2118383348	40.8048098729
5101-1023-MS515F-926R.extendedFrags	49.4560977724	41.1047065962
5101-1024-MS515F-926R.extendedFrags	52.4275764611	38.9219743616
5101-1025-MS515F-926R.extendedFrags	52.1249395342	39.2670398268
5101-1026-MS515F-926R.extendedFrags	51.1705348133	40.0948536831
5101-1027-MS515F-926R.extendedFrags	48.4270608225	42.9914713209
5101-1028-MS515F-926R.extendedFrags	52.580301768	38.3967416458
5101-1029-MS515F-926R.extendedFrags	48.8678142499	42.2274175607
5101-1030-MS515F-926R.extendedFrags	46.8612089905	44.3279395163
5101-1031-MS515F-926R.extendedFrags	39.4320739877	51.1540234873
5101-1032-MS515F-926R.extendedFrags	48.4898863951	42.5818170623
5101-1033-MS515F-926R.extendedFrags	50.1454385192	41.4059056853
5101-1034-MS515F-926R.extendedFrags	51.8675074492	40.0942415633
5101-1035-MS515F-926R.extendedFrags	48.3080907607	43.1563538089
5101-1036-MS515F-926R.extendedFrags	52.6966025184	38.6959915827
5101-1037-MS515F-926R.extendedFrags	55.3799586717	36.4591518962
5101-1038-MS515F-926R.extendedFrags	44.0426675158	46.7272980557
5101-1039-MS515F-926R.extendedFrags	48.2528072231	42.3583530958
5101-1040-MS515F-926R.extendedFrags	43.1617510857	47.8234918805
5101-1138-MS515F-926R.extendedFrags	36.3257454312	54.947098429
5101-1139-MS515F-926R.extendedFrags	40.8416833667	50.4876419506
5101-1140-MS515F-926R.extendedFrags	42.6212938005	48.4669811321
5101-1141-MS515F-926R.extendedFrags	34.155980321	56.7223163158
5101-1142-MS515F-926R.extendedFrags	35.8485233856	54.5075597004
5101-1143-MS515F-926R.extendedFrags	47.8249327481	43.1349992921
5101-1144-MS515F-926R.extendedFrags	46.7493516346	44.221167587
5101-1145-MS515F-926R.extendedFrags	49.6790349186	41.1848878113
5101-1146-MS515F-926R.extendedFrags	45.9278007765	44.6107977092
5101-1147-MS515F-926R.extendedFrags	42.1247044917	48.7086288416
5101-1148-MS515F-926R.extendedFrags	38.8394076826	50.9289109885
5101-1149-MS515F-926R.extendedFrags	44.1139567496	46.8558565208
