Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
4924-424-MS515F-926R_R1	pass	0.0	fail	250.959492919	Sanger / Illumina 1.9	fail	warn	warn	36-251	Conventional base calls	pass	fail	20194.0	pass	fail	fail	56.0	5.34317123898	4924-424-MS515F-926R_R1.fastq	warn	pass
4924-424-MS515F-926R_R2	pass	0.0	fail	250.584133901	Sanger / Illumina 1.9	fail	fail	warn	36-251	Conventional base calls	pass	fail	20194.0	pass	fail	fail	53.0	10.1069624641	4924-424-MS515F-926R_R2.fastq	pass	pass
4924-425-MS515F-926R_R1	pass	0.0	fail	250.951353146	Sanger / Illumina 1.9	fail	fail	warn	247-251	Conventional base calls	pass	fail	12046.0	pass	fail	fail	57.0	8.54225469035	4924-425-MS515F-926R_R1.fastq	warn	pass
4924-425-MS515F-926R_R2	pass	0.0	fail	250.639299352	Sanger / Illumina 1.9	warn	fail	warn	245-251	Conventional base calls	pass	fail	12046.0	pass	fail	fail	53.0	9.54673750623	4924-425-MS515F-926R_R2.fastq	warn	pass
4924-426-MS515F-926R_R1	pass	0.0	fail	250.970992521	Sanger / Illumina 1.9	warn	fail	warn	57-251	Conventional base calls	pass	fail	19788.0	pass	fail	fail	56.0	4.93228219123	4924-426-MS515F-926R_R1.fastq	warn	pass
4924-426-MS515F-926R_R2	pass	0.0	fail	250.669395593	Sanger / Illumina 1.9	fail	fail	warn	57-251	Conventional base calls	pass	fail	19788.0	pass	fail	fail	53.0	8.93470790378	4924-426-MS515F-926R_R2.fastq	pass	pass
4924-427-MS515F-926R_R1	pass	0.0	fail	250.981550305	Sanger / Illumina 1.9	fail	fail	warn	248-251	Conventional base calls	pass	fail	22602.0	pass	fail	fail	56.0	5.02610388461	4924-427-MS515F-926R_R1.fastq	warn	pass
4924-427-MS515F-926R_R2	pass	0.0	fail	250.670206176	Sanger / Illumina 1.9	warn	fail	warn	244-251	Conventional base calls	pass	fail	22602.0	pass	fail	fail	53.0	8.37536501195	4924-427-MS515F-926R_R2.fastq	pass	pass
4924-429-MS515F-926R_R1	pass	0.0	fail	250.984743933	Sanger / Illumina 1.9	fail	warn	warn	247-251	Conventional base calls	pass	fail	21303.0	pass	fail	fail	55.0	6.52959677041	4924-429-MS515F-926R_R1.fastq	warn	pass
4924-429-MS515F-926R_R2	pass	0.0	fail	250.705863024	Sanger / Illumina 1.9	warn	fail	warn	246-251	Conventional base calls	pass	fail	21303.0	pass	fail	fail	53.0	9.59489273811	4924-429-MS515F-926R_R2.fastq	warn	pass
