OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C-AS_mean	LB+LP_mean	C_mean	LB_mean	LB-AS_mean	taxonomy
518033	71.6526459011	1.01621123742e-14	1.77938587671e-11	1.77938587671e-11	18.6153846154	0.272727272727	42.1111111111	0.0434782608696	0.1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
New.ReferenceOTU6	66.6972803002	1.12922153549e-13	9.88633454318e-11	1.97726690864e-10	7.53846153846	0.136363636364	10.0555555556	0.130434782609	0.3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
266330	62.7617167656	7.61648733434e-13	3.50427574475e-10	1.33364693224e-09	2.30769230769	0.0909090909091	4.05555555556	0.0434782608696	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__zeae
604966	62.3987852174	9.08078996639e-13	3.50427574475e-10	1.59004632312e-09	3586.53846154	8193.95454545	424.222222222	8374.08695652	7836.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
4389594	61.9710749654	1.1171351206e-12	3.50427574475e-10	1.95610359618e-09	10.0	0.772727272727	14.8888888889	0.826086956522	0.7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
347922	61.8220014591	1.20077980974e-12	3.50427574475e-10	2.10256544685e-09	3.07692307692	0.227272727273	5.61111111111	0.0869565217391	0.1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
949863	61.1090753123	1.69587844417e-12	4.24211879392e-10	2.96948315574e-09	62.1538461538	1.63636363636	114.611111111	2.0	2.6	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
192776	60.4421948172	2.34202929267e-12	4.96406637789e-10	4.10089329146e-09	24.3076923077	2.77272727273	24.1666666667	1.65217391304	2.8	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
3851582	60.1000090611	2.76382486124e-12	4.96406637789e-10	4.83945733203e-09	3.61538461538	10.1363636364	0.333333333333	10.3043478261	8.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
781576	59.8529570831	3.11476996519e-12	4.96406637789e-10	5.45396220904e-09	137.230769231	10.3181818182	193.166666667	11.6956521739	13.3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
613189	59.8504912214	3.11848830136e-12	4.96406637789e-10	5.46047301568e-09	148.615384615	14.7272727273	170.222222222	12.8260869565	17.5	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
160548	59.3861672848	3.90389516214e-12	5.24177258234e-10	6.83572042891e-09	58.7692307692	7.18181818182	41.9444444444	6.21739130435	7.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
760901	59.3634690958	3.94699322304e-12	5.24177258234e-10	6.91118513354e-09	2069.0	143.590909091	2131.72222222	152.739130435	180.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
73609	59.2394409474	4.19102319547e-12	5.24177258234e-10	7.33848161527e-09	217.538461538	4.63636363636	329.277777778	4.60869565217	4.9	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__zeae
New.ReferenceOTU46	58.1670472851	7.03906330431e-12	8.21693323057e-10	1.23253998458e-08	6.46153846154	1.22727272727	27.4444444444	0.739130434783	0.5	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
New.ReferenceOTU0	57.8098181694	8.36565539963e-12	9.15516412797e-10	1.46482626047e-08	19.0	2.45454545455	30.6111111111	1.73913043478	2.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU1990	56.7213039486	1.41543861504e-11	1.45790177349e-09	2.47843301493e-08	0.0	0.0	1.83333333333	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
New.ReferenceOTU59	56.5321381648	1.55083847099e-11	1.4681936198e-09	2.71551816271e-08	8.53846153846	1.36363636364	36.7222222222	1.21739130435	1.3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__; s__
794205	56.4746261048	1.5945135547e-11	1.4681936198e-09	2.79199323429e-08	1.46153846154	0.0909090909091	2.55555555556	0.0	0.1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.ReferenceOTU53	56.3702028696	1.67697729275e-11	1.4681936198e-09	2.9363872396e-08	3.84615384615	0.590909090909	19.7222222222	0.608695652174	1.1	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
