candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10002 166_7033	412		834065	94.90	412
1000654 146_3477	409		4388133	93.60	409
1001564 175_21240	412		202319	93.00	412
1002005 147_31538	415		4312480	95.70	415
1003206 146_22527	412		354006	92.50	412
1004022 146_1480	413		2818167	92.70	413
1007180 166_41236	411		294399	93.20	411
10085 147_18009	412		834065	95.40	412
1009440 146_5993	411		201562	90.30	411
1009894 166_18354	412		126133	98.80	412
1010113 146_14119	412		834065	94.20	412
1010721 146_11038	410		993578	89.30	410
101293 165_33487	409		993578	88.80	409
1013943 147_10228	409		367523	88.80	409
1015227 146_8465	414		4463767	95.20	414
1015969 163_22193	413		4406763	95.40	413
1017251 145_6047	413		304089	91.30	413
1020921 146_7496	407		367523	95.80	407
10212 168_53808	413		834065	95.20	413
1022184 146_18859	412		212126	94.40	412
102222 166_37651	413		518033	95.20	413
1023428 156_31339	413		773586	93.90	413
102348 146_13559	412		215053	91.70	412
1024188 146_17780	412		926588	92.00	412
1024743 146_11843	412		926588	93.40	412
1025949 166_26810	411		201562	93.70	411
1026498 172_15614	412		4307887	97.80	412
103211 147_26924	413		618926	93.20	413
1032653 147_11646	413		304089	91.80	413
1033018 146_9698	411		157064	93.90	411
1033380 148_4979	414		4463767	95.70	414
1034564 146_18562	409		993578	90.20	409
1038865 146_10061	409		4388133	93.40	409
1039594 146_17811	411		264416	96.80	411
1039872 146_3281	409		1953696	95.60	409
104044 147_25741	412		834065	94.70	412
1042671 146_7180	409		591063	95.40	409
1044278 147_7027	412		1124893	93.90	412
1045797 146_3243	412		368639	95.90	412
1046254 146_7138	409		127534	94.40	409
1048497 146_16451	412		926588	92.00	412
1048774 147_22478	411		824826	90.00	411
1048878 146_5041	411		28592	95.60	411
1049387 146_2891	413		93199	96.60	413
1049393 146_27408	413		807070	96.60	413
1049750 147_2959	411		201562	89.80	411
104996 146_26976	411		201562	90.00	411
1051459 146_12519	411		756593	95.90	411
1051517 166_16228	413		4406763	95.20	413
1051744 156_4623	414		368639	93.70	414
1052930 146_5522	313		651100	95.50	313
1053100 147_23415	413		4445042	87.40	413
1053775 146_19147	410		824826	90.50	410
105561 162_21959	413		4389688	90.60	413
1057116 146_21548	409		1953696	97.30	409
1058276 146_16084	407		367523	94.10	407
1058844 147_8997	384		926588	92.70	384
1059762 166_2180	412		18516	96.80	412
106019 146_15909	409		993578	91.40	409
1060565 146_4539	408		4377099	92.20	408
1062123 147_9557	409		544631	94.10	409
1062748 166_45663	414		4323733	98.30	414
106310 148_5612	411		749805	94.40	411
106334 168_16633	412		4336516	99.00	412
1064410 147_21360	409		100443	93.20	409
1065974 156_11120	413		945326	94.70	413
106749 147_21200	408		993578	89.20	408
1067651 166_12521	412		1143228	93.00	412
1067865 146_26838	374		749805	94.10	374
1068149 160_9358	414		209886	91.10	414
1068363 146_23926	413		1125136	91.50	413
1068470 146_20315	409		40435	93.90	409
1070477 156_12948	409		144239	90.20	409
1072513 146_23024	411		201562	93.40	411
1072787 146_15763	365		2818167	92.30	365
107349 146_17755	411		749805	95.10	411
1074016 146_4957	411		157064	93.20	411
107501 146_2518	409		993578	90.00	409
1075600 146_18667	410		201562	96.30	410
1076759 147_11147	412		4403	94.90	412
1078248 163_28927	413		4406763	95.90	413
1078373 146_22249	412		1047956	94.70	412
1078997 148_3919	407		544631	95.30	407
1080436 146_330	409		1953696	94.90	409
1081222 146_23987	412		2435847	93.70	412
1081815 157_3637	414		4447353	97.80	414
1082539 172_29084	321		813052	95.00	321
1083508 157_34737	413		93199	93.50	413
1084045 175_27270	413		4406763	97.60	413
1084157 156_32617	414		322340	93.00	414
1084865 157_6353	413		928249	97.30	413
1084950 146_15868	355		294399	94.40	355
1085646 156_21843	413		518033	96.10	413
1085832 172_17156	412		316765	94.40	412
1086621 166_19607	411		749805	94.40	411
1088120 146_27610	409		4388133	95.40	409
108916 146_7218	313		4319691	95.50	313
1090029 146_22352	414		322340	96.60	414
1090059 156_7540	413		928249	96.60	413
1090273 146_860	409		1953696	90.00	409
1091060 166_1929	412		926588	92.70	412
1093466 146_2450	411		686593	96.80	411
1093610 166_16952	411		996510	95.60	411
1093698 146_3055	409		367523	91.40	409
1097359 166_24881	412		126133	96.10	412
110059 176_36200	410		303937	93.40	410
110321 162_32825	411		996510	94.60	411
1103391 150_2838	411		2435847	97.80	411
1104627 146_5699	411		686593	95.10	411
1105085 146_2165	411		583617	88.10	411
110514 146_12129	328		3359884	97.30	328
1105574 166_999	411		4304452	93.90	411
1106204 146_871	411		686593	95.40	411
1106324 157_4410	325		1146188	95.40	325
1106471 146_27149	414		4463767	97.80	414
1106617 146_18730	411		4462642	97.10	411
1107027 166_5838	413		518033	93.50	413
1107159 146_7607	411		73760	95.10	411
1107335 146_24448	410		126133	95.90	410
1107385 166_7044	413		518033	94.20	413
1108350 146_4495	414		368639	96.60	414
1108638 172_24686	416		4403574	93.50	416
1108726 146_11508	411		1146188	96.10	411
1108886 146_2726	325		4319691	96.90	325
1108960 146_5184	412		926588	93.20	412
1109587 146_2963	412		354006	93.20	412
1110317 157_7867	326		518033	96.90	326
1110763 166_4877	412		834065	96.40	412
1111294 166_12496	412		834065	95.60	412
1111582 166_12466	413		773586	94.90	413
1111847 146_16743	413		93199	96.60	413
1111874 166_27950	369		289174	95.40	369
1111882 146_17861	409		367523	91.20	409
1115104 146_22761	413		93199	94.90	413
1116372 146_2248	411		201562	92.90	411
1118300 166_35988	412		926588	93.00	412
1118561 146_20601	412		4319691	95.60	412
1118978 146_22246	411		157064	92.50	411
1119860 146_16228	409		367523	88.80	409
1122504 146_16473	409		367523	89.20	409
1122622 146_21448	412		592303	94.90	412
1125570 146_25987	411		352389	91.70	411
