Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
C-AS	LB	22.2	4.39193475693	39.2857142857	17.5158237498	-2.90980478603	0.11
LB+LP	LB	40.2714285714	14.2210823665	39.2857142857	17.5158237498	0.107016151254	1.0
C-AS	LB-AS	22.2	4.39193475693	25.8	14.3	-0.623213377371	1.0
C-AS	C	22.2	4.39193475693	40.4227272727	28.1475645938	-2.06854694472	0.38
LB+LP	C	40.2714285714	14.2210823665	40.4227272727	28.1475645938	-0.0131968230288	1.0
C-AS	LB+LP	22.2	4.39193475693	40.2714285714	14.2210823665	-3.70555977415	0.04
C	LB-AS	40.4227272727	28.1475645938	25.8	14.3	0.695299691789	1.0
LB	LB-AS	39.2857142857	17.5158237498	25.8	14.3	0.880103234521	1.0
C	LB	40.4227272727	28.1475645938	39.2857142857	17.5158237498	0.0973028443918	1.0
LB+LP	LB-AS	40.2714285714	14.2210823665	25.8	14.3	1.1179255776	1.0
