Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LH/30	C/0	351.913088543	10.4447183226	332.022342983	46.6935571331	0.587904897216	1.0
LH + LB/30	LB/10	349.831299454	19.8706022714	482.171144089	22.2031264867	-6.281208927	1.0
LB/10	C/0	482.171144089	22.2031264867	332.022342983	46.6935571331	4.10691476518	1.0
LH/30	LB/30	351.913088543	10.4447183226	422.759988306	17.9669075568	-4.82106833072	1.0
LH/30	LH + LB/10	351.913088543	10.4447183226	484.576154597	62.0227446348	-2.98292038869	1.0
LH + LB/30	LH + LB/10	349.831299454	19.8706022714	484.576154597	62.0227446348	-2.92589796234	1.0
LH + LB/30	LH + LB/92	349.831299454	19.8706022714	397.146162612	38.499382393	-1.5444556545	1.0
LB/10	LB/30	482.171144089	22.2031264867	422.759988306	17.9669075568	2.94167158103	1.0
LH/10	LB/30	484.928734125	33.3283471141	422.759988306	17.9669075568	2.32206756065	1.0
LH + LB/92	LB/30	397.146162612	38.499382393	422.759988306	17.9669075568	-0.852607945107	1.0
LB/10	LH/92	482.171144089	22.2031264867	430.646340053	12.394999959	2.86555342281	1.0
C/0	C/30	332.022342983	46.6935571331	629.116525978	16.7754012314	-8.46820523477	1.0
LH/10	LH/92	484.928734125	33.3283471141	430.646340053	12.394999959	2.15888354149	1.0
LH/30	C/10	351.913088543	10.4447183226	684.225187236	23.8918803389	-18.0232925187	1.0
LH/10	C/30	484.928734125	33.3283471141	629.116525978	16.7754012314	-5.4650456732	1.0
LB/10	C/30	482.171144089	22.2031264867	629.116525978	16.7754012314	-7.46775833107	1.0
LH/30	LH/10	351.913088543	10.4447183226	484.928734125	33.3283471141	-5.38593112649	1.0
LB/92	LH + LB/92	374.410105315	7.4408566641	397.146162612	38.499382393	-0.819998154666	1.0
LH + LB/30	LH/30	349.831299454	19.8706022714	351.913088543	10.4447183226	-0.131149106705	1.0
LH + LB/30	LB/30	349.831299454	19.8706022714	422.759988306	17.9669075568	-3.84996584623	1.0
LH + LB/30	C/30	349.831299454	19.8706022714	629.116525978	16.7754012314	-15.1882501669	1.0
