OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-LATE_mean	C-NO_mean	LB500-LATE_mean	LB500-EARLY_mean	C-EARLY_mean	LB500-NO_mean	taxonomy
GU721312	15.6059907834	0.0160325124497	0.12847242013	1.0	139.5	0.0	0.0	0.0	56.6666666667	0.0	46.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HQ630976	15.5508336722	0.016379030473	0.12847242013	1.0	381.5	3.5	1.25	20.5	0.0	0.0	23.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JQ666400	15.5031618435	0.0166842957529	0.12847242013	1.0	188.25	0.0	141.75	250.25	3.66666666667	22.25	37.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
EU489956	15.4692644033	0.0169046653198	0.12847242013	1.0	5.5	0.0	0.0	0.25	0.0	0.75	1.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JQ666393	15.4499494073	0.017031477631	0.12847242013	1.0	260.0	0.0	0.0	0.75	0.333333333333	0.25	107.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedsoil_fungus
New.CleanUp.ReferenceOTU213	15.4195866142	0.0172326678261	0.12847242013	1.0	0.25	7.5	0.75	1.5	0.0	0.0	0.25	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
New.ReferenceOTU12	15.3768130676	0.0175199593589	0.12847242013	1.0	0.0	3077.0	0.25	37.5	0.333333333333	1053.5	0.0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Incertae_sedis; f__Monascaceae; g__Monascus; s__Monascus_purpureus
FJ755832	15.3645066274	0.0176034622404	0.12847242013	1.0	174.5	24.75	544.75	0.0	0.0	132.75	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedendophytic_fungus
AM901803	15.3258785942	0.0178680468167	0.12847242013	1.0	5.5	0.0	0.0	0.0	0.0	0.0	0.5	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HQ631052	15.3258785942	0.0178680468167	0.12847242013	1.0	131.25	9.25	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__Pleosporales_sp_5_TMS_2011
New.ReferenceOTU36	15.3258785942	0.0178680468167	0.12847242013	1.0	0.0	100.25	0.0	0.25	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedcompost_fungus
GQ516443	15.3190201729	0.0179154200548	0.12847242013	1.0	66.0	0.0	22.0	0.0	0.0	0.0	125.5	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU721776	15.2762172285	0.0182138001647	0.128915858308	1.0	29.5	0.0	0.0	1.0	3.66666666667	2.5	6.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AJ557830	14.9121083719	0.0209514404739	0.146391475106	1.0	2554.5	2.25	153.75	0.0	25.6666666667	0.5	39.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_sedis; g__Acremonium; s__Acremonium_sp_JJP_2009a
JN906165	14.7236421725	0.02251856826	0.153718720892	1.0	10.0	0.0	0.0	2.25	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GQ526984	14.7183420366	0.0225642159108	0.153718720892	1.0	2.25	0.0	1.0	3.25	0.0	0.0	0.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.CleanUp.ReferenceOTU149	14.6737175217	0.0229520586727	0.15443051823	1.0	0.0	1.25	0.0	0.75	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedcompost_fungus
EU490138	14.5170686456	0.0243644137132	0.161099191939	1.0	4.75	0.0	2.25	5.5	0.0	0.25	0.75	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
EU288196	14.4988040712	0.0245343723503	0.161099191939	1.0	1382.0	111.0	4072.25	2881.0	1692.33333333	1458.0	4163.25	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae_sedis; g__Candida; s__Candida_tropicalis
HM754427	14.2824754902	0.0266350943641	0.17281102891	1.0	0.25	0.0	3.25	1.0	0.0	2.0	0.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_sp_1_TMS_2011
GQ515349	14.2314294632	0.0271551419802	0.174112380932	1.0	227.0	0.0	0.0	17.25	41.6666666667	28.5	70.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
GU078631	14.1629392971	0.027868066201	0.176605768367	1.0	25.25	0.0	0.0	10.5	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
New.ReferenceOTU37	14.0905315615	0.0286410639373	0.178172421435	1.0	8.25	0.0	0.0	304.5	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
JF715197	14.0787152161	0.0287691249289	0.178172421435	1.0	0.25	88.5	6.75	10.0	1.33333333333	0.0	2.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Pichiaceae; g__Pichia; s__Pichia_kudriavzevii
GU721777	13.8939784442	0.0308431677583	0.188871083464	1.0	3.75	0.0	0.0	0.25	0.333333333333	0.5	2.25	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
HM488368	13.6437699681	0.0338787112031	0.196424442614	1.0	3.5	0.0	0.0	0.0	0.0	0.0	31.5	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Incertae_sedis; g__Rhodotorula; s__Rhodotorula_sp_RhSoW01
GQ525731	13.6437699681	0.0338787112031	0.196424442614	1.0	6.5	0.0	31.25	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedfungus
AF191550	13.6437699681	0.0338787112031	0.196424442614	1.0	4.25	0.0	0.0	0.0	0.0	0.0	24.0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Ophiosphaerella; s__Ophiosphaerella_agrostis
New.ReferenceOTU21	13.6437699681	0.0338787112031	0.196424442614	1.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unculturedendophytic_fungus
New.CleanUp.ReferenceOTU726	13.6437699681	0.0338787112031	0.196424442614	1.0	3.25	0.0	2.75	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricostilbomycetes; o__Agaricostilbales; f__Chionosphaeraceae; g__Kurtzmanomyces; s__Kurtzmanomyces_insolitus
