candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
10002 147_13951	412		834065	94.90	412
1000654 148_11564	409		4388133	93.40	409
1001564 175_24490	412		202319	93.00	412
1002005 148_8201	415		4312480	95.20	415
1003206 147_2107	412		926588	92.20	412
1004022 156_31941	413		2818167	93.20	413
1004540 148_17024	414		368639	95.20	414
1007180 148_22416	411		294399	92.20	411
10085 147_21550	412		834065	95.40	412
1009440 147_8809	411		201562	91.00	411
1009894 156_6769	412		126133	98.50	412
1010113 148_12391	412		834065	94.40	412
1010721 156_6333	409		993578	89.70	409
1013943 148_35658	409		367523	88.80	409
1015227 146_9917	414		4463767	95.20	414
1015969 167_27315	413		4406763	95.20	413
1020921 148_28900	407		367523	95.10	407
1022184 148_1859	412		1047956	95.40	412
102222 170_38227	413		518033	94.70	413
1023428 156_36782	413		773586	93.90	413
102348 148_12776	412		215053	92.20	412
1024188 148_32715	412		354006	91.50	412
1024743 146_12440	412		926588	93.40	412
1025949 148_4984	411		201562	93.20	411
1026498 172_17872	412		4307887	97.80	412
103211 147_32516	413		618926	93.20	413
1032653 147_15009	413		304089	91.80	413
1033018 156_20586	411		157064	93.70	411
1034564 147_13452	409		993578	89.20	409
1038865 147_32819	408		4388133	93.60	408
1039594 147_13483	411		264416	96.80	411
103984 146_30163	414		368639	96.40	414
1039872 148_16079	409		1953696	95.80	409
104044 147_15541	412		268585	93.00	412
1042671 148_991	409		591063	93.90	409
1044278 148_33123	412		354006	94.70	412
1045797 156_1860	414		368639	94.00	414
1046254 147_3606	409		127534	94.10	409
1048497 147_24711	412		926588	91.70	412
1048878 147_3110	411		28592	95.40	411
1049387 147_4979	413		93199	97.10	413
1049393 147_34331	413		807070	94.70	413
1049750 147_3526	411		201562	89.80	411
104996 147_15210	411		4388127	89.30	411
1051459 156_26455	411		264416	95.40	411
1051517 156_6665	413		4406763	95.40	413
1051744 156_5347	414		368639	93.70	414
1052559 147_12800	412		354006	92.70	412
1052930 147_16342	413		1047401	93.20	413
1053100 147_28256	413		4445042	87.40	413
1053775 147_1914	411		824826	90.80	411
105561 162_24666	413		4389688	90.60	413
1057116 148_33697	409		1953696	95.40	409
1058276 146_19209	407		367523	94.10	407
1058844 148_4525	411		926588	92.00	411
106019 148_29679	409		993578	90.50	409
1060565 147_19063	411		4377099	91.50	411
106144 156_33864	411		264416	96.10	411
1062748 170_10962	414		4323733	98.80	414
106310 148_6894	411		749805	94.40	411
106334 148_2783	412		4336516	99.80	412
1065974 156_13291	413		945326	94.70	413
106749 147_25561	408		993578	89.20	408
1067651 147_33166	412		1143228	92.70	412
1067865 147_15578	411		749805	93.40	411
1068149 160_10584	414		209886	91.10	414
1068562 166_27799	411		1124893	91.00	411
1070477 156_15161	409		144239	90.20	409
1072513 148_33748	411		201562	93.40	411
1072787 148_9052	412		2818167	92.70	412
107349 148_3367	411		749805	95.10	411
1074016 148_33776	411		157064	91.70	411
107501 148_7324	409		993578	90.20	409
1075600 147_17809	411		201562	96.60	411
1076316 147_26859	413		928249	95.20	413
1076759 148_9352	410		4403	94.10	410
1078248 156_7319	413		4406763	95.20	413
1078373 148_14489	412		1047956	94.40	412
1078997 148_4251	407		544631	95.30	407
1080436 148_16679	409		1953696	94.40	409
1081222 147_16135	411		247727	91.00	411
