ID	File R1
424	4924-424-MSITS2a_R1
425	4924-425-MSITS2a_R1
426	4924-426-MSITS2a_R1
427	4924-427-MSITS2a_R1
429	4924-429-MSITS2a_R1
430	4924-430-MSITS2a_R1
431	4924-431-MSITS2a_R1
432	4924-432-MSITS2a_R1
434	4924-434-MSITS2a_R1
435	4924-435-MSITS2a_R1
436	4924-436-MSITS2a_R1
437	4924-437-MSITS2a_R1
439	4924-439-MSITS2a_R1
440	4924-440-MSITS2a_R1
441	4924-441-MSITS2a_R1
442	4924-442-MSITS2a_R1
831	4924-831-MSITS2a_R1
832	4924-832-MSITS2a_R1
833	4924-833-MSITS2a_R1
834	4924-834-MSITS2a_R1
836	4924-836-MSITS2a_R1
837	4924-837-MSITS2a_R1
838	4924-838-MSITS2a_R1
839	4924-839-MSITS2a_R1
841	4924-841-MSITS2a_R1
842	4924-842-MSITS2a_R1
843	4924-843-MSITS2a_R1
844	4924-844-MSITS2a_R1
447	5101-447-MSITS2a_R1
448	5101-448-MSITS2a_R1
449	5101-449-MSITS2a_R1
450	5101-450-MSITS2a_R1
451	5101-451-MSITS2a_R1
452	5101-452-MSITS2a_R1
453	5101-453-MSITS2a_R1
454	5101-454-MSITS2a_R1
455	5101-455-MSITS2a_R1
456	5101-456-MSITS2a_R1
457	5101-457-MSITS2a_R1
458	5101-458-MSITS2a_R1
459	5101-459-MSITS2a_R1
460	5101-460-MSITS2a_R1
461	5101-461-MSITS2a_R1
757	5101-757-MSITS2a_R1
758	5101-758-MSITS2a_R1
759	5101-759-MSITS2a_R1
760	5101-760-MSITS2a_R1
761	5101-761-MSITS2a_R1
762	5101-762-MSITS2a_R1
763	5101-763-MSITS2a_R1
764	5101-764-MSITS2a_R1
765	5101-765-MSITS2a_R1
766	5101-766-MSITS2a_R1
1016	5101-1016-MSITS2a_R1
1017	5101-1017-MSITS2a_R1
1018	5101-1018-MSITS2a_R1
1019	5101-1019-MSITS2a_R1
1020	5101-1020-MSITS2a_R1
1021	5101-1021-MSITS2a_R1
1022	5101-1022-MSITS2a_R1
1023	5101-1023-MSITS2a_R1
1024	5101-1024-MSITS2a_R1
1025	5101-1025-MSITS2a_R1
1026	5101-1026-MSITS2a_R1
1027	5101-1027-MSITS2a_R1
1028	5101-1028-MSITS2a_R1
1029	5101-1029-MSITS2a_R1
1030	5101-1030-MSITS2a_R1
1031	5101-1031-MSITS2a_R1
1032	5101-1032-MSITS2a_R1
1033	5101-1033-MSITS2a_R1
1034	5101-1034-MSITS2a_R1
1035	5101-1035-MSITS2a_R1
1036	5101-1036-MSITS2a_R1
1037	5101-1037-MSITS2a_R1
1038	5101-1038-MSITS2a_R1
1039	5101-1039-MSITS2a_R1
1040	5101-1040-MSITS2a_R1
1138	5101-1138-MSITS2a_R1
1139	5101-1139-MSITS2a_R1
1140	5101-1140-MSITS2a_R1
1141	5101-1141-MSITS2a_R1
1142	5101-1142-MSITS2a_R1
1143	5101-1143-MSITS2a_R1
1144	5101-1144-MSITS2a_R1
1145	5101-1145-MSITS2a_R1
1146	5101-1146-MSITS2a_R1
1147	5101-1147-MSITS2a_R1
1148	5101-1148-MSITS2a_R1
1149	5101-1149-MSITS2a_R1
1150	5101-1150-MSITS2a_R1
1151	5101-1151-MSITS2a_R1
1152	5101-1152-MSITS2a_R1
1153	5101-1153-MSITS2a_R1
1154	5101-1154-MSITS2a_R1
1155	5101-1155-MSITS2a_R1
1156	5101-1156-MSITS2a_R1
1157	5101-1157-MSITS2a_R1
1158	5101-1158-MSITS2a_R1
1159	5101-1159-MSITS2a_R1
1160	5101-1160-MSITS2a_R1
1161	5101-1161-MSITS2a_R1
1162	5101-1162-MSITS2a_R1
