Length	Count
186.0	241
196.0	0
206.0	23
216.0	780
226.0	3731
236.0	436
246.0	958
256.0	10394
266.0	867
276.0	835
286.0	722
296.0	2379
306.0	0
316.0	1
326.0	0
336.0	0
346.0	0
356.0	13
366.0	2
376.0	0
386.0	1
396.0	243
406.0	12
416.0	0
426.0	0
436.0	0
446.0	0
456.0	0
466.0	0
476.0	0
486.0	1
496.0	0
--

