OTU	Test-Statistic	P	FDR_P	Bonferroni_P	C_mean	C-LATE_mean	C-NO_mean	LB500-LATE_mean	LB500-EARLY_mean	C-EARLY_mean	LB500-NO_mean	taxonomy
318906	15.6651884701	0.0156684328104	0.0826295461642	1.0	1.5	0.0	0.0	0.0	0.0	0.25	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
New.CleanUp.ReferenceOTU348	15.6651884701	0.0156684328104	0.0826295461642	1.0	2.5	0.0	0.0	0.0	0.0	0.0	0.25	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU1446	15.6651884701	0.0156684328104	0.0826295461642	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.25	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
New.CleanUp.ReferenceOTU7514	15.6651884701	0.0156684328104	0.0826295461642	1.0	1.5	0.0	0.0	0.0	0.0	0.0	0.25	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
New.CleanUp.ReferenceOTU7876	15.6651884701	0.0156684328104	0.0826295461642	1.0	1.75	0.0	0.0	0.0	0.25	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU11071	15.6651884701	0.0156684328104	0.0826295461642	1.0	2.25	0.0	0.0	0.0	0.0	0.25	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
250206	15.6418480026	0.0158110252448	0.0832434772822	1.0	21.5	0.0	0.5	0.25	0.5	0.5	1.5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
New.CleanUp.ReferenceOTU1683	15.629541109	0.0158867111908	0.0835037051018	1.0	0.0	0.0	0.25	1.0	2.75	1.5	4.25	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
1108350	15.6242715118	0.015919224706	0.0835365256848	1.0	84.75	0.0	0.25	0.5	0.25	7.75	0.75	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium; s__
2549460	15.5807926829	0.0161899355643	0.0848171253616	1.0	6.75	0.0	0.25	0.75	0.5	0.25	2.75	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
