	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
L1S140	0.0	0.131598402154	0.196073842011	0.227658599641	0.161709694794	0.901495412926	0.918741077199	0.914780394973	0.940367342908	0.974071849192	0.945032567325	0.891287603232	0.849884048474	0.891062845601	0.841204829443	0.933794802513	0.958398967684	0.96948508079	0.974149658887	1.03309991921	0.904651588869	0.904853680431	0.203341588869	0.0696565529623	0.161256166966	1.16608599641	0.980034470377	1.02545750449	1.02679442549	0.191068833034	0.151541597846	0.899988411131	0.958849667864	0.884773034111
L1S208	0.131598402154	0.0	0.228627791741	0.156183429084	0.227610915619	0.881503635548	0.9063597307	0.900211131059	0.932180412926	0.946581166966	0.932636175943	0.861568895871	0.819282684022	0.860881373429	0.817133500898	0.905241768402	0.948564605027	0.954074631957	0.962979766607	1.00623166068	0.889236166966	0.873403752244	0.107236615799	0.120588509874	0.148845251346	1.15798815081	0.970430341113	1.01509450628	1.01948564632	0.163197953321	0.146521687612	0.869268231598	0.949012360862	0.856020825853
L1S8	0.196073842011	0.228627791741	0.0	0.344447594255	0.0701286894075	0.84991959605	0.87063497307	0.866428473968	0.886778491921	0.925403267504	0.886368456014	0.834669183124	0.800905412926	0.833878662478	0.792369371634	0.883599362657	0.901603868941	0.92302438061	0.926701328546	0.986503438061	0.860911642729	0.857576840215	0.280787333932	0.2095902693	0.209926490126	1.10944111311	0.932746104129	0.980204506284	0.958865125673	0.229096786355	0.225342926391	0.852532791741	0.911749236984	0.840000987433
L1S281	0.227658599641	0.156183429084	0.344447594255	0.0	0.343261526032	0.840714928187	0.861156714542	0.856412405745	0.886040789946	0.905387037702	0.887421867145	0.828119290844	0.784441965889	0.827853150808	0.791116570916	0.864916795332	0.903119793537	0.910370861759	0.919116104129	0.967721193896	0.860346651706	0.835766552962	0.172708141831	0.208937863555	0.194338159785	1.11518190305	0.927473411131	0.972324470377	0.975561858169	0.168388348294	0.179180754039	0.835226885099	0.905055448833	0.821363680431
L3S242	0.161709694794	0.227610915619	0.0701286894075	0.343261526032	0.0	0.851019614004	0.871683249551	0.867882495512	0.887594991023	0.922703572711	0.88891	0.838565466786	0.800649129264	0.84110056553	0.79252513465	0.884277298025	0.906247351885	0.923937558348	0.920456247756	0.980784479354	0.854334317774	0.851792890485	0.280943366248	0.189220412926	0.203262342908	1.10503405745	0.926727037702	0.973547863555	0.965343222621	0.22786572711	0.216789245961	0.846905448833	0.91351072711	0.833223590664
L2S309	0.901495412926	0.881503635548	0.84991959605	0.840714928187	0.851019614004	0.0	0.168542486535	0.159201840215	0.374647118492	0.448682630162	0.211841768402	0.440781508079	0.362436301616	0.425703141831	0.433166759425	0.358231615799	0.416719766607	0.285239524237	0.498580224417	0.714788527828	0.60290475763	0.522566579892	0.873177001795	0.900484228007	0.857503141831	0.744705394973	0.546565233393	0.626303904847	0.479507540395	0.842266705566	0.869536041293	0.540617073609	0.264655763016	0.541926346499
L2S357	0.918741077199	0.9063597307	0.87063497307	0.861156714542	0.871683249551	0.168542486535	0.0	0.0831263195691	0.313417881508	0.474728402154	0.246807827648	0.470529901257	0.360686005386	0.436927675045	0.436573087971	0.348176633752	0.346637531418	0.249962226212	0.442137935368	0.703972360862	0.559411175943	0.515802190305	0.898946490126	0.916902046679	0.874541373429	0.70984567325	0.478132064632	0.574023859964	0.428884245961	0.865607235189	0.887232262118	0.527522594255	0.219469506284	0.53290459605
L4S112	0.914780394973	0.900211131059	0.866428473968	0.856412405745	0.867882495512	0.159201840215	0.0831263195691	0.0	0.345468635548	0.462500233393	0.264550628366	0.457008213645	0.344933312388	0.424825574506	0.429594847397	0.344852845601	0.383609201077	0.261067360862	0.442123159785	0.697939308797	0.552486095153	0.507343411131	0.893026903052	0.913661705566	0.870907692998	0.70963567325	0.479040305206	0.57464048474	0.437406921005	0.859881113106	0.883263087971	0.520496310592	0.249758393178	0.523186229803
L2S155	0.940367342908	0.932180412926	0.886778491921	0.886040789946	0.887594991023	0.374647118492	0.313417881508	0.345468635548	0.0	0.545999910233	0.318454219031	0.461520834829	0.410563007181	0.425619219031	0.439966750449	0.448606561939	0.155970637343	0.317324955117	0.511417414722	0.714732217235	0.557909721724	0.525239605027	0.922942648115	0.941964721724	0.897905771993	0.743939910233	0.553176678636	0.565196355476	0.511449039497	0.880774829443	0.903809964093	0.537017944345	0.296679039497	0.539676032316
L2S382	0.974071849192	0.946581166966	0.925403267504	0.905387037702	0.922703572711	0.448682630162	0.474728402154	0.462500233393	0.545999910233	0.0	0.495785206463	0.528604533214	0.480806777379	0.536727118492	0.55006464991	0.341069165171	0.632131624776	0.478359084381	0.381624955117	0.458951175943	0.54729045781	0.398037684022	0.930516867145	0.971779138241	0.928621337522	0.558614721724	0.487586929982	0.3932405386	0.415874192101	0.913521633752	0.94371486535	0.421865179533	0.530903043088	0.426735547576
