	L1S140	L1S208	L1S8	L1S281	L3S242	L2S309	L2S357	L4S112	L2S155	L2S382	L4S63	L2S222	L3S341	L3S360	L2S204	L4S137	L3S294	L2S175	L5S203	L6S93	L6S20	L6S68	L1S257	L3S378	L1S105	L5S174	L5S155	L5S222	L5S104	L1S57	L1S76	L5S240	L3S313	L2S240
L6S20	0.785170911221	0.854652093637	0.808372570483	0.866647714816	0.693380555731	0.780412711394	0.690709635566	0.743099620888	0.758250361543	0.624991664524	0.783787841066	0.797147167063	0.773841376282	0.790051631844	0.770941111829	0.618253152854	0.74635242726	0.687803317736	0.455324773843	0.393065300004	0.0	0.421851808417	0.856035060893	0.781341737462	0.729242798878	0.371943096278	0.450243043704	0.410758381108	0.495037308759	0.836509041742	0.80668148017	0.467188919245	0.71287990843	0.496176880319
L6S68	0.816714749509	0.862456382373	0.826579653799	0.861139041795	0.718811836317	0.733468186989	0.648056849379	0.70129289884	0.709599059497	0.568211961962	0.738837634509	0.762183971271	0.745087989013	0.757116519142	0.743738608832	0.558692424049	0.703877290689	0.598897634759	0.390433026625	0.422846729816	0.421851808417	0.0	0.872090186738	0.809173353473	0.747403028496	0.315627879134	0.494120627445	0.36805939532	0.472498142663	0.850206738742	0.82876400506	0.410217160754	0.668269878205	0.424422572227
L1S257	0.619050442576	0.447549221586	0.691083934319	0.48938276431	0.706334845314	0.862886120912	0.872874307195	0.884968438716	0.894206158271	0.897975895799	0.911728754471	0.893981014383	0.870230214744	0.891439350575	0.88488715745	0.906348808182	0.888363080348	0.883430218059	0.866177927518	0.878430754119	0.856035060893	0.872090186738	0.0	0.606405830884	0.684464471524	0.877891551811	0.851546524394	0.852138433354	0.851646364362	0.585670665305	0.577654976709	0.843102111809	0.899353784585	0.874725072463
L3S378	0.452051274999	0.559256880393	0.653113253316	0.601963628828	0.598514334362	0.810322263194	0.804821182911	0.833928079904	0.85712591655	0.831259766779	0.861469836965	0.855014687474	0.837413818727	0.852491080501	0.852903498408	0.833802721031	0.823110995476	0.814755942348	0.793494360668	0.821243317006	0.781341737462	0.809173353473	0.606405830884	0.0	0.572792298188	0.813424400685	0.767170512271	0.810421511064	0.753004993361	0.61957996282	0.57356869392	0.754859039931	0.818292570806	0.765680822917
L1S105	0.569172915598	0.653917044715	0.622923640938	0.683927745916	0.549621820834	0.763423419014	0.762737148456	0.785055525131	0.815973733911	0.790129217455	0.819809696982	0.814985150385	0.804803258125	0.827030581081	0.80491298398	0.778096631505	0.794968475777	0.776985017066	0.754525928671	0.767109703725	0.729242798878	0.747403028496	0.684464471524	0.572792298188	0.0	0.753007953776	0.711372372449	0.734362913327	0.702997717924	0.563703161258	0.543332960587	0.710394436758	0.789820346042	0.736204085474
L5S174	0.808214828669	0.871873974497	0.821236001659	0.895314759114	0.692187635918	0.78082086178	0.696897506854	0.743401134766	0.762713961457	0.619123888674	0.782856565765	0.797469117704	0.773094570262	0.797768633194	0.785277990633	0.592669828769	0.754401395733	0.661015585571	0.409358561962	0.302673488843	0.371943096278	0.315627879134	0.877891551811	0.813424400685	0.753007953776	0.0	0.472116565495	0.295403355857	0.440077019279	0.853091474014	0.829736428	0.396123114245	0.728844808022	0.455777170627
L5S155	0.771217641419	0.844581667517	0.795150084563	0.858718783662	0.688536035242	0.759151916219	0.727115117145	0.780021489132	0.775804128661	0.689338452316	0.804280800046	0.81731194274	0.810460290423	0.804923220697	0.796380681512	0.689581488816	0.757375350187	0.707373063136	0.465773802802	0.544110668002	0.450243043704	0.494120627445	0.851546524394	0.767170512271	0.711372372449	0.472116565495	0.0	0.516230443047	0.587124441882	0.847272816233	0.816409566012	0.474063324058	0.746209931925	0.545483652946
L5S222	0.787977238363	0.841595930004	0.817091755823	0.868045204988	0.676608369133	0.74164311038	0.680445320299	0.719809851091	0.741723256944	0.571229627578	0.76446180624	0.768932357889	0.748518941247	0.775244174705	0.753463251131	0.538019817859	0.728965062955	0.656685510936	0.381170440904	0.392610142492	0.410758381108	0.36805939532	0.852138433354	0.810421511064	0.734362913327	0.295403355857	0.516230443047	0.0	0.448942423366	0.828488210673	0.799642547446	0.421773524164	0.699609565084	0.472476825875
L5S104	0.722565563129	0.834757549724	0.787593967024	0.834305199662	0.676375460551	0.66009974522	0.577275369481	0.630395157197	0.680411512766	0.573434081413	0.708035044591	0.711076549144	0.674755447565	0.709274214452	0.676313311473	0.547212787722	0.630161064736	0.564627547836	0.455560906571	0.447986704671	0.495037308759	0.472498142663	0.851646364362	0.753004993361	0.702997717924	0.440077019279	0.587124441882	0.448942423366	0.0	0.808786147068	0.784622327495	0.461536986866	0.625490090891	0.408609197004
L1S57	0.590151813331	0.57000444925	0.578623036384	0.609760824314	0.591680880961	0.868993419258	0.870619986077	0.87972560657	0.893318933517	0.894278156303	0.908924255143	0.883875688723	0.872242463089	0.899239790047	0.890166892392	0.892993899663	0.87760849416	0.879584360403	0.850580922384	0.856259732472	0.836509041742	0.850206738742	0.585670665305	0.61957996282	0.563703161258	0.853091474014	0.847272816233	0.828488210673	0.808786147068	0.0	0.413510200422	0.816030224328	0.891264019445	0.863236570982
L1S76	0.548562736498	0.560315385972	0.625047382137	0.602027089888	0.55567185713	0.84266155049	0.840702708611	0.859448728421	0.869500117849	0.874859338753	0.888429277068	0.866989554621	0.851125402762	0.880912174376	0.865972036351	0.874540481105	0.852006296514	0.854815105945	0.824560415177	0.834383804276	0.80668148017	0.82876400506	0.577654976709	0.57356869392	0.543332960587	0.829736428	0.816409566012	0.799642547446	0.784622327495	0.413510200422	0.0	0.783911493738	0.863823912564	0.843949432931
L5S240	0.76631415131	0.832320241597	0.766313161543	0.823589383759	0.612957470763	0.720077016367	0.627410538015	0.696067081592	0.707588347976	0.615581847837	0.75458778282	0.752132760705	0.712040157103	0.752083374921	0.72306156901	0.620775092622	0.695214698295	0.575154526427	0.43088718676	0.459718534395	0.467188919245	0.410217160754	0.843102111809	0.754859039931	0.710394436758	0.396123114245	0.474063324058	0.421773524164	0.461536986866	0.816030224328	0.783911493738	0.0	0.678397228732	0.389609443921
L3S313	0.822397028104	0.882966306173	0.865271879676	0.892761551673	0.790811042241	0.523933347603	0.520555933421	0.533442471446	0.523818545275	0.581776556863	0.521392179079	0.567741199687	0.546148116126	0.577257875844	0.538602371451	0.539824954935	0.488271359814	0.476801480899	0.655884253009	0.710605452596	0.71287990843	0.668269878205	0.899353784585	0.818292570806	0.789820346042	0.728844808022	0.746209931925	0.699609565084	0.625490090891	0.891264019445	0.863823912564	0.678397228732	0.0	0.651781479092
L2S240	0.772608321853	0.873297997324	0.833458980533	0.856852856282	0.703156918441	0.694363360237	0.607713082175	0.668398802332	0.667347287172	0.561322566567	0.703143254184	0.726382639058	0.697540025082	0.721560413331	0.709156939072	0.5474103767	0.650773945418	0.547466835022	0.479273184029	0.499959931984	0.496176880319	0.424422572227	0.874725072463	0.765680822917	0.736204085474	0.455777170627	0.545483652946	0.472476825875	0.408609197004	0.863236570982	0.843949432931	0.389609443921	0.651781479092	0.0
