	1142	1140	1162	1145	451	761	449	457	440	832	831	836	837	834	838	839	759	429	1018	1019	435	1032	1033	1016	1017	425	424	427	1035	1139	1138	757	1158	1155	1154	1157	1156	447	1153	844	842	1040	1024	1031	843	1020	841	441	437	426	430	431
1142	0.0	0.9396	0.19	0.9998	0.6877	0.3918	0.9851	0.9994	0.9999	0.9993	0.9996	0.9996	0.9996	0.9992	0.9996	0.9993	0.2246	0.8932	0.9769	0.9768	0.9998	0.8665	0.8285	0.9924	0.9971	1.0	1.0	1.0	0.7782	0.9908	0.5501	0.5179	0.6479	0.836	0.8009	0.7084	0.4927	0.9591	0.5041	0.9996	0.9995	0.9134	0.9998	0.9238	0.9996	0.9805	0.9995	0.9999	1.0	1.0	0.9807	0.9996
1140	0.9396	0.0	0.9402	0.1509	0.5632	0.9402	0.9853	0.9999	1.0	0.9997	1.0	1.0	1.0	0.9996	1.0	0.9997	0.9401	0.7114	0.042	0.0428	0.9998	0.0865	0.1583	0.0565	0.0586	1.0	1.0	0.9999	0.1747	0.0523	0.3999	0.4362	0.8534	0.8556	0.8284	0.8132	0.7561	0.0301	0.5788	1.0	1.0	0.9411	1.0	0.0203	1.0	0.0455	1.0	0.9999	1.0	1.0	0.1529	0.8339
1162	0.19	0.9402	0.0	0.9867	0.5981	0.3713	0.95	0.9846	0.934	0.9971	0.9833	0.9831	0.9831	0.9842	0.9849	0.9819	0.1057	0.7673	0.9759	0.9771	0.9211	0.8594	0.7874	0.9926	0.9976	0.9076	0.9614	0.9415	0.7701	0.9911	0.5486	0.5132	0.538	0.7276	0.702	0.5991	0.4034	0.9537	0.4353	0.9837	0.9941	0.8926	0.9845	0.924	0.9777	0.9807	0.9793	0.9847	0.9827	0.9314	0.8705	0.8736
1145	0.9998	0.1509	0.9867	0.0	0.6007	1.0	0.9867	0.9866	0.9637	0.9974	0.9843	0.9837	0.9863	0.9865	0.9867	0.9799	0.9998	0.739	0.1498	0.1511	0.9338	0.1534	0.2182	0.1511	0.1509	0.9664	0.9624	0.9609	0.2376	0.1512	0.4605	0.4965	0.8528	0.8793	0.8532	0.8381	0.8165	0.1452	0.6396	0.9866	0.994	1.0	0.9979	0.1509	0.9855	0.1511	0.9856	0.9866	0.9866	0.962	0.1698	0.8209
451	0.6877	0.5632	0.5981	0.6007	0.0	0.6722	0.9828	0.9999	0.9084	0.9981	0.9874	0.9983	0.9984	0.9944	0.9817	0.991	0.589	0.4335	0.5972	0.5822	0.9086	0.483	0.421	0.6161	0.6132	0.9657	0.9613	0.9331	0.3939	0.6142	0.3127	0.3188	0.4934	0.6008	0.5384	0.4333	0.3583	0.5771	0.1983	0.9963	0.9928	0.9134	0.9998	0.5476	0.9949	0.6039	0.9957	1.0	1.0	0.952	0.506	0.7126
761	0.3918	0.9402	0.3713	1.0	0.6722	0.0	0.9811	0.9999	0.9948	0.9997	0.9982	0.9989	0.9983	0.9995	0.9989	0.999	0.3712	0.8766	0.9773	0.9772	0.9952	0.8594	0.8081	0.9926	0.9976	0.9942	0.9942	0.9944	0.7701	0.9911	0.5543	0.5197	0.6168	0.8007	0.7815	0.6726	0.4788	0.9594	0.5171	0.9989	0.9999	0.9094	0.9958	0.924	1.0	0.9807	0.9956	0.9993	0.9994	0.9942	0.9601	0.983
449	0.9851	0.9853	0.95	0.9867	0.9828	0.9811	0.0	0.9482	0.9171	0.9965	0.9483	0.975	0.9483	0.9443	0.9866	0.9473	0.9537	0.9264	0.9832	0.985	0.9052	0.9851	0.9766	0.9929	0.998	0.9299	0.9342	0.9379	0.9846	0.9915	0.9846	0.9786	0.9646	0.9786	0.9823	0.9803	0.9819	0.977	0.9842	0.9468	0.9941	0.9542	0.9845	0.9853	0.9608	0.985	0.9433	0.9483	0.9795	0.9281	0.9731	0.9295
457	0.9994	0.9999	0.9846	0.9866	0.9999	0.9999	0.9482	0.0	0.8684	0.9775	0.9287	0.9587	0.8663	0.8873	0.9674	0.9251	0.9999	0.8874	0.9986	0.9999	0.9159	0.9999	0.9999	0.9999	1.0	0.8685	0.8684	0.8685	0.9999	1.0	0.9997	0.9999	0.9999	0.9986	0.9999	0.999	0.9996	0.9941	0.9998	0.8943	0.9742	1.0	0.9978	1.0	0.9449	1.0	0.8509	0.8683	0.9806	0.8684	0.9946	0.9393
440	0.9999	1.0	0.934	0.9637	0.9084	0.9948	0.9171	0.8684	0.0	0.9972	0.9384	0.9717	0.757	0.8944	0.9829	0.9425	0.8955	0.7469	0.9985	0.9999	0.7097	0.999	0.9892	1.0	0.9987	0.6154	0.6201	0.5959	0.999	0.9999	0.9983	0.9955	0.8651	0.979	0.9868	0.9738	0.9911	0.9941	0.9979	0.9095	0.9935	0.8494	0.9846	1.0	0.9604	1.0	0.8618	0.6688	0.9782	0.5951	0.9649	0.6592
