Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
4924-424-MSITS2a_R1	pass	0.0	fail	247.390682415	Sanger / Illumina 1.9	fail	fail	warn	179-251	Conventional base calls	pass	fail	30480.0	pass	fail	fail	48.0	2.81496062992	4924-424-MSITS2a_R1.fastq	warn	pass
4924-424-MSITS2a_R2	pass	0.0	fail	247.755708661	Sanger / Illumina 1.9	warn	fail	warn	179-251	Conventional base calls	pass	fail	30480.0	pass	fail	fail	50.0	5.12467191601	4924-424-MSITS2a_R2.fastq	warn	pass
4924-425-MSITS2a_R1	pass	0.0	fail	249.057219872	Sanger / Illumina 1.9	warn	fail	warn	48-251	Conventional base calls	pass	fail	45631.0	pass	fail	fail	47.0	2.38434397668	4924-425-MSITS2a_R1.fastq	warn	pass
4924-425-MSITS2a_R2	pass	0.0	fail	249.438977888	Sanger / Illumina 1.9	fail	fail	warn	47-251	Conventional base calls	pass	fail	45631.0	pass	fail	fail	48.0	4.97468826017	4924-425-MSITS2a_R2.fastq	warn	pass
4924-426-MSITS2a_R1	pass	0.0	fail	248.599134734	Sanger / Illumina 1.9	fail	fail	warn	185-251	Conventional base calls	pass	fail	48540.0	pass	fail	fail	47.0	2.41656365884	4924-426-MSITS2a_R1.fastq	warn	pass
4924-426-MSITS2a_R2	pass	0.0	fail	248.860280181	Sanger / Illumina 1.9	fail	fail	warn	185-251	Conventional base calls	pass	fail	48540.0	pass	fail	fail	49.0	4.87433044911	4924-426-MSITS2a_R2.fastq	warn	pass
4924-427-MSITS2a_R1	pass	0.0	fail	248.536724069	Sanger / Illumina 1.9	warn	fail	warn	50-251	Conventional base calls	pass	fail	24970.0	pass	fail	fail	47.0	3.27192631157	4924-427-MSITS2a_R1.fastq	warn	pass
4924-427-MSITS2a_R2	pass	0.0	fail	248.964797757	Sanger / Illumina 1.9	warn	fail	warn	50-251	Conventional base calls	pass	fail	24970.0	pass	fail	fail	48.0	5.33039647577	4924-427-MSITS2a_R2.fastq	warn	pass
4924-429-MSITS2a_R1	pass	0.0	fail	244.701719536	Sanger / Illumina 1.9	fail	fail	warn	48-251	Conventional base calls	pass	fail	32218.0	pass	fail	fail	42.0	2.30306040102	4924-429-MSITS2a_R1.fastq	warn	pass
4924-429-MSITS2a_R2	pass	0.0	fail	245.397107207	Sanger / Illumina 1.9	warn	fail	warn	48-251	Conventional base calls	pass	fail	32218.0	pass	fail	fail	40.0	5.27034576945	4924-429-MSITS2a_R2.fastq	warn	pass
