Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	250
4924-424-MSITS2a_R1	33.8068897638	33.8169619423	33.7855314961	33.8455708661	33.817847769	37.5560367454	37.6452099738	37.5511154856	37.544980315	37.5405643045	37.4134580052	37.4990026247	37.5305971129	37.3422178478	37.2262860892	37.0687992126	37.1242454068	36.7801049869	36.8639698163	36.9021062992	37.1761745407	36.0117322835	36.0986614173	35.8223425197	35.6717716535	35.4147309711	35.3633661417	35.4759383202	35.2478346457	35.3758267717	34.6156889764	34.2777559055	33.7183792651	33.5007611549	33.5560761155	33.5486154856	33.2006692913	32.5904068241	32.2059120735	32.2020538058	31.9703740157	30.9417913386	31.4348490814	30.8897470389	30.79839247	30.0280583334	28.3314637345	28.7939069908	28.0493358889	27.9298289994	27.3096270328	27.0589842845	27.1888533042	24.6626750107	24.403904152	25.5283619087	22.6840700503	17.5110618068
4924-424-MSITS2a_R2	33.5217191601	33.7478346457	33.5917322835	33.5855314961	33.7616469816	37.2807414698	37.3225721785	37.5039370079	37.4514435696	37.4891929134	37.3262335958	37.0802952756	37.0998622047	37.2151706037	37.0468569554	37.0474606299	37.0524081365	36.9671981627	36.5617585302	36.1799146982	35.9393832021	35.9014238845	35.8575721785	35.8813451444	35.7480839895	35.5605905512	35.1888910761	34.6085826772	34.8838779528	34.6823753281	34.6603215223	34.1254855643	34.3171784777	33.9056167979	33.3658792651	32.7979724409	32.4775262467	31.417480315	31.0033661417	31.348484252	30.5495997375	29.4979265092	29.4840748031	29.7123921388	29.0790359604	28.6240968614	28.2416518142	26.6292363049	25.6946699398	26.9631232812	25.4378855428	23.9810158029	21.8892463068	23.6022464864	21.7538117518	19.6999380762	20.9945021098	18.3988225338
4924-425-MSITS2a_R1	33.860621069	33.8748000263	33.8546163792	33.8327233679	33.7936271394	37.7059674344	37.7379193969	37.614867086	37.6513773531	37.5944642896	37.4712629572	37.5817492494	37.6286121277	37.4490631369	37.4518375666	37.335504372	37.2609352072	37.0873920477	37.1785980448	37.1843584236	37.3846740608	36.5421068783	36.6166586296	36.4099425716	36.2135636316	36.1278637499	35.9333917847	36.2015036605	35.864105037	36.0069133313	35.4105168559	35.0795887949	35.0681118758	34.8888518697	34.9861119635	34.720766297	34.6756257946	34.2854806891	33.977423173	33.5795405725	33.641909605	33.4129849634	33.1379860594	32.826259937	32.3638996418	31.6960301415	30.4614890459	31.192840529	31.0003677204	30.7128923955	29.9248277409	29.4144328917	29.4202505391	26.80396542	26.3012983085	27.4098807066	25.3291422431	20.1091346193
4924-425-MSITS2a_R2	33.4059740089	33.7257566128	33.5444544279	33.5186824746	33.7600534724	37.1404089325	37.1792860117	37.4728583638	37.3568845741	37.4291556179	37.2228265872	36.9061427538	37.0219017773	37.1294514694	36.9215927768	36.9710898293	36.9934886569	36.812016396	36.5065649591	36.071506543	35.9707678481	35.7934986081	35.6383069201	35.8049889305	35.5112075579	35.3805089761	35.1994081673	34.4040156945	34.4233927358	34.0352381579	34.4151377655	33.9528112054	33.6261677736	33.7139387563	33.325244953	32.49106771	32.2853992679	31.6426777142	30.9644944214	31.3629249688	31.0062076675	30.460309945	29.7168672322	29.5405600992	29.5149317576	28.6824811483	28.9352874759	26.6667803139	26.7593172308	26.2583137311	25.501452061	23.8644764223	21.6452969051	23.6197668743	22.1082360062	20.2627739593	21.2672112784	16.9875181496
4924-426-MSITS2a_R1	33.8652451586	33.8629583848	33.8508034611	33.8705191595	33.8333127318	37.6002884219	37.7031108364	37.6009682736	37.633868974	37.5768726823	37.473737124	37.548986403	37.6086608982	37.4107251751	37.3722785332	37.2629130614	37.2689369592	36.9662834775	37.1080593325	37.1132179646	37.3413185002	36.4404532344	36.5513926658	36.3203255047	36.1070210136	35.9598887515	35.8375030902	36.0205315204	35.7636629584	35.9374165637	35.2420148331	35.0413967862	34.812579316	34.5701277297	34.579250103	34.4287556654	34.2302266172	33.9272023074	33.4480675731	33.2609353111	33.3316398846	32.6829377833	32.7961516275	32.530749897	32.3742779786	31.9061361345	30.4900804401	30.8803712941	30.3851819432	30.2288066358	30.1535189585	29.3505775819	29.2960161884	26.5318979872	26.4067720867	27.6041234942	25.0938551239	19.4922563419
4924-426-MSITS2a_R2	33.4147507211	33.7049443758	33.5690564483	33.4762257932	33.728842192	37.0824886691	37.2121961269	37.4461475072	37.3016275237	37.360894108	37.1906221673	36.9629171817	36.9629419036	37.0891100124	36.8750309023	36.8856654306	36.92013185	36.8375690152	36.4692542233	35.9297775031	35.8553934899	35.7507746189	35.6338978162	35.8144622991	35.6725339926	35.4131891224	35.0126988051	34.3988051092	34.6873712402	34.2728965801	34.39421096	33.7772064277	33.9242686444	33.6979892872	33.0741985991	32.5927812114	32.2759662134	31.1896992171	30.732921302	31.4256036259	30.7656201071	29.9182777091	29.3834857849	29.5173918418	29.2754421376	28.5278733351	28.6099864597	26.6513290825	25.9435303431	26.846274036	25.7350942165	24.0727537537	21.6165239534	23.6730843635	22.0626734358	20.2382783397	21.5356484017	18.7248156394
4924-427-MSITS2a_R1	33.797236684	33.8285142171	33.8129355226	33.8357629155	33.8279535443	37.6230276332	37.6816579896	37.5155386464	37.5258710453	37.5194713656	37.3375170204	37.4653023628	37.4798958751	37.2725430517	37.2072406888	37.0346415699	37.0301161394	36.7315220464	36.8075533662	36.7907084785	37.138812127	36.0395049862	36.1775801994	35.8011694501	35.6587688734	35.3769634347	35.2764708238	35.4490127758	35.1638351556	35.2757899796	34.4292602828	34.1460931555	33.8058472506	33.5647562978	33.5243301694	33.4138251432	33.1008130081	32.7191157035	32.1101525892	31.7857102807	32.0162281229	31.0934038207	31.1882253995	30.8294445112	30.5968494293	30.0955810467	28.4560407189	28.9006776617	28.2914108426	28.1340463749	28.1785371452	27.1749845844	27.146648075	24.0010175427	24.0036182001	24.887983169	22.3712567834	17.0831422236
4924-427-MSITS2a_R2	33.5915098118	33.7639567481	33.5738886664	33.6296756107	33.7831798158	37.3442531037	37.3670004005	37.5565478574	37.5110532639	37.5401922307	37.3795514618	37.1735522627	37.204309171	37.2775010012	37.138205847	37.1259110933	37.119030837	37.020136089	36.7309543834	36.3036084745	36.2202170692	36.1459249469	36.1223356963	36.1759541832	36.0628299091	35.8723617285	35.4575673836	34.9256437983	35.182962874	34.779646762	34.8835195643	34.3612159077	34.5006127598	34.2588089231	33.6738115263	33.1983739837	32.8348912652	31.87100805	31.066626617	31.5451319636	31.067099203	30.2905522848	29.7293924466	29.8638631904	29.1980975914	28.2133921933	29.010226341	27.3877185815	26.4253145939	27.1786648145	25.8939603451	24.3738743624	22.1071956786	24.1774597055	22.7321457015	20.0555779734	21.4648563481	19.5299963039
4924-429-MSITS2a_R1	33.822366379	33.8331367559	33.7845614253	33.8498665342	33.8330436402	37.6711155255	37.7164007698	37.5844869328	37.5948538084	37.5603513564	37.4659134645	37.5876404494	37.5856415668	37.416630455	37.583605438	37.4913340369	37.4217386883	37.318528078	37.272713727	37.2087725833	37.2950083814	36.5189607003	36.7045011486	36.1838889924	36.2550009313	36.0172285342	35.8161855094	35.6324951884	35.6033898305	35.9505224864	35.0641480148	35.2160245863	35.2971098625	35.5325365536	35.2605035234	35.0084872567	34.9753577748	34.9893334989	34.7388942352	34.5842423866	34.5130226927	34.0193276007	33.6748331419	33.7487536088	32.3362086059	32.394508111	31.9996993988	31.6067071643	31.3914266032	31.331908936	30.7335202353	29.1644694662	29.1273162452	27.9048421069	26.2206287834	26.2851296918	25.359752626	18.768783792
