Sample	Top over-represented sequence	Sum of remaining over-represented sequences
4924-424-MSITS2a_R1	67.4311023622	25.2362204724
4924-424-MSITS2a_R2	41.469816273	47.1161417323
4924-425-MSITS2a_R1	45.3967697399	46.2229624597
4924-425-MSITS2a_R2	38.4015252789	49.8433082773
4924-426-MSITS2a_R1	63.9534404615	28.8318912237
4924-426-MSITS2a_R2	48.667078698	39.8001648125
4924-427-MSITS2a_R1	61.0612735282	31.1934321185
4924-427-MSITS2a_R2	47.1085302363	41.9703644373
4924-429-MSITS2a_R1	77.3822087032	16.2579924266
4924-429-MSITS2a_R2	49.5468371718	38.8540567385
4924-430-MSITS2a_R1	88.7888117385	5.76444386218
4924-430-MSITS2a_R2	83.4468754094	9.35739551946
4924-431-MSITS2a_R1	82.7395297336	11.2225623657
4924-431-MSITS2a_R2	47.1699342148	41.4642089494
4924-432-MSITS2a_R1	80.5739011615	13.1177408335
4924-432-MSITS2a_R2	49.5672967433	38.2600774311
4924-435-MSITS2a_R1	43.2187921594	47.3930640425
4924-435-MSITS2a_R2	26.323307674	60.7253392588
4924-437-MSITS2a_R1	75.3763358972	17.6325743152
4924-437-MSITS2a_R2	41.7003020841	46.355951565
4924-439-MSITS2a_R1	33.9731285988	66.0268714012
4924-439-MSITS2a_R2	22.0729366603	77.9270633397
4924-440-MSITS2a_R1	44.2217160213	47.2209567198
4924-440-MSITS2a_R2	36.8033409263	51.8451025057
4924-441-MSITS2a_R1	59.682606264	31.9491051454
4924-441-MSITS2a_R2	50.5313199105	38.5486577181
4924-831-MSITS2a_R1	83.2634482759	11.1420689655
4924-831-MSITS2a_R2	72.3862068966	19.1117241379
4924-832-MSITS2a_R1	91.3047833709	3.64638116704
4924-832-MSITS2a_R2	72.516904583	19.5241672928
4924-833-MSITS2a_R1	77.5664152181	15.4367552203
4924-833-MSITS2a_R2	67.781786378	23.3956488466
4924-834-MSITS2a_R1	80.535525651	13.9117255316
4924-834-MSITS2a_R2	73.972351077	18.5183484132
4924-836-MSITS2a_R1	85.8616381439	8.71371705843
4924-836-MSITS2a_R2	79.2544382137	12.4357149083
4924-837-MSITS2a_R1	69.1066819616	24.2328649269
4924-837-MSITS2a_R2	64.5253799828	26.9285919128
4924-838-MSITS2a_R1	86.5861079718	7.12857515431
4924-838-MSITS2a_R2	76.2322872294	15.7132921846
4924-839-MSITS2a_R1	86.3273180808	8.17710566317
4924-839-MSITS2a_R2	68.8700939315	22.5903262268
4924-841-MSITS2a_R1	78.9413494527	14.8614060883
4924-841-MSITS2a_R2	68.4310842455	22.7577193269
4924-842-MSITS2a_R1	88.1580652127	6.36579572447
4924-842-MSITS2a_R2	58.8425825956	31.1207082704
4924-843-MSITS2a_R1	85.7500835282	8.10223855663
