Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
4924-424-MSITS2a_R1	97.1850393701	48.0	247.390682415	30480.0	50.0
4924-424-MSITS2a_R2	94.875328084	50.0	247.755708661	30480.0	41.6666666667
4924-425-MSITS2a_R1	97.6156560233	47.0	249.057219872	45631.0	41.6666666667
4924-425-MSITS2a_R2	95.0253117398	48.0	249.438977888	45631.0	50.0
4924-426-MSITS2a_R1	97.5834363412	47.0	248.599134734	48540.0	50.0
4924-426-MSITS2a_R2	95.1256695509	49.0	248.860280181	48540.0	50.0
4924-427-MSITS2a_R1	96.7280736884	47.0	248.536724069	24970.0	41.6666666667
4924-427-MSITS2a_R2	94.6696035242	48.0	248.964797757	24970.0	41.6666666667
4924-429-MSITS2a_R1	97.696939599	42.0	244.701719536	32218.0	50.0
4924-429-MSITS2a_R2	94.7296542306	40.0	245.397107207	32218.0	41.6666666667
4924-430-MSITS2a_R1	97.9693436395	40.0	230.505960959	30532.0	41.6666666667
4924-430-MSITS2a_R2	96.3284422901	40.0	231.972520634	30532.0	41.6666666667
4924-431-MSITS2a_R1	96.808441347	42.0	244.882954471	15353.0	41.6666666667
4924-431-MSITS2a_R2	93.8709047092	42.0	245.480492412	15353.0	41.6666666667
4924-432-MSITS2a_R1	97.0166249146	43.0	246.316556593	17564.0	50.0
4924-432-MSITS2a_R2	94.0047825097	39.0	246.557162378	17564.0	41.6666666667
4924-435-MSITS2a_R1	95.7781128482	46.0	246.013490993	12601.0	50.0
4924-435-MSITS2a_R2	92.0799936513	48.0	246.334259186	12601.0	50.0
4924-437-MSITS2a_R1	97.6696367375	46.0	250.063996141	39393.0	41.6666666667
4924-437-MSITS2a_R2	94.8721854137	46.0	249.742796944	39393.0	41.6666666667
4924-439-MSITS2a_R1	89.2514395393	44.0	239.6756238	521.0	58.3333333333
4924-439-MSITS2a_R2	78.886756238	44.0	240.295585413	521.0	58.3333333333
4924-440-MSITS2a_R1	95.9225512528	43.0	248.472741078	13170.0	41.6666666667
4924-440-MSITS2a_R2	93.8268792711	44.0	248.591040243	13170.0	41.6666666667
4924-441-MSITS2a_R1	96.029082774	47.0	245.42792226	14304.0	50.0
4924-441-MSITS2a_R2	94.2953020134	48.0	246.392827181	14304.0	41.6666666667
4924-831-MSITS2a_R1	97.8206896552	47.0	250.008137931	36250.0	33.3333333333
4924-831-MSITS2a_R2	96.0772413793	49.0	250.023696552	36250.0	41.6666666667
4924-832-MSITS2a_R1	97.9313799149	48.0	249.240570999	19965.0	50.0
4924-832-MSITS2a_R2	95.852742299	50.0	249.178161783	19965.0	41.6666666667
4924-833-MSITS2a_R1	95.856564994	47.0	247.819612988	9147.0	50.0
4924-833-MSITS2a_R2	93.9652345031	48.0	247.670493058	9147.0	50.0
4924-834-MSITS2a_R1	97.5611996509	47.0	250.28356221	21773.0	33.3333333333
4924-834-MSITS2a_R2	96.0042254168	49.0	250.318054471	21773.0	50.0
4924-836-MSITS2a_R1	97.8179388093	48.0	250.811459453	34417.0	41.6666666667
4924-836-MSITS2a_R2	96.2605689049	49.0	250.823924223	34417.0	41.6666666667
4924-837-MSITS2a_R1	97.476340694	47.0	250.310044451	27896.0	41.6666666667
4924-837-MSITS2a_R2	96.2001720677	48.0	250.301907083	27896.0	50.0
4924-838-MSITS2a_R1	97.4311049291	48.0	249.595062158	23006.0	50.0
4924-838-MSITS2a_R2	95.9488829001	49.0	250.497565852	23006.0	50.0
4924-839-MSITS2a_R1	97.8992087929	47.0	248.228397708	25657.0	41.6666666667
4924-839-MSITS2a_R2	95.6970807187	48.0	247.228514635	25657.0	50.0
4924-841-MSITS2a_R1	97.3914937646	47.0	249.495126069	18363.0	33.3333333333
4924-841-MSITS2a_R2	95.4745956543	48.0	249.514186135	18363.0	50.0
4924-842-MSITS2a_R1	97.6722090261	48.0	243.101705895	23155.0	50.0
4924-842-MSITS2a_R2	95.2580436191	49.0	242.669747355	23155.0	41.6666666667
