Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
LB/90+140h	LB+LP/90	147.707509352	25.8625993048	137.660841136	9.77974617486	0.726705331907	1.0
LB/30	LB+LP/90+50h	76.0115368659	6.65635090702	127.622411567	22.496704018	-3.91183730521	1.0
LB/90+50h	LB+LP/90+50h	119.531989102	13.8254804537	127.622411567	22.496704018	-0.612785251562	1.0
LB+LP/30	C/90+140h	72.3775501582	9.78193626663	180.116366794	32.1853364616	-5.69758360241	1.0
LB-AS/90+140	LB+LP/30	131.196352814	0.0	72.3775501582	9.78193626663	4.65765134673	1.0
LB+LP/30	LB-AS/90+140h	72.3775501582	9.78193626663	174.047997474	26.9747424886	-6.13719941899	1.0
C/30+120h	LB+LP/30+120h	171.146218582	30.1820286295	71.2195292208	6.29933537376	5.61351501856	1.0
LB+LP/90	C/90+50h	137.660841136	9.77974617486	255.81492407	22.8804441896	-9.49681391589	0.924
LB/90+140h	C/90+50h	147.707509352	25.8625993048	255.81492407	22.8804441896	-6.26147338617	1.0
C/30+120h	LB/90	171.146218582	30.1820286295	120.086239979	13.79620883	2.9706889531	1.0
LB-AS/90+140h	C-AS/90+140h	174.047997474	26.9747424886	139.923142593	46.8743028478	1.14172130751	1.0
LB/90+50h	C/30+120h	119.531989102	13.8254804537	171.146218582	30.1820286295	-3.00161550919	1.0
LB-AS/90+140	C/90+140h	131.196352814	0.0	180.116366794	32.1853364616	-1.24103174132	1.0
LB-AS/90+50h	LB/90+140h	122.005804314	28.4036737171	147.707509352	25.8625993048	-1.33813928392	1.0
LB/30	LB+LP/90	76.0115368659	6.65635090702	137.660841136	9.77974617486	-9.49735665351	1.0
LB-AS/90+140h	C-AS/90	174.047997474	26.9747424886	241.242102275	43.1384929515	-2.39785952439	1.0
C-AS/90+50h	C-AS/90	151.250470102	27.4221901681	241.242102275	43.1384929515	-3.52103404228	1.0
C-AS/90+140h	LB+LP/30+120h	139.923142593	46.8743028478	71.2195292208	6.29933537376	2.56677386264	1.0
C/90+140h	C-AS/90	180.116366794	32.1853364616	241.242102275	43.1384929515	-2.27139637935	1.0
