Length	Count
180.0	508
190.0	259
200.0	18
210.0	41
220.0	3456
230.0	2736
240.0	246
250.0	11594
260.0	12798
270.0	2035
280.0	15388
290.0	2006
300.0	261
310.0	1297
320.0	406
330.0	219
340.0	5
350.0	15
360.0	13
370.0	0
380.0	0
390.0	1
400.0	0
410.0	1
420.0	0
430.0	0
440.0	0
450.0	0
460.0	0
470.0	0
480.0	3
490.0	6
500.0	0
--

