New.CleanUp.ReferenceOTU133	178_22354
New.CleanUp.ReferenceOTU134	158_4377
New.CleanUp.ReferenceOTU135	171_30786
New.CleanUp.ReferenceOTU136	177_32681
New.CleanUp.ReferenceOTU137	153_31163
New.CleanUp.ReferenceOTU138	170_54274
New.CleanUp.ReferenceOTU139	173_24686
New.CleanUp.ReferenceOTU140	148_21663
New.CleanUp.ReferenceOTU141	171_49023
New.CleanUp.ReferenceOTU142	156_26173
New.CleanUp.ReferenceOTU143	148_29415	147_21564	147_37012
New.CleanUp.ReferenceOTU144	173_24767
New.CleanUp.ReferenceOTU145	148_11492	147_30264	148_35963	146_24837	148_10273
New.CleanUp.ReferenceOTU146	171_3443
New.CleanUp.ReferenceOTU147	148_11496
New.CleanUp.ReferenceOTU148	148_11494
New.CleanUp.ReferenceOTU149	178_13569
New.CleanUp.ReferenceOTU150	156_11010
New.CleanUp.ReferenceOTU151	156_5303
New.CleanUp.ReferenceOTU152	163_18172
New.CleanUp.ReferenceOTU153	148_30411
New.CleanUp.ReferenceOTU154	148_30414
New.CleanUp.ReferenceOTU155	170_14097
New.CleanUp.ReferenceOTU156	147_25720
New.CleanUp.ReferenceOTU157	146_22862
New.CleanUp.ReferenceOTU158	153_21485
New.CleanUp.ReferenceOTU159	146_22865	146_22866	148_21973
New.CleanUp.ReferenceOTU160	151_20962
New.CleanUp.ReferenceOTU161	150_18418
New.CleanUp.ReferenceOTU162	168_499
New.CleanUp.ReferenceOTU163	146_13047
New.CleanUp.ReferenceOTU164	151_30215
New.CleanUp.ReferenceOTU165	168_495
New.CleanUp.ReferenceOTU166	175_1445
New.CleanUp.ReferenceOTU167	168_33902	170_23207
New.CleanUp.ReferenceOTU168	156_34521	156_34522
New.CleanUp.ReferenceOTU169	156_20806
New.CleanUp.ReferenceOTU170	161_13930
New.CleanUp.ReferenceOTU171	156_34525
New.CleanUp.ReferenceOTU172	161_13932
New.CleanUp.ReferenceOTU173	155_42560
New.CleanUp.ReferenceOTU174	165_18905	146_8432	146_11394
New.CleanUp.ReferenceOTU175	160_13097
New.CleanUp.ReferenceOTU176	158_29390
New.CleanUp.ReferenceOTU177	178_44238
New.CleanUp.ReferenceOTU178	153_11633
New.CleanUp.ReferenceOTU179	172_8654
New.CleanUp.ReferenceOTU180	166_14841
New.CleanUp.ReferenceOTU181	146_1065
New.CleanUp.ReferenceOTU182	167_17768
New.CleanUp.ReferenceOTU183	166_6833
New.CleanUp.ReferenceOTU184	147_2603
New.CleanUp.ReferenceOTU185	156_16549
New.CleanUp.ReferenceOTU186	152_30397
New.CleanUp.ReferenceOTU187	156_16540	156_610
New.CleanUp.ReferenceOTU188	151_7852
New.CleanUp.ReferenceOTU189	156_16544	156_27009	162_10086	152_25126	156_19221	156_19222	156_22465	156_21585
New.CleanUp.ReferenceOTU190	165_13600
New.CleanUp.ReferenceOTU191	152_9138
New.CleanUp.ReferenceOTU192	171_53859	171_34509	166_54297	167_48079	166_6648	171_52751	171_51270
New.CleanUp.ReferenceOTU193	161_16269
New.CleanUp.ReferenceOTU194	171_53855	176_7049	170_35359	172_40152	166_1165	165_44713	176_25864	171_33519	171_46946	171_34602	171_40159	165_40542	178_58067
New.CleanUp.ReferenceOTU195	147_25117	147_25118	146_72	147_7545	148_34325	146_1293	148_31511	148_16625	146_5988
New.CleanUp.ReferenceOTU196	152_9132
New.CleanUp.ReferenceOTU197	176_33197
New.CleanUp.ReferenceOTU198	173_34912
New.CleanUp.ReferenceOTU199	173_34915
New.CleanUp.ReferenceOTU200	171_30737
New.CleanUp.ReferenceOTU201	146_6647
New.CleanUp.ReferenceOTU202	166_55044	166_30407
New.CleanUp.ReferenceOTU203	156_28652
New.CleanUp.ReferenceOTU204	175_29401
New.CleanUp.ReferenceOTU205	158_28790
