New.CleanUp.ReferenceOTU132	161_10543
New.CleanUp.ReferenceOTU133	156_3433
New.CleanUp.ReferenceOTU134	178_13560
New.CleanUp.ReferenceOTU135	178_17662
New.CleanUp.ReferenceOTU136	178_13569
New.CleanUp.ReferenceOTU137	170_11119
New.CleanUp.ReferenceOTU138	171_2419
New.CleanUp.ReferenceOTU139	146_18414
New.CleanUp.ReferenceOTU140	167_53535
New.CleanUp.ReferenceOTU141	155_42486
New.CleanUp.ReferenceOTU142	165_12558
New.CleanUp.ReferenceOTU143	178_36241
New.CleanUp.ReferenceOTU144	147_37181
New.CleanUp.ReferenceOTU145	146_22866	146_19737
New.CleanUp.ReferenceOTU146	168_35683
New.CleanUp.ReferenceOTU147	147_12902
New.CleanUp.ReferenceOTU148	175_44979
New.CleanUp.ReferenceOTU149	175_44974
New.CleanUp.ReferenceOTU150	148_27548	148_7303	148_34394	146_10642	146_22053	146_29807	146_10537
New.CleanUp.ReferenceOTU151	148_27549
New.CleanUp.ReferenceOTU152	175_28358
New.CleanUp.ReferenceOTU153	157_24420
New.CleanUp.ReferenceOTU154	171_27690
New.CleanUp.ReferenceOTU155	151_8085
New.CleanUp.ReferenceOTU156	151_8083
New.CleanUp.ReferenceOTU157	148_27546
New.CleanUp.ReferenceOTU158	171_12121
New.CleanUp.ReferenceOTU159	146_6642
New.CleanUp.ReferenceOTU160	153_11634
New.CleanUp.ReferenceOTU161	173_11495
New.CleanUp.ReferenceOTU162	171_27692
New.CleanUp.ReferenceOTU163	162_20488	152_12533
New.CleanUp.ReferenceOTU164	156_21672
New.CleanUp.ReferenceOTU165	172_2860	170_58525
New.CleanUp.ReferenceOTU166	146_1067
New.CleanUp.ReferenceOTU167	148_8007
New.CleanUp.ReferenceOTU168	148_8006
New.CleanUp.ReferenceOTU169	147_2608	148_2516	146_13002	146_14915	146_27641	146_25858	148_19823	148_19822	146_24433	146_105
New.CleanUp.ReferenceOTU170	148_8002	146_29120	146_7346	147_2418	146_6423
New.CleanUp.ReferenceOTU171	166_6836
New.CleanUp.ReferenceOTU172	178_56206
New.CleanUp.ReferenceOTU173	173_16611
New.CleanUp.ReferenceOTU174	166_6832
New.CleanUp.ReferenceOTU175	177_16495
New.CleanUp.ReferenceOTU176	162_14523
New.CleanUp.ReferenceOTU177	170_11534
New.CleanUp.ReferenceOTU178	156_16540	156_26061	156_39656	156_4749	156_40021
New.CleanUp.ReferenceOTU179	156_8952
New.CleanUp.ReferenceOTU180	171_27699	171_27698
New.CleanUp.ReferenceOTU181	176_20434
New.CleanUp.ReferenceOTU182	161_16269
New.CleanUp.ReferenceOTU183	147_25114
New.CleanUp.ReferenceOTU184	167_28423
New.CleanUp.ReferenceOTU185	168_34489
New.CleanUp.ReferenceOTU186	151_8628
New.CleanUp.ReferenceOTU187	173_34915
New.CleanUp.ReferenceOTU188	173_34914
New.CleanUp.ReferenceOTU189	167_16061
New.CleanUp.ReferenceOTU190	155_1982
New.CleanUp.ReferenceOTU191	155_1984
New.CleanUp.ReferenceOTU192	171_1859	166_4457	176_2795
New.CleanUp.ReferenceOTU193	170_12670
New.CleanUp.ReferenceOTU194	176_31975
New.CleanUp.ReferenceOTU195	147_34483
New.CleanUp.ReferenceOTU196	167_50378
New.CleanUp.ReferenceOTU197	176_31972
New.CleanUp.ReferenceOTU198	157_13464
New.CleanUp.ReferenceOTU199	177_31563
New.CleanUp.ReferenceOTU200	177_31567
New.CleanUp.ReferenceOTU201	175_25535
New.CleanUp.ReferenceOTU202	177_31568
New.CleanUp.ReferenceOTU203	156_25978
New.CleanUp.ReferenceOTU204	146_23808
New.CleanUp.ReferenceOTU205	146_6590
New.CleanUp.ReferenceOTU206	146_23800
New.CleanUp.ReferenceOTU207	156_32509
New.CleanUp.ReferenceOTU208	158_18775
New.CleanUp.ReferenceOTU209	163_14265
New.CleanUp.ReferenceOTU210	177_43702
New.CleanUp.ReferenceOTU211	163_14268
New.CleanUp.ReferenceOTU212	147_566	146_16607	147_15035
New.CleanUp.ReferenceOTU213	147_567
New.CleanUp.ReferenceOTU214	147_23613	147_23615	147_35778	146_32195	146_32196	147_17100	147_17102	146_19648	146_20490	147_26608	147_26609	147_8346	146_632	146_20837	146_21189	146_30694	146_1812	146_29534	146_29537	146_5538	148_24409	146_7828	146_17447	146_13944	147_14590	166_19443	148_7564	147_1216	147_9831	147_25361	147_10039	148_35074	146_898	146_899	148_3051	147_20621	148_30609	146_29573	146_1037	146_1724	148_34109	148_9130	146_11080	146_8811	146_9675	146_21819	146_25838	146_18976	147_31942	147_31943	146_21796	146_25451	146_24063	148_29500	147_1293	147_20164	147_24532	148_16237	146_24902	146_31866	146_31867	146_9474	148_13707	147_35948	148_13665	147_26375	147_32083	148_27908	147_1460	146_12767	147_32174	147_32171	148_26027	148_26522	146_17781	147_32227	146_11941	146_23693	148_9034
New.CleanUp.ReferenceOTU215	167_10930
New.CleanUp.ReferenceOTU216	167_10931
New.CleanUp.ReferenceOTU217	147_24645
New.CleanUp.ReferenceOTU218	156_21079
New.CleanUp.ReferenceOTU219	148_15556	148_17743
New.CleanUp.ReferenceOTU220	148_15557	148_15558	147_29588	147_6723	147_991	148_22602	148_7264	148_35619	148_26170	148_1081	148_26781	148_18658
New.CleanUp.ReferenceOTU221	148_4257
New.CleanUp.ReferenceOTU222	156_21073	177_37129	156_22342
New.CleanUp.ReferenceOTU223	163_31617
New.CleanUp.ReferenceOTU224	178_39536
New.CleanUp.ReferenceOTU225	178_39534
New.CleanUp.ReferenceOTU226	173_10726
New.CleanUp.ReferenceOTU227	173_10727
New.CleanUp.ReferenceOTU228	178_42174
New.CleanUp.ReferenceOTU229	173_23496
New.CleanUp.ReferenceOTU230	148_10460
New.CleanUp.ReferenceOTU231	161_27166
New.CleanUp.ReferenceOTU232	151_4991
New.CleanUp.ReferenceOTU233	165_43965
New.CleanUp.ReferenceOTU234	157_39772
New.CleanUp.ReferenceOTU235	146_30189
New.CleanUp.ReferenceOTU236	147_22561	173_13444
New.CleanUp.ReferenceOTU237	147_22566	146_30375	146_11241	146_6117
New.CleanUp.ReferenceOTU238	147_10311	147_15508	147_36131	148_31719	146_3357	147_6490	147_13309	147_12330	148_363	148_24708	148_2378	148_27734	147_26534	147_7450	147_13594	148_22266	146_10473	147_17904	146_3580	147_6608	146_29523	147_8845	147_15656	148_24128
New.CleanUp.ReferenceOTU239	148_14209
New.CleanUp.ReferenceOTU240	172_4830
New.CleanUp.ReferenceOTU241	172_4833
New.CleanUp.ReferenceOTU242	175_10581
New.CleanUp.ReferenceOTU243	161_32770
New.CleanUp.ReferenceOTU244	146_6043
New.CleanUp.ReferenceOTU245	171_41392
New.CleanUp.ReferenceOTU246	167_1243
New.CleanUp.ReferenceOTU247	146_32965	146_32966	147_30357	147_30358
New.CleanUp.ReferenceOTU248	147_29141	147_3453	147_30450	147_3451	148_15070
New.CleanUp.ReferenceOTU249	153_23220
New.CleanUp.ReferenceOTU250	147_24391	147_24392
New.CleanUp.ReferenceOTU251	146_12146
New.CleanUp.ReferenceOTU252	171_28741
New.CleanUp.ReferenceOTU253	165_26921
New.CleanUp.ReferenceOTU254	166_358
New.CleanUp.ReferenceOTU255	167_15840
New.CleanUp.ReferenceOTU256	171_28749
New.CleanUp.ReferenceOTU257	148_15495
New.CleanUp.ReferenceOTU258	165_26698
New.CleanUp.ReferenceOTU259	166_47972
New.CleanUp.ReferenceOTU260	166_47971
New.CleanUp.ReferenceOTU261	166_47970
New.CleanUp.ReferenceOTU262	171_43890
New.CleanUp.ReferenceOTU263	166_681
New.CleanUp.ReferenceOTU264	165_26692
New.CleanUp.ReferenceOTU265	178_15517
New.CleanUp.ReferenceOTU266	148_19541
New.CleanUp.ReferenceOTU267	170_13185
New.CleanUp.ReferenceOTU268	146_30239
New.CleanUp.ReferenceOTU269	170_13188
New.CleanUp.ReferenceOTU270	170_13189
New.CleanUp.ReferenceOTU271	178_32618
New.CleanUp.ReferenceOTU272	168_6943
New.CleanUp.ReferenceOTU273	158_33288
New.CleanUp.ReferenceOTU274	178_49147
New.CleanUp.ReferenceOTU275	147_29583
New.CleanUp.ReferenceOTU276	172_45030
New.CleanUp.ReferenceOTU277	167_9896
New.CleanUp.ReferenceOTU278	178_52841
New.CleanUp.ReferenceOTU279	177_22910	177_22911	167_18211	167_18212
New.CleanUp.ReferenceOTU280	170_16001
New.CleanUp.ReferenceOTU281	170_16002
New.CleanUp.ReferenceOTU282	148_12123
New.CleanUp.ReferenceOTU283	163_9963
New.CleanUp.ReferenceOTU284	171_46628
New.CleanUp.ReferenceOTU285	148_12124	148_12125	147_3895	146_14873	147_36396	147_36394	147_21821	147_32129	147_6399	147_34173	147_8454	148_18831	147_1214	147_4064	147_35309	147_17414	147_29768	147_11457	147_28138	147_8456	147_8303	147_717	148_10533
New.CleanUp.ReferenceOTU286	146_22481
New.CleanUp.ReferenceOTU287	171_12907
New.CleanUp.ReferenceOTU288	171_46622
New.CleanUp.ReferenceOTU289	165_41428
New.CleanUp.ReferenceOTU290	148_26720
New.CleanUp.ReferenceOTU291	161_32405
New.CleanUp.ReferenceOTU292	161_27781
New.CleanUp.ReferenceOTU293	178_33560
New.CleanUp.ReferenceOTU294	178_33561
New.CleanUp.ReferenceOTU295	171_6469
New.CleanUp.ReferenceOTU296	163_11986
New.CleanUp.ReferenceOTU297	170_8423
New.CleanUp.ReferenceOTU298	165_36242
New.CleanUp.ReferenceOTU299	175_3772
New.CleanUp.ReferenceOTU300	168_38819
New.CleanUp.ReferenceOTU301	146_22489
New.CleanUp.ReferenceOTU302	151_23121
New.CleanUp.ReferenceOTU303	156_6916	156_6914
New.CleanUp.ReferenceOTU304	170_4083
New.CleanUp.ReferenceOTU305	146_27479
New.CleanUp.ReferenceOTU306	170_4087
New.CleanUp.ReferenceOTU307	150_41579
New.CleanUp.ReferenceOTU308	157_33040
New.CleanUp.ReferenceOTU309	161_8401
New.CleanUp.ReferenceOTU310	168_46712
New.CleanUp.ReferenceOTU311	153_16547
New.CleanUp.ReferenceOTU312	153_12659
New.CleanUp.ReferenceOTU313	178_38280
New.CleanUp.ReferenceOTU314	146_7713	146_7714	146_24635	146_24636	146_18884	146_20588	146_26959	146_26963	148_27305	147_17362	147_3324	146_28155	146_21748	146_20548	146_12056	146_12203	146_31218	146_13594	146_23544	148_18671	146_23543	146_14956	146_12310	146_21116	146_19100	146_9059	146_13393	146_21906	146_7322	147_20305	146_19098	146_15366	146_15221
New.CleanUp.ReferenceOTU315	175_41918
New.CleanUp.ReferenceOTU316	151_26691
New.CleanUp.ReferenceOTU317	158_15697
New.CleanUp.ReferenceOTU318	172_44341
New.CleanUp.ReferenceOTU319	166_14033
New.CleanUp.ReferenceOTU320	172_31121	172_31122
New.CleanUp.ReferenceOTU321	170_13234
New.CleanUp.ReferenceOTU322	147_13602
New.CleanUp.ReferenceOTU323	147_13606	146_11510
New.CleanUp.ReferenceOTU324	170_13232
New.CleanUp.ReferenceOTU325	151_5715
New.CleanUp.ReferenceOTU326	161_698
New.CleanUp.ReferenceOTU327	166_44406
New.CleanUp.ReferenceOTU328	158_6438
New.CleanUp.ReferenceOTU329	178_13915
New.CleanUp.ReferenceOTU330	166_44408
New.CleanUp.ReferenceOTU331	148_1372	148_35975	147_26367
New.CleanUp.ReferenceOTU332	146_18210
New.CleanUp.ReferenceOTU333	167_31707
