OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LH + LB/30_mean	LH/30_mean	LH/10_mean	C/0_mean	LB/10_mean	C/10_mean	LH + LB/92_mean	C/92_mean	LB/30_mean	C/30_mean	LH + LB/10_mean	LB/92_mean	LH/92_mean	taxonomy
305915	35.7814162539	0.000351264864777	0.0194698860962	0.683210161991	0.0	0.0	0.0	6.66666666667	0.0	0.0	1.66666666667	7.33333333333	0.0	0.0	0.0	2.66666666667	1.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
949863	35.7384615385	0.000356881362659	0.0194698860962	0.694134250371	665.666666667	575.666666667	554.666666667	3.66666666667	415.666666667	711.0	962.666666667	2155.33333333	812.666666667	1881.66666667	300.333333333	1194.66666667	813.666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
716006	35.7121258142	0.000360368071703	0.0194698860962	0.700915899462	26.0	16.6666666667	215.0	3.66666666667	198.0	347.333333333	29.6666666667	58.0	36.0	83.0	206.333333333	46.6666666667	23.6666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
1110763	35.3173892394	0.000416785253186	0.021909386958	0.810647317447	3.66666666667	6.66666666667	38.6666666667	9.33333333333	20.3333333333	230.666666667	1.0	35.6666666667	1.66666666667	58.0	28.6666666667	1.0	5.66666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.ReferenceOTU58	35.2270564632	0.000430858709494	0.0220531628938	0.838020189966	0.0	0.0	1.66666666667	0.0	6.0	0.0	0.0	0.0	0.666666666667	0.0	5.66666666667	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.ReferenceOTU35	34.9526076159	0.000476516520138	0.0224039330805	0.926824631668	5.66666666667	3.33333333333	30.0	0.0	26.3333333333	0.666666666667	2.33333333333	0.0	8.0	0.333333333333	33.0	1.0	2.66666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
352468	34.9179487179	0.000482607371073	0.0224039330805	0.938671336736	113.666666667	55.3333333333	86.6666666667	5.66666666667	65.0	265.666666667	378.0	293.666666667	74.3333333333	191.666666667	52.3333333333	396.333333333	234.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__; s__
1111294	34.8912837197	0.000487344935755	0.0224039330805	0.947885900044	4.66666666667	3.0	24.3333333333	55.6666666667	8.33333333333	126.333333333	1.33333333333	30.0	3.66666666667	36.6666666667	20.6666666667	2.0	8.66666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
339358	34.8471223629	0.000495290859687	0.0224039330805	0.963340722092	62.0	31.6666666667	51.6666666667	1.66666666667	50.3333333333	147.0	198.666666667	77.6666666667	56.6666666667	93.3333333333	35.0	222.333333333	116.666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__; s__
64384	34.847041847	0.00049530546142	0.0224039330805	0.963369122462	2.33333333333	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.66666666667	0.666666666667	0.0	0.0	5.66666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__; s__
New.CleanUp.ReferenceOTU2816	34.6610420047	0.000530180158853	0.0234363729311	1.0	1.0	5.66666666667	3.0	0.0	6.33333333333	0.0	1.0	0.0	11.0	0.333333333333	3.66666666667	0.0	1.66666666667	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Leuconostocaceae; g__Leuconostoc; s__
773251	34.5264472574	0.000556895370373	0.0236500206749	1.0	684.0	230.0	316.333333333	2.0	452.0	405.666666667	446.333333333	446.666666667	832.666666667	697.0	507.666666667	654.333333333	184.333333333	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus; s__
366237	34.4709784411	0.000568282351754	0.0236500206749	1.0	2.66666666667	0.0	0.0	8.66666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
New.ReferenceOTU20	34.4555411612	0.00057149150217	0.0236500206749	1.0	0.0	0.0	0.666666666667	0.0	1.66666666667	9.33333333333	0.333333333333	3.0	0.0	10.0	0.333333333333	0.0	2.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
572750	34.3754517513	0.0005884258346	0.0238435051729	1.0	6.66666666667	20.3333333333	47.0	8.66666666667	58.3333333333	203.0	8.66666666667	134.666666667	9.0	132.0	85.6666666667	8.66666666667	37.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter
240278	34.2832376713	0.000608528783371	0.0241548670134	1.0	0.0	0.0	0.333333333333	10.6666666667	1.0	0.0	5.66666666667	22.6666666667	0.0	0.0	0.333333333333	7.0	3.33333333333	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__
New.CleanUp.ReferenceOTU7363	34.1684766214	0.000634481531005	0.0246813315561	1.0	0.0	0.0	0.0	0.0	0.0	2.33333333333	0.0	0.0	0.0	3.0	0.0	0.333333333333	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
New.CleanUp.ReferenceOTU3501	33.9960695389	0.000675504765209	0.0257618974183	1.0	0.0	0.0	0.0	0.0	0.0	1.33333333333	0.0	0.333333333333	0.0	1.66666666667	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
New.ReferenceOTU18	33.9097088364	0.000697011705246	0.0260709185904	1.0	41.0	30.6666666667	31.0	0.0	71.0	2.66666666667	40.6666666667	0.333333333333	87.0	4.33333333333	51.6666666667	39.3333333333	20.3333333333	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
778478	33.6911976912	0.000754443598935	0.0276084784864	1.0	0.0	0.0	0.0	0.0	0.0	1.33333333333	0.0	1.0	0.0	0.333333333333	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia; s__marcescens
345540	33.6473566943	0.000766507885999	0.0276084784864	1.0	17.0	22.3333333333	49.3333333333	22.3333333333	46.0	196.333333333	11.6666666667	208.333333333	13.6666666667	105.0	55.3333333333	8.33333333333	75.6666666667	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.ReferenceOTU56	33.5380845416	0.000797398977751	0.027842190321	1.0	1.66666666667	6.0	34.3333333333	0.0	22.6666666667	26.3333333333	2.0	0.666666666667	6.66666666667	8.66666666667	24.0	2.66666666667	3.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
813457	33.5234527907	0.000801626045232	0.027842190321	1.0	27.6666666667	27.6666666667	78.6666666667	8.66666666667	63.0	266.666666667	56.0	245.333333333	31.6666666667	148.666666667	103.333333333	11.6666666667	68.3333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
New.ReferenceOTU38	33.3605177994	0.000850192390629	0.0290109508732	1.0	4.0	5.33333333333	10.0	0.0	7.33333333333	9.33333333333	2.0	3.33333333333	5.33333333333	11.0	15.3333333333	0.666666666667	3.33333333333	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
