"Observed" "Chao1" "se.chao1" "Simpson" "InvSimpson"
"X155" 258 453 47.3047967193522 0.408906774345953 1.69178051210703
"X168" 441 702.842105263158 50.3009645643835 0.467235824764185 1.87700308407069
"X176" 335 544.35 45.1348670474174 0.457620766792342 1.84372840767879
"X172" 455 762.317073170732 55.9597611765645 0.629503294976792 2.69907933442313
"X166" 764 1132.27941176471 55.4531052196261 0.570202125479689 2.32667507049932
"X177" 383 542 33.2723928606292 0.520708112387166 2.08641127848128
"X145" 1730 2156.55696202532 46.26941360065 0.801037567176708 5.02607444938185
"X148" 1672 2122.12813370474 49.3944515688831 0.79641940319775 4.91205947770829
"X147" 1521 1977.62420382166 51.7441759673444 0.838432587584006 6.18936693387936
"X146" 1642 2042.51724137931 46.6091392748789 0.948694966806526 19.4912650427288
"X178" 277 431.818181818182 36.3340037903836 0.294513634764379 1.41746183806971
"X156" 843 1151.84615384615 57.0811512047233 0.84729562915802 6.54860102881279
"X157" 326 609.981132075472 60.3444002335315 0.624898887184989 2.66594783602567
"X161" 300 429.166666666667 30.6721158663306 0.30659851301563 1.44216592950938
"X170" 400 610.958904109589 42.7721188610782 0.515901227250914 2.06569414403021
"X173" 230 369.418604651163 35.9750767673393 0.412996950381422 1.70356866229192
"X175" 345 545.048387096774 43.0660608143796 0.444390099261839 1.7998239388309
"X171" 359 550.266666666667 41.9509154860582 0.487364705886081 1.9507045485982
"X153" 372 571.943661971831 41.3146574662699 0.369259197435656 1.58543730789953
"X165" 597 842.315789473684 42.2914666005582 0.628923274698057 2.69486047443775
"X160" 156 241.8 28.6608441400259 0.28142333078225 1.39163994997028
"X167" 488 764.25 50.2106654105728 0.530191262334593 2.12852575916157
"X151" 308 531.826086956522 51.8702700581253 0.392111733419827 1.64503915435932
"X150" 310 463.305084745763 35.3050300646834 0.305446473014309 1.43977384196712
"X163" 231 332.477272727273 27.7194976219397 0.214752402073078 1.27348367908419
"X158" 269 424.217391304348 38.4366057353701 0.728080526734299 3.6775593450156
"X162" 222 303.277777777778 24.6444570478748 0.160395157408476 1.19103648439354
"X152" 212 326.195652173913 30.0482181536415 0.127465563723253 1.14608657082598
