# Constructed from biom file
#OTU ID	C	C-3H	C-3H-LATE	C-NS	S2-3H	S2-NS
No blast hit;Other;Other;Other;Other	0.000134935957319	0.000356512016075	0.0	0.000141299484257	0.000120036010803	0.000105679696582
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae	0.0297897075004	0.0223306162796	0.0141076432506	0.0513976873984	0.0485945783735	0.0973310005519
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae	0.000809615743912	0.0	0.0	0.0	0.0	1.17421885091e-05
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.000238732847564	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.00353947395736	0.000437537474274	4.83138467485e-05	0.000376798624685	0.00123036911073	0.000669304745018
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	7.26578231716e-05	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae	0.000124556268294	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified	0.00154657366465	0.0	0.0	0.0	0.00172051615485	0.000340523466764
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__unidentified;f__unidentified	0.252641630857	0.000599588390672	0.0	0.0	0.000990297089127	0.00223101581673
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae	0.000871893878059	0.0	3.22092311657e-05	0.000482773237878	0.00100030009003	0.000117421885091
k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Incertae_sedis;f__Monascaceae	0.0	1.62050916398e-05	0.829436016362	0.0	1.00030009003e-05	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae	0.00020759378049	0.0	0.0	0.000435673409792	0.0	0.0
k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Incertae_sedis	0.0	0.0	6.44184623313e-05	0.0	6.00180054016e-05	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Dipodascaceae	0.0	0.0	0.0	0.000353248710642	0.0	0.0
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Incertae_sedis	0.15162649727	0.22630410475	0.0348181788901	0.192379247816	0.119605881765	0.145027770276
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Metschnikowiaceae	0.0	0.000307896741156	0.0	0.00103619621788	0.000120036010803	0.000375750032291
k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Pichiaceae	0.0011002470366	9.72305498388e-05	3.22092311657e-05	0.00050632315192	0.000680204061218	0.0005166562944
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae	0.000498225073177	0.0	0.0	0.000200174269364	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis	0.0567976583422	0.000437537474274	8.05230779141e-05	0.00228434166215	0.000830249074722	0.000575367236946
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.00400655996346	0.0	0.0	0.00075359724937	0.000120036010803	0.000681046933527
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__unidentified	0.00011417657927	0.0	0.0	0.0	0.0	3.52265655273e-05
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Incertae_sedis;f__Plectosphaerellaceae	0.0	0.0	0.0	0.0	0.000100030009003	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae	0.000332150048785	0.0	0.0	0.0	0.0	0.000528398482909
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae	0.0	0.0	0.0	0.0	0.0	0.0003874922208
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Incertae_sedis	5.18984451226e-05	1.62050916398e-05	0.0	0.000353248710642	0.0	0.0
k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae	0.0	0.0	0.0	0.000883121776606	0.0	0.00176132827636
