# Constructed from biom file
#OTU ID	C/0	C/10	C/30	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.000230499098342	0.0	0.0	0.0	0.0	0.0	4.41061016381e-05	0.0	2.22059378678e-05	0.0	1.13965958368e-05	6.86681132749e-06	1.66252421051e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.000135587704907	0.0	0.0	0.0	0.0	0.0	0.0	6.53078284494e-06	1.11029689339e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	9.49113934348e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae	0.00166772877036	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae	0.00018982278687	0.0	4.56677605183e-05	0.0	7.89048013572e-06	0.0	0.0	2.61231313798e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	0.000813526229442	5.61182973709e-05	2.60958631533e-05	0.000137785330455	7.89048013572e-06	0.0	0.0	1.30615656899e-05	0.0	0.0	2.27931916736e-05	2.746724531e-05	0.000174565042103
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae	0.00332189877022	7.71626588849e-05	2.60958631533e-05	0.000165342396546	3.94524006786e-05	0.0	0.0	9.14309598292e-05	1.11029689339e-05	1.57942951006e-05	7.97761708578e-05	0.0	0.000365755326312
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae	0.000867761311404	0.0	0.000104383452613	0.000918568869701	2.36714404071e-05	0.0	0.000291100270811	6.53078284494e-06	0.0	0.000300091606912	1.13965958368e-05	0.0	0.000257691252629
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__CFB-26;f__	6.77938524535e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ellin6529;o__;f__	4.06763114721e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.000176264016379	0.0	0.0	5.51141321821e-05	0.0	0.0	1.76424406552e-05	0.0	0.0	0.0	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	0.000162705245888	0.0	0.0	0.000128599641758	0.0	0.0	2.64636609829e-05	0.0	0.0	1.57942951006e-05	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	5.42350819628e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.00178975770477	1.40295743427e-05	0.0	0.000119413953061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15631052627e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Exiguobacteraceae]	4.06763114721e-05	0.0	0.0	1.8371377394e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	1.35587704907e-05	0.00366873369062	0.00381651998617	0.000450098746153	0.000852171854657	0.00120221207021	0.000661591524572	0.0005812396732	0.000566251415629	0.000600183213823	0.00113396128576	0.000590545774164	0.000731510652624
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	0.000908437622876	0.137265355369	0.316862494373	0.326183805631	0.0606462303231	0.118431246827	0.175074759842	0.0439782916778	0.0930317766971	0.133216982026	0.0805625359705	0.0815639849479	0.112810580304
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.0	0.0	0.0	6.42998208791e-05	0.0	0.0	0.0	0.0	0.0	2.36914426509e-05	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	8.13526229442e-05	0.00776536939869	0.00745689289605	0.00677903825839	0.00306150629266	0.00247121369987	0.00480756507855	0.0038074463986	0.0026203006684	0.00590706636763	0.00572109111009	0.00239651715329	0.0058853357052
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.00113893672122	0.0780956255787	0.128437314475	0.0814770587425	0.646175089754	0.637252544682	0.403994248564	0.69248502818	0.722692247907	0.489852165398	0.536369386464	0.729749773395	0.525266211689
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.00244057868832	0.45149274671	0.397120321501	0.256988012676	0.198587604056	0.204990515883	0.383828938895	0.138733419975	0.152854573313	0.321556053953	0.266509393644	0.15606202104	0.274782001513
