# Constructed from biom file
#OTU ID	C/0	C/10	C/30	C/92	LB/10	LB/30	LB/92	LH + LB/10	LH + LB/30	LH + LB/92	LH/10	LH/30	LH/92
Unassigned;Other	0.000827084999932	0.00056819776088	0.000202242939438	0.000229642217425	0.000126247682171	0.000240442414042	8.82122032762e-05	0.000182861919658	7.77207825373e-05	9.47657706037e-05	0.000113965958368	6.18013019474e-05	0.000249378631576
k__Archaea;p__Euryarchaeota	5.42350819628e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11029689339e-05	0.0	0.0	0.0	0.0
k__Bacteria;Other	0.0	2.80591486854e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	1.57942951006e-05	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Actinobacteria	0.00489471614714	0.0	2.60958631533e-05	0.000532769944427	4.73428808143e-05	0.0	0.000123497084587	6.53078284494e-05	7.77207825373e-05	0.000134251508355	3.98880854289e-05	2.06004339825e-05	3.32504842102e-05
k__Bacteria;p__Aquificae	0.0	0.0	0.0	0.000156156707849	0.0	0.0	2.64636609829e-05	0.0	0.0	1.57942951006e-05	0.0	0.0	3.32504842102e-05
k__Bacteria;p__Bacteroidetes	0.00794543950755	0.000133280956256	0.000202242939438	0.00144215312543	7.89048013572e-05	0.0	0.000352848813105	0.000202454268193	0.000111029689339	0.000331680197113	0.000125362554205	7.55349246024e-05	0.000839574726307
k__Bacteria;p__Chloroflexi	0.000108470163926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.0192941304083	0.732385869413	0.871053816194	0.710347678317	0.940079693849	0.970465656809	0.974339070067	0.914472867863	0.9769835454	0.955436396374	0.926583129619	0.974029719559	0.924188896001
k__Bacteria;p__Gemmatimonadetes	1.35587704907e-05	0.0	0.0	6.42998208791e-05	0.0	0.0	0.0	0.0	0.0	3.94857377515e-05	0.0	0.0	4.15631052627e-05
k__Bacteria;p__Planctomycetes	4.06763114721e-05	0.0	0.0	0.0	0.0	0.0	2.64636609829e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.966618307052	0.266884592721	0.128496030167	0.282845726358	0.0596678107863	0.0292939007774	0.0243642105449	0.085076508121	0.0227166744387	0.0431500142149	0.0731319554849	0.02581234378	0.0737080108729
k__Bacteria;p__TM6	0.0	0.0	0.0	2.7557066091e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes	0.0	0.0	0.0	4.59284434851e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia	0.000135587704907	0.0	1.9571897365e-05	0.0	0.0	0.0	0.0	0.0	2.22059378678e-05	0.0	0.0	0.0	2.49378631576e-05
k__Bacteria;p__[Thermi]	6.77938524535e-05	0.0	0.0	0.00428053093281	0.0	0.0	0.000679233965227	0.0	0.0	0.00078181760748	5.69829791841e-06	0.0	0.000847887347359
