OTU	Test-Statistic	P	FDR_P	Bonferroni_P	LB-AS/90+50h_mean	C/90_mean	LB/30_mean	LB+LP/90+140h_mean	LB-AS/90+140_mean	LB/90+140h_mean	LB+LP/90_mean	LB/30+120h_mean	C/30_mean	LB/90+50h_mean	LB+LP/30_mean	C/30+120h_mean	C-AS/90+50h_mean	LB-AS/90+140h_mean	C-AS/90+140h_mean	C/90+140h_mean	LB+LP/90+50h_mean	LB+LP/30+120h_mean	C/90+50h_mean	C-AS/90_mean	LB-AS/90_mean	LB/90_mean	taxonomy
613189	84.4085339311	1.46099008483e-09	1.41450403668e-07	1.55595444035e-06	2.4	31.4	1.25	5.0	5.0	5.4	3.4	0.25	38.5	2.8	0.25	52.75	33.4	8.0	42.8	47.6	2.0	0.25	21.6	15.8	2.4	4.8	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
73609	83.7440219928	1.89350674027e-09	1.52999717678e-07	2.01658467839e-06	0.4	29.4	0.0	2.2	1.0	0.4	1.0	0.0	34.0	1.8	0.0	52.75	32.0	0.5	66.6	176.6	1.0	0.0	68.2	60.8	1.8	2.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__zeae
New.CleanUp.ReferenceOTU694	83.7176279849	1.91308837914e-09	1.52999717678e-07	2.03743912379e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
160548	83.4499229449	2.12340296375e-09	1.52999717678e-07	2.26142415639e-06	2.0	7.0	0.5	1.6	6.0	1.6	1.8	0.25	8.0	2.2	0.25	12.5	16.0	5.75	15.0	13.8	1.6	0.25	5.8	4.0	0.8	4.2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
New.CleanUp.ReferenceOTU3657	83.4120811856	2.15492560109e-09	1.52999717678e-07	2.29499576516e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__
New.CleanUp.ReferenceOTU273	82.4315616544	3.15485927097e-09	2.09995320224e-07	3.35992512358e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__
837283	81.7104610164	4.17234580856e-09	2.61385193301e-07	4.44354828612e-06	10.6	27.2	0.25	9.2	9.0	9.0	4.2	0.5	12.75	6.8	1.0	0.0	5.6	18.0	0.0	0.0	5.8	0.5	35.2	23.6	6.8	4.2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Serratia
819999	80.4933408019	6.6773359429e-09	3.95075709955e-07	7.11136277919e-06	32.4	253.8	7.0	47.6	13.0	33.8	34.6	5.5	259.75	27.0	6.25	0.75	35.2	47.0	0.4	19.4	32.4	4.0	310.0	91.2	28.2	22.2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
1110317	78.4735548668	1.45060824201e-08	8.1310409355e-07	1.54489777774e-05	59.2	75.4	42.75	68.2	108.0	69.0	79.2	36.0	69.25	65.2	45.25	194.5	224.6	100.5	294.0	114.8	58.2	36.5	58.6	119.0	65.2	76.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__
1111294	76.2174349718	3.42692970618e-08	1.82484006854e-06	3.64968013709e-05	7.0	13.2	0.25	5.2	3.0	1.6	2.2	0.0	7.25	1.8	0.0	0.0	3.4	10.75	0.0	0.2	3.2	0.0	16.0	12.4	5.2	1.4	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
