Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
5101-145-MS515F-926R_R1	94.0728959576	55.0	250.995891319	37725.0	41.6666666667
5101-145-MS515F-926R_R2	88.7952286282	52.0	250.875334659	37725.0	41.6666666667
5101-146-MS515F-926R_R1	93.7308146399	54.0	250.990731995	33880.0	33.3333333333
5101-146-MS515F-926R_R2	88.4474616293	52.0	250.921900826	33880.0	33.3333333333
5101-147-MS515F-926R_R1	94.8271433708	56.0	250.995659321	38934.0	41.6666666667
5101-147-MS515F-926R_R2	89.5849386141	53.0	250.903451996	38934.0	33.3333333333
5101-148-MS515F-926R_R1	93.4823386436	55.0	250.995085995	37851.0	41.6666666667
5101-148-MS515F-926R_R2	89.4454571874	52.0	250.898681673	37851.0	41.6666666667
5101-150-MS515F-926R_R1	98.0887073242	53.0	250.993705448	47978.0	33.3333333333
5101-150-MS515F-926R_R2	93.8909500188	51.0	250.989786986	47978.0	41.6666666667
5101-151-MS515F-926R_R1	97.860128022	53.0	250.992223457	37806.0	41.6666666667
5101-151-MS515F-926R_R2	93.3158757869	51.0	250.981167011	37806.0	41.6666666667
5101-152-MS515F-926R_R1	98.035841307	53.0	250.996213946	43581.0	33.3333333333
5101-152-MS515F-926R_R2	94.9542231706	51.0	250.991670682	43581.0	33.3333333333
5101-153-MS515F-926R_R1	97.7254387735	53.0	250.995788784	39656.0	33.3333333333
5101-153-MS515F-926R_R2	93.4864837603	51.0	250.988929796	39656.0	41.6666666667
5101-155-MS515F-926R_R1	97.9121715954	53.0	250.992321361	47274.0	25.0
5101-155-MS515F-926R_R2	93.6815162669	51.0	250.988429158	47274.0	33.3333333333
5101-156-MS515F-926R_R1	95.1978217917	53.0	250.995952002	41502.0	33.3333333333
5101-156-MS515F-926R_R2	89.4824345815	51.0	250.715555877	41502.0	33.3333333333
5101-157-MS515F-926R_R1	97.3733801736	54.0	250.996370658	42983.0	33.3333333333
5101-157-MS515F-926R_R2	92.8646208966	51.0	250.986506293	42983.0	41.6666666667
5101-158-MS515F-926R_R1	96.2697146908	54.0	250.9961309	33858.0	25.0
5101-158-MS515F-926R_R2	91.5145608128	51.0	250.967599976	33858.0	33.3333333333
5101-160-MS515F-926R_R1	96.4815701292	53.0	250.996589277	16712.0	33.3333333333
5101-160-MS515F-926R_R2	91.3595021541	51.0	250.988451412	16712.0	41.6666666667
5101-161-MS515F-926R_R1	97.6819340004	53.0	250.988130011	48273.0	33.3333333333
5101-161-MS515F-926R_R2	93.2218838688	51.0	250.978331573	48273.0	33.3333333333
5101-162-MS515F-926R_R1	97.6673742457	53.0	250.996088439	41927.0	33.3333333333
5101-162-MS515F-926R_R2	93.7367328929	51.0	250.989887185	41927.0	33.3333333333
5101-163-MS515F-926R_R1	97.7719729564	53.0	250.996685398	45556.0	41.6666666667
5101-163-MS515F-926R_R2	93.5771358328	51.0	250.989661076	45556.0	41.6666666667
5101-165-MS515F-926R_R1	97.5408604171	53.0	250.99483374	53230.0	33.3333333333
5101-165-MS515F-926R_R2	92.7334210032	51.0	250.987544618	53230.0	41.6666666667
5101-166-MS515F-926R_R1	97.1725983595	54.0	250.995690254	57544.0	33.3333333333
5101-166-MS515F-926R_R2	92.2268177395	52.0	250.973689698	57544.0	33.3333333333
5101-167-MS515F-926R_R1	97.8024974099	54.0	249.995092426	55017.0	33.3333333333
5101-167-MS515F-926R_R2	93.0076158278	52.0	250.985931621	55017.0	33.3333333333
5101-168-MS515F-926R_R1	97.7799455607	54.0	250.995327029	63557.0	33.3333333333
5101-168-MS515F-926R_R2	93.679689098	52.0	250.984832513	63557.0	33.3333333333
5101-170-MS515F-926R_R1	97.7820025349	54.0	250.995630712	59964.0	33.3333333333
5101-170-MS515F-926R_R2	92.8073510773	51.0	250.984974318	59964.0	33.3333333333
5101-171-MS515F-926R_R1	97.5885236971	54.0	250.994788451	55070.0	33.3333333333
5101-171-MS515F-926R_R2	92.780098057	52.0	250.984528782	55070.0	33.3333333333
5101-172-MS515F-926R_R1	97.273191142	54.0	250.995897541	48995.0	41.6666666667
5101-172-MS515F-926R_R2	92.8053883049	51.0	250.984549444	48995.0	25.0
5101-173-MS515F-926R_R1	97.5596285235	54.0	250.995090619	48886.0	33.3333333333
5101-173-MS515F-926R_R2	93.3702900626	52.0	250.985046844	48886.0	41.6666666667
5101-175-MS515F-926R_R1	97.9035904857	54.0	250.996798408	55285.0	41.6666666667
5101-175-MS515F-926R_R2	93.2278194809	52.0	250.986198788	55285.0	41.6666666667
5101-176-MS515F-926R_R1	97.9697324949	54.0	250.994919891	56298.0	33.3333333333
5101-176-MS515F-926R_R2	93.1471810722	51.0	250.99037266	56298.0	33.3333333333
5101-177-MS515F-926R_R1	97.7832972287	54.0	250.991801748	53548.0	33.3333333333
5101-177-MS515F-926R_R2	93.2060954658	51.0	250.989430044	53548.0	41.6666666667
5101-178-MS515F-926R_R1	97.8663581883	54.0	250.993878633	62241.0	33.3333333333
5101-178-MS515F-926R_R2	93.8609598175	52.0	250.984897415	62241.0	41.6666666667
