#SampleID	days_since_epoch	days_since_experiment_start	Study	SampleType	subject	Subject_SampleType
M3Plml1025	14177	4	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1025	14177	4	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1025	14177	4	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1026	14178	5	454timeseries2008	feces	F4	F4_feces
F4Plml1026	14178	5	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1026	14178	5	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1026	14178	5	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1026	14178	5	454timeseries2008	feces	M3	M3_feces
M3Plml1026	14178	5	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1026	14178	5	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1026	14178	5	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1027	14179	6	454timeseries2008	feces	F4	F4_feces
F4Plml1027	14179	6	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1027	14179	6	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1027	14179	6	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1027	14179	6	454timeseries2008	feces	M3	M3_feces
M3Plml1027	14179	6	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1027	14179	6	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1027	14179	6	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1028	14180	7	454timeseries2008	feces	F4	F4_feces
F4Plml1028	14180	7	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1028	14180	7	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1028	14180	7	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1028	14180	7	454timeseries2008	feces	M3	M3_feces
M3Plml1028	14180	7	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1028	14180	7	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1028	14180	7	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1029	14181	8	454timeseries2008	feces	F4	F4_feces
F4Plml1029	14181	8	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1029	14181	8	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1029	14181	8	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1029	14181	8	454timeseries2008	feces	M3	M3_feces
M3Plml1029	14181	8	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1029	14181	8	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1029	14181	8	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1030	14182	9	454timeseries2008	feces	F4	F4_feces
F4Plml1030	14182	9	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1030	14182	9	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1030	14182	9	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1030	14182	9	454timeseries2008	feces	M3	M3_feces
M3Plml1030	14182	9	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1030	14182	9	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1030	14182	9	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1031	14183	10	454timeseries2008	feces	F4	F4_feces
F4Plml1031	14183	10	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1031	14183	10	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1031	14183	10	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1031	14183	10	454timeseries2008	feces	M3	M3_feces
M3Plml1031	14183	10	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1031	14183	10	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1031	14183	10	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw111	14184	11	454timeseries2008	feces	F4	F4_feces
F4Plml111	14184	11	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr111	14184	11	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong111	14184	11	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw111	14184	11	454timeseries2008	feces	M3	M3_feces
M3Plml111	14184	11	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr111	14184	11	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong111	14184	11	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw112	14185	12	454timeseries2008	feces	F4	F4_feces
F4Plml112	14185	12	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr112	14185	12	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong112	14185	12	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw112	14185	12	454timeseries2008	feces	M3	M3_feces
M3Plml112	14185	12	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr112	14185	12	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong112	14185	12	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw113	14186	13	454timeseries2008	feces	F4	F4_feces
F4Plml113	14186	13	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr113	14186	13	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong113	14186	13	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw113	14186	13	454timeseries2008	feces	M3	M3_feces
M3Plml113	14186	13	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr113	14186	13	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong113	14186	13	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw116	14189	16	454timeseries2008	feces	F4	F4_feces
F4Plml116	14189	16	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr116	14189	16	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong116	14189	16	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw116	14189	16	454timeseries2008	feces	M3	M3_feces
M3Plml116	14189	16	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr116	14189	16	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong116	14189	16	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1110	14193	20	454timeseries2008	feces	F4	F4_feces
F4Plml1110	14193	20	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1110	14193	20	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1110	14193	20	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1110	14193	20	454timeseries2008	feces	M3	M3_feces
M3Plml1110	14193	20	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1110	14193	20	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1110	14193	20	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1115	14198	25	454timeseries2008	feces	F4	F4_feces
F4Plml1115	14198	25	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1115	14198	25	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1115	14198	25	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1115	14198	25	454timeseries2008	feces	M3	M3_feces
M3Plml1115	14198	25	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1115	14198	25	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1115	14198	25	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1121	14204	31	454timeseries2008	feces	F4	F4_feces
F4Plml1121	14204	31	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1121	14204	31	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1121	14204	31	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1121	14204	31	454timeseries2008	feces	M3	M3_feces
M3Plml1121	14204	31	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1121	14204	31	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1121	14204	31	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw126	14219	46	454timeseries2008	feces	F4	F4_feces
F4Plml126	14219	46	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr126	14219	46	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong126	14219	46	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw126	14219	46	454timeseries2008	feces	M3	M3_feces
M3Plml126	14219	46	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr126	14219	46	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong126	14219	46	454timeseries2008	Tongue	M3	M3_Tongue
M3.LPAL.03.27.09	14330	157	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.03.27.09	14330	157	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.03.27.09	14330	157	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.03.27.09	14330	157	454timeseries2010	feces	M3	M3_feces
F4.LPAL.03.27.09	14330	157	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.03.27.09	14330	157	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.03.27.09	14330	157	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.03.27.09	14330	157	454timeseries2010	feces	F4	F4_feces
M3.LPAL.03.28.09	14331	158	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.03.28.09	14331	158	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.03.28.09	14331	158	454timeseries2010	Tongue	M3	M3_Tongue
F4.LPAL.03.28.09	14331	158	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.03.28.09	14331	158	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.03.28.09	14331	158	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.03.28.09	14331	158	454timeseries2010	feces	F4	F4_feces
M3.LPAL.03.29.09	14332	159	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.03.29.09	14332	159	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.03.29.09	14332	159	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.03.29.09	14332	159	454timeseries2010	feces	M3	M3_feces
F4.LPAL.03.29.09	14332	159	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.03.29.09	14332	159	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.03.29.09	14332	159	454timeseries2010	Tongue	F4	F4_Tongue
M3.LPAL.03.30.09	14333	160	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.03.30.09	14333	160	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.03.30.09	14333	160	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.03.30.09	14333	160	454timeseries2010	feces	M3	M3_feces
F4.LPAL.03.30.09	14333	160	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.03.30.09	14333	160	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.03.30.09	14333	160	454timeseries2010	Tongue	F4	F4_Tongue
M3.LPAL.03.31.09	14334	161	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.03.31.09	14334	161	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.03.31.09	14334	161	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.03.31.09	14334	161	454timeseries2010	feces	M3	M3_feces
F4.LPAL.03.31.09	14334	161	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.03.31.09	14334	161	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.03.31.09	14334	161	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.03.31.09	14334	161	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.01.09	14335	162	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.01.09	14335	162	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.01.09	14335	162	454timeseries2010	Tongue	M3	M3_Tongue
M3.LPAL.04.02.09	14336	163	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.02.09	14336	163	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.02.09	14336	163	454timeseries2010	Tongue	M3	M3_Tongue
M3.LPAL.04.03.09	14337	164	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.03.09	14337	164	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.03.09	14337	164	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.03.09	14337	164	454timeseries2010	feces	M3	M3_feces
M3.RPAL.04.05.09	14339	166	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.05.09	14339	166	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.05.09	14339	166	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.05.09	14339	166	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.05.09	14339	166	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.05.09	14339	166	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.05.09	14339	166	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.06.09	14340	167	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.06.09	14340	167	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.06.09	14340	167	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.06.09	14340	167	454timeseries2010	feces	M3	M3_feces
F4.FECE.04.06.09	14340	167	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.09.09	14343	170	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.09.09	14343	170	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.09.09	14343	170	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.09.09	14343	170	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.09.09	14343	170	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.09.09	14343	170	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.09.09	14343	170	454timeseries2010	Tongue	F4	F4_Tongue
M3.FECE.04.10.09	14344	171	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.10.09	14344	171	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.10.09	14344	171	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.10.09	14344	171	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.10.09	14344	171	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.11.09	14345	172	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.11.09	14345	172	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.11.09	14345	172	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.11.09	14345	172	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.11.09	14345	172	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.11.09	14345	172	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.11.09	14345	172	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.11.09	14345	172	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.12.09	14346	173	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.12.09	14346	173	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.12.09	14346	173	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.12.09	14346	173	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.12.09	14346	173	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.12.09	14346	173	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.12.09	14346	173	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.12.09	14346	173	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.13.09	14347	174	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.13.09	14347	174	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.13.09	14347	174	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.13.09	14347	174	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.13.09	14347	174	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.13.09	14347	174	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.13.09	14347	174	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.13.09	14347	174	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.14.09	14348	175	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.14.09	14348	175	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.14.09	14348	175	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.14.09	14348	175	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.14.09	14348	175	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.14.09	14348	175	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.14.09	14348	175	454timeseries2010	Tongue	F4	F4_Tongue
M3.LPAL.04.15.09	14349	176	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.15.09	14349	176	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.15.09	14349	176	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.15.09	14349	176	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.15.09	14349	176	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.15.09	14349	176	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.15.09	14349	176	454timeseries2010	Tongue	F4	F4_Tongue
M3.LPAL.04.16.09	14350	177	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.16.09	14350	177	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.16.09	14350	177	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.16.09	14350	177	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.16.09	14350	177	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.16.09	14350	177	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.16.09	14350	177	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.16.09	14350	177	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.17.09	14351	178	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.17.09	14351	178	454timeseries2010	R_palm	M3	M3_R_palm
F4.LPAL.04.17.09	14351	178	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.17.09	14351	178	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.17.09	14351	178	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.17.09	14351	178	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.18.09	14352	179	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.18.09	14352	179	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.18.09	14352	179	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.18.09	14352	179	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.18.09	14352	179	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.18.09	14352	179	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.18.09	14352	179	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.18.09	14352	179	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.19.09	14353	180	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.19.09	14353	180	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.19.09	14353	180	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.19.09	14353	180	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.19.09	14353	180	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.19.09	14353	180	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.19.09	14353	180	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.19.09	14353	180	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.20.09	14354	181	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.20.09	14354	181	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.20.09	14354	181	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.20.09	14354	181	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.20.09	14354	181	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.20.09	14354	181	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.20.09	14354	181	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.20.09	14354	181	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.21.09	14355	182	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.21.09	14355	182	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.21.09	14355	182	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.21.09	14355	182	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.21.09	14355	182	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.21.09	14355	182	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.21.09	14355	182	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.21.09	14355	182	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.22.09	14356	183	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.22.09	14356	183	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.22.09	14356	183	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.22.09	14356	183	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.22.09	14356	183	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.22.09	14356	183	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.22.09	14356	183	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.22.09	14356	183	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.23.09	14357	184	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.23.09	14357	184	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.23.09	14357	184	454timeseries2010	Tongue	M3	M3_Tongue
F4.LPAL.04.23.09	14357	184	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.23.09	14357	184	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.23.09	14357	184	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.23.09	14357	184	454timeseries2010	feces	F4	F4_feces
M3.LPAL.04.24.09	14358	185	454timeseries2010	L_palm	M3	M3_L_palm
M3.RPAL.04.24.09	14358	185	454timeseries2010	R_palm	M3	M3_R_palm
M3.TONG.04.24.09	14358	185	454timeseries2010	Tongue	M3	M3_Tongue
M3.FECE.04.24.09	14358	185	454timeseries2010	feces	M3	M3_feces
F4.LPAL.04.24.09	14358	185	454timeseries2010	L_palm	F4	F4_L_palm
F4.RPAL.04.24.09	14358	185	454timeseries2010	R_palm	F4	F4_R_palm
F4.TONG.04.24.09	14358	185	454timeseries2010	Tongue	F4	F4_Tongue
F4.FECE.04.24.09	14358	185	454timeseries2010	feces	F4	F4_feces
M3.RPAL.11.02.08	14185	12	454timeseries2010	R_palm	M3	M3_R_palm
