#SampleID	days_since_epoch	days_since_experiment_start	Study	SampleType	subject	Subject_SampleType
F4Fcsw1021	14173	0	454timeseries2008	feces	F4	F4_feces
F4Plml1021	14173	0	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1021	14173	0	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1021	14173	0	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1021	14173	0	454timeseries2008	feces	M3	M3_feces
M3Plml1021	14173	0	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1021	14173	0	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1021	14173	0	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1022	14174	1	454timeseries2008	feces	F4	F4_feces
F4Plml1022	14174	1	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1022	14174	1	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1022	14174	1	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1022	14174	1	454timeseries2008	feces	M3	M3_feces
M3Plml1022	14174	1	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1022	14174	1	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1022	14174	1	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1023	14175	2	454timeseries2008	feces	F4	F4_feces
F4Plml1023	14175	2	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1023	14175	2	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1023	14175	2	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1023	14175	2	454timeseries2008	feces	M3	M3_feces
M3Plml1023	14175	2	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1023	14175	2	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1023	14175	2	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1024	14176	3	454timeseries2008	feces	F4	F4_feces
F4Plml1024	14176	3	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1024	14176	3	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1024	14176	3	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1024	14176	3	454timeseries2008	feces	M3	M3_feces
M3Plml1024	14176	3	454timeseries2008	L_palm	M3	M3_L_palm
M3Plmr1024	14176	3	454timeseries2008	R_palm	M3	M3_R_palm
M3Tong1024	14176	3	454timeseries2008	Tongue	M3	M3_Tongue
F4Fcsw1025	14177	4	454timeseries2008	feces	F4	F4_feces
F4Plml1025	14177	4	454timeseries2008	L_palm	F4	F4_L_palm
F4Plmr1025	14177	4	454timeseries2008	R_palm	F4	F4_R_palm
F4Tong1025	14177	4	454timeseries2008	Tongue	F4	F4_Tongue
M3Fcsw1025	14177	4	454timeseries2008	feces	M3	M3_feces
